Time Period,OrgCode,ParentOrgCode,MonitoringCategory,EthnicGroup,QuitStatus,Sex,Total
2019/20 Q2,E06000002,E12000001,African,Black,Quit,Female,0
2019/20 Q2,E06000002,E12000001,African,Black,Quit,Male,0
2019/20 Q2,E06000002,E12000001,African,Black,Set quit date,Female,0
2019/20 Q2,E06000002,E12000001,African,Black,Set quit date,Male,2
2019/20 Q2,E06000002,E12000001,Any other Asian,Asian,Quit,Female,1
2019/20 Q2,E06000002,E12000001,Any other Asian,Asian,Quit,Male,2
2019/20 Q2,E06000002,E12000001,Any other Asian,Asian,Set quit date,Female,1
2019/20 Q2,E06000002,E12000001,Any other Asian,Asian,Set quit date,Male,2
2019/20 Q2,E06000002,E12000001,Any other Black,Black,Quit,Female,0
2019/20 Q2,E06000002,E12000001,Any other Black,Black,Quit,Male,2
2019/20 Q2,E06000002,E12000001,Any other Black,Black,Set quit date,Female,0
2019/20 Q2,E06000002,E12000001,Any other Black,Black,Set quit date,Male,2
2019/20 Q2,E06000002,E12000001,Any other White,White,Quit,Female,4
2019/20 Q2,E06000002,E12000001,Any other White,White,Quit,Male,3
2019/20 Q2,E06000002,E12000001,Any other White,White,Set quit date,Female,10
2019/20 Q2,E06000002,E12000001,Any other White,White,Set quit date,Male,3
2019/20 Q2,E06000002,E12000001,Any other ethnic,Any other ethnic,Quit,Female,0
2019/20 Q2,E06000002,E12000001,Any other ethnic,Any other ethnic,Quit,Male,3
2019/20 Q2,E06000002,E12000001,Any other ethnic,Any other ethnic,Set quit date,Female,0
2019/20 Q2,E06000002,E12000001,Any other ethnic,Any other ethnic,Set quit date,Male,4
2019/20 Q2,E06000002,E12000001,Any other mixed,Mixed,Quit,Female,0
2019/20 Q2,E06000002,E12000001,Any other mixed,Mixed,Quit,Male,0
2019/20 Q2,E06000002,E12000001,Any other mixed,Mixed,Set quit date,Female,1
2019/20 Q2,E06000002,E12000001,Any other mixed,Mixed,Set quit date,Male,0
2019/20 Q2,E06000002,E12000001,Bangladeshi,Asian,Quit,Female,0
2019/20 Q2,E06000002,E12000001,Bangladeshi,Asian,Quit,Male,0
2019/20 Q2,E06000002,E12000001,Bangladeshi,Asian,Set quit date,Female,1
2019/20 Q2,E06000002,E12000001,Bangladeshi,Asian,Set quit date,Male,0
2019/20 Q2,E06000002,E12000001,Caribbean,Black,Quit,Female,0
2019/20 Q2,E06000002,E12000001,Caribbean,Black,Quit,Male,0
2019/20 Q2,E06000002,E12000001,Caribbean,Black,Set quit date,Female,0
2019/20 Q2,E06000002,E12000001,Caribbean,Black,Set quit date,Male,1
2019/20 Q2,E06000002,E12000001,Chinese,Any other ethnic,Quit,Female,1
2019/20 Q2,E06000002,E12000001,Chinese,Any other ethnic,Quit,Male,0
2019/20 Q2,E06000002,E12000001,Chinese,Any other ethnic,Set quit date,Female,1
2019/20 Q2,E06000002,E12000001,Chinese,Any other ethnic,Set quit date,Male,0
2019/20 Q2,E06000002,E12000001,Indian,Asian,Quit,Female,0
2019/20 Q2,E06000002,E12000001,Indian,Asian,Quit,Male,1
2019/20 Q2,E06000002,E12000001,Indian,Asian,Set quit date,Female,1
2019/20 Q2,E06000002,E12000001,Indian,Asian,Set quit date,Male,1
2019/20 Q2,E06000002,E12000001,Not stated,Not stated,Quit,Female,0
2019/20 Q2,E06000002,E12000001,Not stated,Not stated,Quit,Male,0
2019/20 Q2,E06000002,E12000001,Not stated,Not stated,Set quit date,Female,1
2019/20 Q2,E06000002,E12000001,Not stated,Not stated,Set quit date,Male,0
2019/20 Q2,E06000002,E12000001,Pakistani,Asian,Quit,Female,0
2019/20 Q2,E06000002,E12000001,Pakistani,Asian,Quit,Male,0
2019/20 Q2,E06000002,E12000001,Pakistani,Asian,Set quit date,Female,0
2019/20 Q2,E06000002,E12000001,Pakistani,Asian,Set quit date,Male,5
2019/20 Q2,E06000002,E12000001,White British,White,Quit,Female,117
2019/20 Q2,E06000002,E12000001,White British,White,Quit,Male,100
2019/20 Q2,E06000002,E12000001,White British,White,Set quit date,Female,270
2019/20 Q2,E06000002,E12000001,White British,White,Set quit date,Male,210
2019/20 Q2,E06000002,E12000001,White Irish,White,Quit,Female,0
2019/20 Q2,E06000002,E12000001,White Irish,White,Quit,Male,0
2019/20 Q2,E06000002,E12000001,White Irish,White,Set quit date,Female,0
2019/20 Q2,E06000002,E12000001,White Irish,White,Set quit date,Male,0
2019/20 Q2,E06000002,E12000001,White and Asian,Mixed,Quit,Female,0
2019/20 Q2,E06000002,E12000001,White and Asian,Mixed,Quit,Male,2
2019/20 Q2,E06000002,E12000001,White and Asian,Mixed,Set quit date,Female,0
2019/20 Q2,E06000002,E12000001,White and Asian,Mixed,Set quit date,Male,3
2019/20 Q2,E06000002,E12000001,White and Black African,Mixed,Quit,Female,0
2019/20 Q2,E06000002,E12000001,White and Black African,Mixed,Quit,Male,0
2019/20 Q2,E06000002,E12000001,White and Black African,Mixed,Set quit date,Female,0
2019/20 Q2,E06000002,E12000001,White and Black African,Mixed,Set quit date,Male,0
2019/20 Q2,E06000002,E12000001,White and Black Caribbean,Mixed,Quit,Female,0
2019/20 Q2,E06000002,E12000001,White and Black Caribbean,Mixed,Quit,Male,0
2019/20 Q2,E06000002,E12000001,White and Black Caribbean,Mixed,Set quit date,Female,3
2019/20 Q2,E06000002,E12000001,White and Black Caribbean,Mixed,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,African,Black,Quit,Female,0
2019/20 Q2,E06000003,E12000001,African,Black,Quit,Male,0
2019/20 Q2,E06000003,E12000001,African,Black,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,African,Black,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,Any other Asian,Asian,Quit,Female,0
2019/20 Q2,E06000003,E12000001,Any other Asian,Asian,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Any other Asian,Asian,Set quit date,Female,1
2019/20 Q2,E06000003,E12000001,Any other Asian,Asian,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,Any other Black,Black,Quit,Female,0
2019/20 Q2,E06000003,E12000001,Any other Black,Black,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Any other Black,Black,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,Any other Black,Black,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,Any other White,White,Quit,Female,2
2019/20 Q2,E06000003,E12000001,Any other White,White,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Any other White,White,Set quit date,Female,3
2019/20 Q2,E06000003,E12000001,Any other White,White,Set quit date,Male,3
2019/20 Q2,E06000003,E12000001,Any other ethnic,Any other ethnic,Quit,Female,0
2019/20 Q2,E06000003,E12000001,Any other ethnic,Any other ethnic,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Any other ethnic,Any other ethnic,Set quit date,Female,4
2019/20 Q2,E06000003,E12000001,Any other ethnic,Any other ethnic,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,Any other mixed,Mixed,Quit,Female,0
2019/20 Q2,E06000003,E12000001,Any other mixed,Mixed,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Any other mixed,Mixed,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,Any other mixed,Mixed,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,Bangladeshi,Asian,Quit,Female,0
2019/20 Q2,E06000003,E12000001,Bangladeshi,Asian,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Bangladeshi,Asian,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,Bangladeshi,Asian,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,Caribbean,Black,Quit,Female,0
2019/20 Q2,E06000003,E12000001,Caribbean,Black,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Caribbean,Black,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,Caribbean,Black,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,Chinese,Any other ethnic,Quit,Female,0
2019/20 Q2,E06000003,E12000001,Chinese,Any other ethnic,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Chinese,Any other ethnic,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,Chinese,Any other ethnic,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,Indian,Asian,Quit,Female,0
2019/20 Q2,E06000003,E12000001,Indian,Asian,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Indian,Asian,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,Indian,Asian,Set quit date,Male,1
2019/20 Q2,E06000003,E12000001,Not stated,Not stated,Quit,Female,0
2019/20 Q2,E06000003,E12000001,Not stated,Not stated,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Not stated,Not stated,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,Not stated,Not stated,Set quit date,Male,1
2019/20 Q2,E06000003,E12000001,Pakistani,Asian,Quit,Female,0
2019/20 Q2,E06000003,E12000001,Pakistani,Asian,Quit,Male,0
2019/20 Q2,E06000003,E12000001,Pakistani,Asian,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,Pakistani,Asian,Set quit date,Male,1
2019/20 Q2,E06000003,E12000001,White British,White,Quit,Female,128
2019/20 Q2,E06000003,E12000001,White British,White,Quit,Male,95
2019/20 Q2,E06000003,E12000001,White British,White,Set quit date,Female,325
2019/20 Q2,E06000003,E12000001,White British,White,Set quit date,Male,207
2019/20 Q2,E06000003,E12000001,White Irish,White,Quit,Female,0
2019/20 Q2,E06000003,E12000001,White Irish,White,Quit,Male,0
2019/20 Q2,E06000003,E12000001,White Irish,White,Set quit date,Female,1
2019/20 Q2,E06000003,E12000001,White Irish,White,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,White and Asian,Mixed,Quit,Female,0
2019/20 Q2,E06000003,E12000001,White and Asian,Mixed,Quit,Male,0
2019/20 Q2,E06000003,E12000001,White and Asian,Mixed,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,White and Asian,Mixed,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,White and Black African,Mixed,Quit,Female,0
2019/20 Q2,E06000003,E12000001,White and Black African,Mixed,Quit,Male,0
2019/20 Q2,E06000003,E12000001,White and Black African,Mixed,Set quit date,Female,0
2019/20 Q2,E06000003,E12000001,White and Black African,Mixed,Set quit date,Male,0
2019/20 Q2,E06000003,E12000001,White and Black Caribbean,Mixed,Quit,Female,0
2019/20 Q2,E06000003,E12000001,White and Black Caribbean,Mixed,Quit,Male,0
2019/20 Q2,E06000003,E12000001,White and Black Caribbean,Mixed,Set quit date,Female,1
2019/20 Q2,E06000003,E12000001,White and Black Caribbean,Mixed,Set quit date,Male,0
2019/20 Q2,E06000004,E12000001,African,Black,Quit,Female,0
2019/20 Q2,E06000004,E12000001,African,Black,Quit,Male,0
2019/20 Q2,E06000004,E12000001,African,Black,Set quit date,Female,1
2019/20 Q2,E06000004,E12000001,African,Black,Set quit date,Male,4
2019/20 Q2,E06000004,E12000001,Any other Asian,Asian,Quit,Female,1
2019/20 Q2,E06000004,E12000001,Any other Asian,Asian,Quit,Male,0
2019/20 Q2,E06000004,E12000001,Any other Asian,Asian,Set quit date,Female,1
2019/20 Q2,E06000004,E12000001,Any other Asian,Asian,Set quit date,Male,10
2019/20 Q2,E06000004,E12000001,Any other Black,Black,Quit,Female,0
2019/20 Q2,E06000004,E12000001,Any other Black,Black,Quit,Male,0
2019/20 Q2,E06000004,E12000001,Any other Black,Black,Set quit date,Female,0
2019/20 Q2,E06000004,E12000001,Any other Black,Black,Set quit date,Male,1
2019/20 Q2,E06000004,E12000001,Any other White,White,Quit,Female,3
2019/20 Q2,E06000004,E12000001,Any other White,White,Quit,Male,1
2019/20 Q2,E06000004,E12000001,Any other White,White,Set quit date,Female,8
2019/20 Q2,E06000004,E12000001,Any other White,White,Set quit date,Male,3
2019/20 Q2,E06000004,E12000001,Any other ethnic,Any other ethnic,Quit,Female,0
2019/20 Q2,E06000004,E12000001,Any other ethnic,Any other ethnic,Quit,Male,3
2019/20 Q2,E06000004,E12000001,Any other ethnic,Any other ethnic,Set quit date,Female,1
2019/20 Q2,E06000004,E12000001,Any other ethnic,Any other ethnic,Set quit date,Male,11
2019/20 Q2,E06000004,E12000001,Any other mixed,Mixed,Quit,Female,0
2019/20 Q2,E06000004,E12000001,Any other mixed,Mixed,Quit,Male,0
2019/20 Q2,E06000004,E12000001,Any other mixed,Mixed,Set quit date,Female,1
2019/20 Q2,E06000004,E12000001,Any other mixed,Mixed,Set quit date,Male,0
2019/20 Q2,E06000004,E12000001,Bangladeshi,Asian,Quit,Female,0
2019/20 Q2,E06000004,E12000001,Bangladeshi,Asian,Quit,Male,0
2019/20 Q2,E06000004,E12000001,Bangladeshi,Asian,Set quit date,Female,0
2019/20 Q2,E06000004,E12000001,Bangladeshi,Asian,Set quit date,Male,0
2019/20 Q2,E06000004,E12000001,Caribbean,Black,Quit,Female,0
2019/20 Q2,E06000004,E12000001,Caribbean,Black,Quit,Male,0
2019/20 Q2,E06000004,E12000001,Caribbean,Black,Set quit date,Female,0
2019/20 Q2,E06000004,E12000001,Caribbean,Black,Set quit date,Male,0
2019/20 Q2,E06000004,E12000001,Chinese,Any other ethnic,Quit,Female,0
2019/20 Q2,E06000004,E12000001,Chinese,Any other ethnic,Quit,Male,0
2019/20 Q2,E06000004,E12000001,Chinese,Any other ethnic,Set quit date,Female,0
