,E38000001,E38000002,E38000004,E38000005,E38000006,E38000007,E38000008,E38000009,E38000010,E38000011,E38000014,E38000015,E38000016,E38000018,E38000019,E38000020,E38000021,E38000023,E38000024,E38000025,E38000026,E38000027,E38000028,E38000029,E38000030,E38000031,E38000034,E38000035,E38000037,E38000038,E38000039,E38000040,E38000042,E38000043,E38000044,E38000045,E38000046,E38000047,E38000048,E38000049,E38000050,E38000051,E38000052,E38000053,E38000054,E38000055,E38000056,E38000057,E38000058,E38000059,E38000062,E38000063,E38000064,E38000066,E38000068,E38000069,E38000070,E38000071,E38000072,E38000073,E38000074,E38000075,E38000076,E38000077,E38000078,E38000079,E38000080,E38000081,E38000082,E38000083,E38000084,E38000085,E38000086,E38000087,E38000088,E38000089,E38000090,E38000091,E38000092,E38000097,E38000098,E38000099,E38000100,E38000101,E38000102,E38000103,E38000104,E38000105,E38000106,E38000107,E38000108,E38000109,E38000113,E38000115,E38000116,E38000117,E38000118,E38000119,E38000120,E38000121,E38000122,E38000124,E38000126,E38000127,E38000128,E38000129,E38000130,E38000132,E38000133,E38000134,E38000135,E38000136,E38000137,E38000138,E38000139,E38000140,E38000141,E38000142,E38000143,E38000144,E38000145,E38000146,E38000147,E38000150,E38000151,E38000152,E38000153,E38000154,E38000156,E38000157,E38000161,E38000162,E38000163,E38000164,E38000165,E38000166,E38000167,E38000168,E38000169,E38000170,E38000171,E38000172,E38000173,E38000174,E38000175,E38000176,E38000177,E38000178,E38000179,E38000180,E38000181,E38000182,E38000183,E38000184,E38000185,E38000186,E38000187,E38000188,E38000189,E38000190,E38000191,E38000192,E38000193,E38000194,E38000195,E38000196,E38000197,E38000198,E38000199,E38000200,E38000201,E38000202,E38000203,E38000204,E38000205,E38000206,E38000208,E38000210,E38000211,E38000212,E38000213,E38000214,E38000215,E38000217,E38000218,E38000219,E38000220,E38000221,E38000222,E38000224,E38000225,E38000226,E38000227,E38000228
01/03/2018,21609,9212,17619,66945,39689,33747,12819,28613,62073,23543,18458,27672,39061,8068,54986,22973,32809,46013,34604,26635,135027,22088,14744,36749,30228,14953,25936,15964,10631,38721,17079,34143,18746,24053,29103,112958,19998,53149,30983,73136,50513,26772,45006,11248,25796,45981,35627,40126,16705,30814,126435,35282,31897,15594,13306,28007,8530,18477,23613,37157,26998,51962,44611,44786,17121,51876,26554,29736,29910,52570,17712,36061,69265,15165,25073,41227,19790,18637,24209,26976,27919,38239,38106,55077,22148,31624,19465,25210,44849,24972,65920,17183,12801,51303,39185,47916,35837,19728,25287,22274,22390,29192,55634,43592,59274,121218,57349,27838,16440,13169,45373,92269,27474,33825,20058,22786,54100,20793,26316,25261,15471,104168,51424,67606,25084,30882,26258,34232,28180,19705,23562,41844,31750,38694,15924,26732,29755,33425,70757,20973,17245,37715,18530,48643,62067,52317,59497,18462,20436,16855,6419,23450,23295,16423,12972,12591,41905,50292,13218,52745,29626,21941,30734,35154,27378,28916,50360,96042,70457,18183,37012,18714,31602,31194,46216,57475,42204,22781,10901,99995,107043,40475,58275,53104,24922,30268,13089,48719,125172,42236,133580,39750,25447,55235
01/04/2018,19415,8475,18644,68357,40141,27962,12698,26239,57626,25006,16638,25533,39566,7994,59013,21725,30557,40024,36521,28131,128310,19942,13120,33181,30105,14835,25968,17076,9516,39221,15001,30190,17905,22773,28853,101736,19793,48757,28622,67623,49780,26214,43133,12118,25854,45200,35851,34973,15455,34509,125152,34771,32143,14791,12826,26994,8262,17509,22981,34514,28661,50784,39799,42243,18828,51491,27969,28793,27115,50324,18991,34667,70894,13325,24230,39198,19752,16722,23548,26643,26128,37515,35874,48863,18846,27745,19488,26949,40527,24142,64720,16281,13302,48729,39509,46135,35176,20552,23600,22397,24625,27700,48968,40718,63646,114148,55050,27228,15034,12643,51011,96806,23529,31665,17503,23216,54018,19415,31932,24083,15547,101311,51880,66033,23660,29392,25844,36880,27717,19798,22140,42075,32285,36858,15277,26316,33538,32579,76666,21446,18150,33878,17818,47958,59270,50531,56100,15764,20544,16925,5723,25061,21905,15973,11617,13709,43205,43865,11157,47963,31062,21094,28153,31713,24436,26633,48679,99610,66308,17533,35357,16083,31566,29617,48682,54489,44321,21836,9623,91663,109294,42022,57040,51999,21910,29738,11652,52867,128099,43672,130761,36193,24258,51619
01/05/2018,16316,6990,18307,57557,32741,28449,13185,21844,44027,24660,15990,24390,29300,6268,48609,17632,26298,39845,27023,17512,101787,17440,11496,20468,21400,11784,19477,13913,9074,23651,12609,21361,16018,15617,25575,72686,13910,43406,14962,8003,42782,1115,34705,10215,23559,14738,30883,28966,11654,23509,97067,32755,23620,13631,6375,23712,7390,15837,16957,27778,19692,35565,16695,41730,16104,9031,20500,18404,21988,36004,13787,27903,58991,15816,19488,39879,14406,11271,18889,562,22662,39102,35587,44510,13666,25157,14749,19894,40072,22326,65918,14495,13852,37173,28902,39685,29547,17353,19618,20509,20926,23779,37682,32975,55761,105721,43700,27080,16807,11230,44639,72421,19435,36269,14198,16790,53760,16831,23505,24967,13583,94878,39683,70646,20748,25544,17424,26591,12377,16302,16175,28304,28445,31137,13689,26016,23744,27055,70181,19190,16289,25194,13924,41618,37563,44880,48634,14831,14639,11637,3668,20265,15334,6855,11169,9096,37069,36146,11054,41967,26417,20247,22630,16136,18621,18332,34429,95544,47681,13919,2320,14848,24339,27895,44867,37470,33161,16398,9035,76559,78774,37122,45880,46528,21207,29586,12369,36209,94556,35992,102188,30475,19175,42064
01/06/2018,19354,9245,19448,72277,38818,29549,12672,28914,58329,24072,19032,27522,38832,8440,56924,23751,28312,43963,38592,27206,131514,20880,14081,33741,29689,16070,25926,16776,10032,40284,14888,33927,17334,24135,29827,107275,20005,49604,30652,71193,51426,29050,46308,12720,26522,47203,35977,37729,16349,35708,122441,35088,31336,12399,13668,27122,7799,18105,24094,34315,27829,49522,41509,47057,18143,52620,26477,29950,27360,50890,16845,35756,66616,13990,22457,39607,18315,17956,22780,27677,28792,37824,37230,53872,22351,30203,19609,27574,44921,23255,68776,17691,13960,48311,41000,45300,41584,20490,24483,22564,22349,26730,48533,39339,61335,118870,57600,27142,14252,12965,49525,89292,23742,36067,15870,22975,57980,18670,28750,23495,15010,101865,53675,69748,23130,28781,27306,36220,25083,19535,24065,41613,34614,39154,17131,25896,31987,30667,73879,21660,19589,34322,16681,50417,59167,50393,57113,16704,20034,15770,6008,25167,20957,15499,13007,13812,42253,43935,12554,48492,32591,22042,28645,32713,26955,27534,51147,98923,65672,16753,40922,18374,30614,30849,47531,55269,44296,22272,9713,93472,109570,39316,60105,52141,23281,29425,12795,55948,125822,41197,129736,38020,24402,56045
01/07/2018,19496,9841,18958,68123,38351,29147,14314,28409,61757,25756,18298,26543,43760,8340,56174,23699,30796,43308,37344,28675,124483,20750,13518,35185,29860,14299,25261,17583,10320,38770,14978,33631,18204,23120,31932,112735,20233,54044,32072,72856,49148,29242,46631,10856,26742,45863,36961,38662,17297,34710,131025,36728,30578,15780,14011,26616,7997,18442,23470,29702,28048,51608,41237,43788,18453,54924,26719,30650,28920,52148,19009,36046,71748,16310,27081,40024,23381,17073,24066,30777,27695,37215,38853,54217,19316,28022,18886,28246,43908,25156,67618,17216,12982,49590,38285,47606,39246,19149,24572,22976,24174,28774,54156,42352,63269,119351,56581,26911,15759,13006,51194,98087,28356,33182,19199,26073,54798,19577,29584,23145,15508,106322,53798,67571,19355,29384,25422,38128,27099,20373,23298,43252,31327,38729,18423,25403,29783,35252,76607,19679,20634,36790,17978,51006,59514,50949,60931,19160,20025,17291,5559,23905,23815,17273,12668,12228,41270,45998,13568,49489,30823,22767,31411,32384,25734,28505,50665,102193,71009,17272,37816,18830,32511,30608,48859,59701,43672,23468,9321,92848,106545,41739,59610,53467,24543,30304,11085,57206,133919,43497,135560,38184,24571,54132
01/08/2018,21539,9793,19718,75350,38967,30885,13568,23206,61588,26343,19150,26210,40944,8330,58254,24999,35218,44494,37687,29439,145765,20866,16214,34922,32370,16872,27268,16661,10445,41659,15539,33746,20446,26207,31899,112697,20838,52799,29702,81519,52542,32156,47956,11438,28134,48088,37182,38833,16599,36865,137891,35088,31386,13801,14273,27124,7806,17859,23323,41391,29738,52198,45026,46568,18342,53721,31098,33660,28966,48619,17856,37514,72801,16196,26983,39469,20909,17968,24001,29941,29987,38466,37874,54557,22670,29499,21870,28357,42645,24347,69491,17799,12720,49898,41754,47700,39871,20943,24687,23269,24476,30121,53600,41770,63424,120860,63056,28716,15442,13264,51139,91493,26252,33540,16583,23583,56444,18711,31412,24377,16400,108754,58328,69943,23322,30387,28312,39332,27293,20290,25676,45537,33911,38671,17215,26525,35461,34084,74448,24278,18839,38073,18299,51362,65123,54122,62265,21056,22182,16011,6422,25738,23305,15695,14089,12164,43588,47194,13278,51766,33256,23304,30744,35697,27790,29437,52050,99810,73301,16497,41979,20189,33524,31165,50508,60025,46753,22087,9249,93699,111947,41786,57928,54079,24091,30555,12564,56521,132422,43714,141218,39851,26160,57606
01/09/2018,18365,9431,20599,64651,41556,29398,13800,30474,58993,23546,17928,24812,37995,8523,54510,22147,33401,39437,36344,29117,128605,18935,15646,32158,29399,14796,24724,14956,8949,39950,14659,33393,15678,24635,31921,107047,19383,49271,27482,68825,49864,30919,45564,9994,25446,43212,36244,35965,15931,37047,121893,34247,31686,13776,13791,25611,7314,18131,22972,29791,26384,50769,41961,46722,20855,51416,27386,29956,26100,47795,19570,36376,65207,14212,24030,39414,18742,15964,24661,28760,26135,37808,35229,49270,19833,27842,20587,25898,40312,23071,65389,17200,11808,45989,39229,47115,34303,21122,24675,22754,23028,28173,47240,40711,60700,112561,60148,26174,14454,12758,50536,90942,26222,36914,16611,23315,53012,18878,28112,22831,14667,101133,53587,64819,19585,28811,25350,34408,26033,18941,23891,43674,33352,35668,17210,25106,31540,32651,71824,20785,17431,34094,17585,45864,53192,52342,54563,14705,19374,16408,5155,24392,20046,15095,12893,12737,39229,46565,11932,47934,30183,24054,27666,32032,25048,27400,50994,98824,64227,17642,38732,17723,29781,31914,51297,59085,40446,22354,8579,94556,102929,39469,57665,48610,24621,30782,11994,55671,131327,41550,128367,37716,23046,53135
01/10/2018,19926,9880,20475,74743,42984,29792,13658,29948,62440,24640,19795,30838,45332,8373,60053,26376,33456,47402,39564,33005,139324,22343,16122,37862,32952,15571,28653,16979,11507,44068,14178,33990,18967,27014,30888,120725,21160,59213,28481,75430,57999,35526,48332,10817,32687,52029,39533,38532,16887,35929,137237,37927,32750,15011,16234,27907,7798,19162,25583,39367,31427,50794,44499,50563,21044,55869,31551,31714,31397,58620,17916,38145,72834,16255,26734,42421,22949,20291,25904,33117,32349,38209,39857,56299,24816,30872,21870,30806,43543,23539,69894,18376,13485,51949,41349,48617,39943,22373,24677,23963,23775,30087,55025,43321,67496,124231,62761,29609,15576,12830,55513,99312,28618,34558,17812,24751,53959,20075,31372,23465,15479,106137,56483,71957,25678,29777,28974,44198,27134,20853,23845,46293,33186,38928,18751,28244,33929,31730,76776,22410,20059,40332,17487,51370,64437,52883,64540,19252,23847,17946,6020,25869,22895,16430,13604,13113,44552,46121,13177,50059,33067,24784,33800,39150,28478,29489,53863,104246,72461,20385,42006,18644,31858,31050,51972,60176,47294,26463,9002,96738,114734,41855,61302,53745,28960,31803,12534,63902,137767,46644,130322,40033,29551,58926
01/11/2018,20240,8524,18521,70570,39881,30089,14012,29943,62412,23883,19146,26691,42883,8894,56281,24355,32179,45825,39731,30609,136985,20566,14405,34808,34682,15954,25498,17268,10712,43005,14988,35874,17734,25283,31434,115141,19821,51969,25677,75461,54049,33779,46495,10339,29283,48301,38238,38622,16391,35062,134412,36242,32101,15760,14643,28599,8111,19164,24584,34897,29693,51503,42428,47638,20024,54207,29414,30639,29202,53724,18592,37788,74333,15769,24904,41705,21491,17457,24583,31968,27562,38933,38493,54415,21715,28572,21027,31878,42522,24049,70908,18048,12166,52072,40933,47344,43328,20298,26427,24492,24434,32174,49323,40633,64055,118679,58695,26757,15134,13504,54597,95797,25464,35626,16224,25598,57679,19294,31810,22105,16604,106328,57353,66338,21177,28432,26383,39411,26453,21993,24157,47289,33608,38393,16955,25554,36176,34434,76542,23497,18376,38476,18370,51223,62109,53277,63223,23118,21994,16989,5412,24692,21368,16972,14087,12300,43385,47620,12807,52176,32093,22032,30261,32907,26894,27962,52118,112095,73170,16859,46186,20600,31256,32441,54418,61456,43925,23677,9045,95809,108430,42544,60366,51834,28182,30147,12400,58493,137087,45674,131809,39039,25345,59824
01/12/2018,20898,10324,20208,67689,39580,31842,13612,28249,60076,24339,18512,26808,40644,8400,55118,25571,34214,45266,38473,30012,128312,20441,17226,36179,36176,16220,27107,15926,11314,45689,14725,36037,18802,27513,32229,116771,20892,54385,26241,77118,54866,38400,46933,10120,30608,46572,39138,37532,15719,38299,134319,32945,33349,13174,14295,27066,8885,19254,25520,34869,29052,51841,44815,53644,19680,51993,30056,31594,30151,52115,18260,37492,65814,16719,26383,43450,22496,16440,26611,32430,28153,37737,38379,51181,22574,29388,21918,29548,47122,23273,68905,19244,14084,49149,43507,48840,39874,20373,25505,23140,22685,30016,54081,44991,66992,118996,61615,26974,14489,12879,53125,93407,25222,36379,16695,23359,53967,18343,26920,22772,15565,107258,56214,70991,22520,30721,30758,40552,24970,21449,22217,44716,32607,37705,17188,27630,32815,38217,75649,22824,18424,37242,18378,52232,65173,54503,61745,23944,23149,16706,4856,25503,23447,17715,13437,11931,42589,43411,13800,50296,29878,23301,30665,33222,26347,27302,55645,100947,76250,17321,44221,17665,31360,30971,51899,58608,44235,22835,9500,100202,115367,43192,62785,50666,27654,30930,13216,63345,130700,45992,131083,38677,27800,55852
01/01/2019,21487,11047,21280,71494,44255,28994,14079,32679,64558,26238,19450,30360,42192,8751,56828,25428,35095,46020,36818,32309,134243,21845,16686,36884,35025,16209,29714,16419,10056,46018,16785,35439,18310,26265,31502,116737,20101,47253,27262,78030,55175,41244,49091,9901,30751,50640,37896,40306,17647,37788,135942,39587,30541,15975,15335,28098,8443,18653,28164,36284,29528,54153,47434,48730,18770,58504,30649,33171,30834,53812,19520,39849,67610,16366,27820,43735,23596,17997,25851,33876,29824,40751,41623,50636,25759,31545,22494,28009,39462,24619,70345,17911,14298,52321,41838,49687,45921,21414,25415,24359,25436,31616,51812,43542,69060,120972,59605,28609,14623,14689,52739,103286,27085,37437,17236,26689,56510,21055,31514,21692,16147,106289,54767,68724,21473,31346,27437,40690,28089,21674,25749,51461,37462,38177,17578,26143,32817,38297,74107,24772,16968,39578,19579,50711,65208,51876,65888,21013,21555,17856,5333,27097,23377,16786,13629,14293,43095,48343,13507,55001,32959,27499,31237,35738,26973,29528,53072,105944,73437,19519,46827,18129,33849,31124,51157,65275,44258,23183,8221,101300,118978,43542,62737,52069,29564,31696,13194,60944,145898,46766,143316,40141,27977,58099
01/02/2019,19610,8957,17645,65119,38184,27056,13003,27694,58894,22974,18160,25256,40169,9159,51931,22174,32059,38559,34417,29858,126604,20572,16062,33211,27745,13791,25270,14982,8924,40609,12752,33396,19467,25569,31494,99875,18694,54758,25315,69003,52015,36793,44098,9387,26630,43518,33813,35075,14779,33927,126580,30969,29020,13800,14048,24897,7230,17392,23771,33823,27152,51634,39537,45900,18772,48368,27864,27171,27108,47502,19161,33493,61652,14261,22870,37161,20087,17174,23599,34769,28475,36742,39445,47820,19965,26101,21541,29782,38106,22580,62916,16843,11485,45789,38356,46066,37596,19679,24867,20544,23519,28803,52136,37887,60416,108117,56615,25140,13788,11479,47752,90992,24658,32938,16799,22857,52459,19272,29599,19951,14097,100853,51914,59945,19676,27482,28118,40917,24037,20014,22808,42486,30862,36952,16241,23683,28894,28561,68118,21479,16187,35958,16099,46499,58780,46800,56803,18919,21074,13854,4439,22668,21433,15103,13243,12172,34025,40844,11525,44006,28635,22997,28834,33529,25026,25286,48915,99047,65343,16216,43076,18029,29110,28512,49319,57239,39557,22834,9130,91978,102936,40326,56610,48957,25319,30799,12191,56969,122399,44034,123803,36472,24962,51688
01/03/2019,20334,9493,21684,69877,38581,32419,13359,27426,60664,24897,18398,26692,41227,7679,53301,25178,36492,47023,39068,31631,133576,20439,17448,35698,34034,15174,28070,15271,11368,43214,14669,33280,19681,25111,31454,114668,19852,53216,26471,76684,55612,43016,46372,9573,28514,46766,37211,37042,15211,38782,133702,34867,30521,12230,14095,26079,8813,18160,27209,36070,30554,53951,49024,50160,20766,55154,30071,30470,30309,51899,21412,40305,67057,15336,24683,42917,22758,17883,24192,36300,32774,40865,35197,51939,23652,30143,22431,27231,40801,23535,70078,18748,13181,49947,40472,47026,40087,20617,24986,23312,24824,30100,50793,45521,64664,117890,58930,28177,14258,14222,49154,93344,26508,36946,15668,23827,53770,20086,30643,21461,15014,102400,56925,66299,20167,30555,25620,39899,26180,20920,24852,47600,33978,37383,17854,27444,33114,35975,74679,21688,17235,38271,17555,46228,61370,50547,64640,19582,20672,16912,4698,24631,25833,17068,14316,12977,41720,47806,13049,53955,31397,23182,31492,31559,26685,28190,53036,106635,78876,17874,48644,18294,30704,31753,54248,61469,44402,24408,9277,95867,110249,46269,61635,49845,28279,32663,12095,62214,144725,43744,130007,39561,27893,55008
01/04/2019,18637,9328,16089,69368,39468,30460,14302,29258,61113,23697,19266,27364,43839,8671,59726,25673,34663,44314,35217,31328,129128,21097,15121,34998,34567,14040,29576,16041,10101,45337,14597,35640,18675,26204,31618,116976,21110,48953,25511,76328,54941,42521,47952,9739,28578,53282,37406,38227,15780,39296,122744,33873,30696,15339,16037,26254,8701,18817,25561,35332,27874,48204,44798,47323,19438,53339,28343,29792,28648,49475,17939,37364,67666,16289,26447,41493,22810,18484,26431,37566,29798,40834,35966,46305,24301,27851,25123,30722,40225,24322,70783,17377,12031,50477,40542,46926,37598,19903,25029,21983,24241,30906,53153,42978,67716,114806,60397,25158,13820,11952,51439,95365,26695,35512,14963,23204,53530,20053,30043,20293,15333,102591,56011,61679,21509,28122,25686,42335,25763,20553,25394,44412,34285,37969,16199,23036,28120,39869,76049,26583,17800,40335,15994,46759,62089,52307,60834,21651,21127,13797,4078,23866,21667,16508,14915,12036,39772,44182,13630,49499,29799,23358,32610,36102,24918,28237,51734,99392,71818,17437,47156,18920,28489,31034,53275,60830,44522,23632,7131,101742,110673,44168,59481,51532,27826,32061,11939,59595,135272,46228,134487,37394,27469,58536
01/05/2019,21157,10709,22680,73406,43768,34841,14786,32292,69547,26286,19651,30592,45786,10487,58099,24710,39007,50045,41638,33975,139907,23232,16030,38052,37012,17839,30648,15643,11295,44971,15656,39563,19909,26136,33613,122513,22250,55173,28259,76207,59366,47399,48011,9903,27876,49004,40239,42494,16893,34914,142262,38180,32886,12959,15824,27843,8258,20448,26041,37539,28844,57607,48933,56514,21512,56811,32253,29815,30207,55188,23858,38343,72244,17197,29673,43231,24596,19825,25785,39267,29421,45019,43566,56915,24639,31169,23294,30640,44396,26695,71026,19188,12663,54170,42162,50243,43952,22356,27869,27088,26032,33888,57438,45470,72356,121643,60794,29981,14980,14189,54049,99525,25877,37848,16749,27020,56493,21355,32540,20344,16659,108960,57423,64757,23857,33741,29046,42169,27353,21450,26425,50441,36295,39144,18732,26656,34038,39844,77930,23123,18095,44285,20153,55824,65220,55078,66405,21846,23552,18510,4456,25153,23715,18356,16396,12677,45800,46077,13658,54627,33540,23498,32780,36792,27200,29801,58872,103582,71755,19490,51317,19362,31875,34066,56556,66961,45916,26391,10114,102281,118397,48762,63773,53225,30304,33654,13545,67956,139681,47324,137249,40892,31199,58878
01/06/2019,20586,10031,17380,74013,38729,27860,14515,28481,63043,24547,20155,27017,38549,8025,55965,26408,35086,45456,35886,33504,130454,21646,16960,35681,31469,15450,30274,17339,10864,50604,14307,35394,19648,27484,30335,115640,22087,52484,27365,79533,56240,43103,47178,9109,29328,52727,37159,37804,17528,40439,127795,36170,31264,13714,15355,26881,8707,19029,23319,35067,27482,56922,48627,49810,19705,53130,28921,33875,27954,50217,18655,37586,74373,15268,23855,40508,22747,18922,27485,38920,28773,38596,47053,50297,23917,27507,23882,26701,39387,24007,70966,19068,13505,48113,38780,46212,42031,19404,25585,21494,23268,31656,53779,42691,63502,118495,59359,27509,12889,13032,48969,95020,26169,35112,20205,22921,53455,19859,30587,21049,14758,107968,57312,62017,21962,29368,28108,42633,27190,21080,27355,49843,32817,38569,17888,25008,29848,35991,74427,21706,17795,39616,19134,44734,63327,51578,55922,20327,22097,15336,4255,22750,21955,16799,14447,11473,41883,45613,14080,51294,29993,25392,32405,33633,29029,27895,51654,101573,82459,16865,50092,18691,29485,30594,47650,59690,43942,23382,10881,99142,111701,43274,59220,48222,27910,32948,13775,62199,141824,42852,130926,40165,27582,55964
01/07/2019,18996,9038,23240,72759,45507,30562,14148,28997,63849,26656,20756,27724,43964,9055,54280,23523,34021,47793,39193,35592,135849,22206,17621,37103,33518,15508,29526,17039,10528,45233,12593,37315,18980,28961,32161,122183,19272,52482,26953,74907,58516,42981,46524,9784,28826,49527,40884,40845,16160,41444,127026,33344,30112,14569,15877,26988,10910,20428,28179,37289,29430,54024,48788,49933,20384,60230,28096,34290,29611,47495,20887,35500,73416,14654,28733,42178,24038,18561,28689,37877,34012,42420,42632,51011,23460,29705,23914,36786,45026,24744,69462,19425,15039,50717,37423,50994,39242,21323,24944,23599,25032,33299,56218,40011,59639,110913,64706,28396,12316,14545,49952,99418,28374,39354,16350,24793,53547,21545,32174,18992,16714,102386,57712,61386,23507,29303,29316,42534,27493,23518,27724,48456,33690,40676,17725,26779,32238,33470,81027,25650,17828,40421,20731,57616,62354,49969,60677,18358,23932,17010,4907,24172,23464,19327,16582,12691,44537,48717,13188,50072,31354,25395,33695,33015,27226,29625,56311,105414,78349,21737,52125,23146,30391,31558,58323,65371,47116,25976,11149,92455,101170,46585,65907,49678,27194,29070,12629,60800,132392,45488,132112,37488,30227,60749
01/08/2019,22664,9982,21650,71788,44720,32632,15433,33034,66239,25942,21268,28679,46026,9961,60992,26780,45969,47683,42439,34025,152819,21735,17223,36049,33100,15423,36246,15449,11353,48740,17580,37927,21228,31329,33766,123334,24183,58463,30007,80105,61094,49849,51661,8309,30046,55330,43643,41218,17056,42340,148918,36247,35542,14361,17255,28895,9112,19668,27852,40861,29512,59099,52245,50914,20294,60053,34521,35513,30237,60585,19971,41729,87340,19462,28877,44468,25122,19402,25146,40298,31919,44358,44851,53484,26494,29764,24122,29193,44437,25575,81024,19217,14512,51847,47606,53056,47693,26150,30209,22129,27675,34965,54288,50562,80404,132633,64327,29303,12029,13284,55121,103838,30658,36504,20106,26462,61894,21274,34654,22394,15837,118042,59427,63652,23146,32948,28961,48059,30366,22796,27918,52254,37691,39269,18524,29455,38807,38687,77251,24162,19393,44867,21622,52164,65474,57093,63249,23937,22142,18096,3914,29973,24875,18282,15080,12026,44587,47602,13255,58811,35784,26968,33652,37771,31200,28061,54630,121215,83317,19053,55407,18459,32118,36161,59440,63160,44442,29271,11285,113756,128516,50691,65392,57532,32847,34817,15102,67413,155904,52075,143070,42676,30799,63621
01/09/2019,19516,9910,22434,72635,44314,32734,15283,31119,66757,24788,21225,29468,42534,9377,52422,27887,40325,41950,39641,30774,137314,22096,18348,31366,34521,15066,31265,15282,10488,49150,14238,37600,21361,30630,31809,124546,19883,51589,26595,75634,60148,46186,46350,8364,29887,51369,38169,37961,15880,41725,144201,34992,29193,12612,15440,26090,10116,20065,27058,40717,28968,53882,44638,46593,20625,57916,30988,31647,29959,54502,20447,38382,73968,16994,25843,41115,23958,17495,24916,39726,27534,41378,41891,43518,24336,28781,23796,34854,45053,26035,72552,18814,13011,53379,46110,49440,44996,21798,27354,24509,25865,30749,51783,48108,67788,121099,61807,27872,12627,13379,52821,100827,28817,37235,16266,25988,56738,19820,31560,20686,17115,109424,55874,60113,24078,32599,29559,41011,27566,20467,24475,51067,34863,41239,17740,24859,35442,37657,75256,23934,17768,40852,18179,51330,63613,57736,67573,22397,24940,14974,4810,24936,23562,18950,14577,11807,45035,46829,12434,51742,31037,25284,34510,36173,28389,27803,53536,105748,78567,18341,52117,20804,32563,34291,53999,68796,45726,22951,10319,105958,107690,47144,60768,51504,27070,31096,13884,61084,145995,53653,136297,39699,31694,61357
01/10/2019,21802,10990,23458,77516,47273,34648,16704,36704,65118,29031,22149,29842,48848,10333,60876,28021,40379,44377,44821,34504,152646,23730,16525,39002,37914,17463,35204,17035,12296,53377,15261,43740,21038,31800,33666,125468,23543,62047,29727,80432,60727,49274,51604,9834,30135,58852,47340,41392,19006,43121,152138,36504,32886,15798,17247,28360,9565,22091,27580,37357,30052,62513,54407,54988,22270,62386,33494,38208,30059,59890,19581,43543,80261,17928,28462,45154,27219,22776,31651,42880,32178,41838,47204,60746,25451,31872,25126,34924,45490,29017,78247,19133,14318,54169,46321,53732,45666,24207,29464,22495,28581,34449,63582,50396,75369,130253,70184,30345,13311,14891,57801,105314,31408,40923,19446,26781,60366,22602,37648,20660,16437,114537,60703,62919,23083,32342,29673,47300,30566,24475,26739,53006,37341,42779,20139,28115,35388,41859,77161,25539,18618,43922,18781,54311,73221,60583,70770,22833,25180,17361,3801,27618,25402,19198,16283,12080,46854,45743,13587,57245,34562,23092,39348,38993,30868,30064,53706,113563,83468,17700,57000,22403,32716,36059,57925,64952,45768,24485,11409,114158,127276,55467,69623,50681,32283,32887,14240,69308,161968,55987,147480,42404,33260,64665
01/11/2019,21883,10829,23129,76938,42999,33634,15804,33806,74667,25126,20690,30185,45084,9502,54655,28748,36698,39306,42341,32893,139638,20482,17679,36134,37072,15473,33018,15661,8988,49965,15382,37047,20862,30441,32837,126652,20326,54767,29381,87220,62703,48096,50883,9848,33350,54691,41091,38473,15271,40813,143849,36672,31183,15012,18100,25173,8147,19218,29383,51060,29533,56830,54210,50906,22555,60841,33442,33060,29176,51514,23360,41002,85823,18112,25611,44043,24287,20529,27019,39338,30348,41582,43409,53667,27706,29713,24480,31644,44920,25448,77190,18741,13059,51903,47536,51153,47771,21795,26975,26668,26942,33511,58949,45071,71723,126201,67691,28129,13082,14557,52447,100314,29525,36434,18225,26206,56806,20087,34575,20596,16456,107089,61763,60433,23881,33929,26983,41679,26771,22695,30616,51539,35915,39839,19112,26495,35817,41934,76285,24403,19538,43099,18007,57528,63115,56199,71521,25875,24424,15128,4442,26125,23319,17851,15413,11796,43393,47439,13284,56923,31512,28320,34241,37304,29407,30456,58800,113270,82821,17261,54527,20676,32545,35943,54779,64957,44857,29890,10162,107745,115559,47448,62511,51681,29020,32615,11370,69377,157993,52654,141212,39468,32862,63932
01/12/2019,20836,10963,21475,77045,45990,31415,15820,31627,67665,29797,21667,27556,47346,9097,56687,27891,42350,41312,41561,32710,144211,23472,18433,39073,32979,17102,34402,16972,11988,51217,15938,42345,19811,36399,32483,126818,20456,55042,29110,85005,58381,50392,49661,10391,29001,56389,42723,40448,17612,43138,141574,36412,30865,14873,16898,26162,9536,19892,27996,39675,30763,56905,50485,49593,21300,58740,30913,33365,28523,53055,21342,39322,75526,17728,29081,44086,22520,21626,27477,41368,32039,43251,48405,52379,24930,28377,24823,35792,42786,27097,80193,18915,13526,53739,44497,52493,42744,22585,30109,22450,26014,33539,57150,48128,73416,128916,68610,29160,12785,14131,56168,99845,29848,41898,20942,26500,60533,20572,31948,20605,16835,111032,60516,60673,25988,33942,28214,46684,30157,24828,28541,50764,33225,41642,17890,27206,34932,35378,88423,23987,18696,41267,19850,51496,68757,57832,66846,21510,24580,17157,4196,27946,23443,18491,14659,12400,45242,47260,12620,55351,33522,26345,36225,35434,30005,27817,53733,108857,86041,18606,55733,20720,32034,36537,56119,65278,43234,27642,12649,103007,118292,48636,67097,53625,29210,35705,12508,67581,159657,51739,138670,39396,33773,60854
