,E38000001,E38000002,E38000004,E38000005,E38000006,E38000007,E38000008,E38000009,E38000010,E38000011,E38000014,E38000015,E38000016,E38000018,E38000019,E38000020,E38000021,E38000023,E38000024,E38000025,E38000026,E38000027,E38000028,E38000029,E38000030,E38000031,E38000034,E38000035,E38000037,E38000038,E38000039,E38000040,E38000042,E38000043,E38000044,E38000045,E38000046,E38000047,E38000048,E38000049,E38000050,E38000051,E38000052,E38000053,E38000054,E38000055,E38000056,E38000057,E38000058,E38000059,E38000062,E38000063,E38000064,E38000066,E38000068,E38000069,E38000070,E38000071,E38000072,E38000073,E38000074,E38000075,E38000076,E38000077,E38000078,E38000079,E38000080,E38000081,E38000082,E38000083,E38000084,E38000085,E38000086,E38000087,E38000088,E38000089,E38000090,E38000091,E38000092,E38000097,E38000098,E38000099,E38000100,E38000101,E38000102,E38000103,E38000104,E38000105,E38000106,E38000107,E38000108,E38000109,E38000113,E38000115,E38000116,E38000117,E38000118,E38000119,E38000120,E38000121,E38000122,E38000124,E38000126,E38000127,E38000128,E38000129,E38000130,E38000132,E38000133,E38000134,E38000135,E38000136,E38000137,E38000138,E38000139,E38000140,E38000141,E38000142,E38000143,E38000144,E38000145,E38000146,E38000147,E38000150,E38000151,E38000152,E38000153,E38000154,E38000156,E38000157,E38000161,E38000162,E38000163,E38000164,E38000165,E38000166,E38000167,E38000168,E38000169,E38000170,E38000171,E38000172,E38000173,E38000174,E38000175,E38000176,E38000177,E38000178,E38000179,E38000180,E38000181,E38000182,E38000183,E38000184,E38000185,E38000186,E38000187,E38000188,E38000189,E38000190,E38000191,E38000192,E38000193,E38000194,E38000195,E38000196,E38000197,E38000198,E38000199,E38000200,E38000201,E38000202,E38000203,E38000204,E38000205,E38000206,E38000208,E38000210,E38000211,E38000212,E38000213,E38000214,E38000215,E38000217,E38000218,E38000219,E38000220,E38000221,E38000222,E38000224,E38000225,E38000226,E38000227,E38000228
01/05/2017,19947,8944,21181,67320,40440,33082,13504,27980,56794,26248,16897,27480,37800,7454,57036,26191,29600,42945,36272,24899,130946,21671,15871,32975,27405,15365,21938,16131,10104,32854,14616,30308,20075,23646,29565,107631,17453,52124,30514,62372,49224,20983,42485,13644,27885,42354,34318,36605,15941,33376,124400,36525,30538,16106,11832,28209,9196,18154,22520,35288,28136,51511,36871,48309,20542,47882,27483,29718,30072,48058,17578,33211,71018,14956,27308,43515,18481,18540,26909,24856,26514,40533,39231,51213,18535,32316,18376,23478,44421,22538,66796,18484,14261,54126,37029,45498,39347,18785,24563,22585,23267,28620,54821,39023,63496,119484,53938,28141,15732,12296,50574,88920,27673,35022,16705,23447,52607,20291,28424,23832,15317,111265,52940,75582,23362,26449,26331,36699,26853,17796,21283,42684,30548,38141,14553,26631,32805,31299,78957,22229,17780,33250,17635,47416,54745,51755,56924,15688,19331,18312,7305,24272,19164,16651,11747,12942,42380,47789,11444,51980,33029,22683,28714,31571,27655,26895,46738,102300,68136,15375,32645,19030,30804,30737,45550,49395,41675,22988,8576,90611,108201,40169,60471,53767,25045,30463,12450,45629,125433,42142,135207,32472,22748,52232
01/06/2017,20099,10182,21007,69515,40777,31285,12414,26108,58257,26599,16657,26272,37308,6810,61261,23886,33566,44401,35078,26426,129459,20935,14629,35680,28042,14401,24570,16646,10212,37690,16044,32068,18499,22856,32129,101309,17869,54885,27581,65286,48653,22609,41141,14502,25940,41568,39646,37487,15339,30181,128115,37645,36227,18208,11637,26749,9981,19267,23613,33767,26290,47822,35701,52252,18661,50612,30761,29516,29965,49753,19422,32223,67439,14840,27406,43396,18245,18342,24093,25034,28828,40300,38412,52629,21484,28736,19116,23099,42551,25301,71902,18647,14014,49708,42876,46580,40119,20435,24389,24902,23106,27666,51244,42120,58977,119107,52727,29082,15515,12291,51375,90826,27099,34770,16071,21117,52240,19817,29747,25750,16056,109988,50712,75681,22879,28544,24952,37553,28712,17962,22014,38187,32197,38680,14647,27754,29664,30365,77254,20682,19663,33905,16015,52463,51491,50745,58108,18779,19372,17126,7336,23917,21699,15808,12931,13438,43365,47183,12899,55129,33002,20856,27507,31771,28426,27639,47134,97225,65476,16048,32779,16989,30757,30799,47057,49824,43975,22724,9947,93417,110056,39889,60272,52624,23907,27347,11618,48182,121539,43192,137504,34033,23591,53543
01/07/2017,19246,10472,20770,66145,38059,30024,11505,23687,56784,26742,16742,26176,37787,7916,56412,22887,28771,43103,35690,24919,125536,23950,13655,32598,27506,15586,23828,17360,9919,34681,15141,30737,18889,25749,30652,99200,18160,53366,29542,68877,48536,22769,43707,12826,24611,41454,38076,36791,15921,33624,118518,36666,31191,15670,12408,27113,8606,18516,22995,34479,26223,45518,33006,51194,19716,47671,28052,30887,26463,49337,17713,33211,65154,14166,25289,42454,19759,18192,22753,25231,25515,39613,37445,48508,20042,28767,19492,26220,40840,23180,67644,17147,14094,48935,37271,44989,37528,18853,24968,22179,21890,28857,46821,41369,63645,116877,50529,27490,16334,12115,47864,87898,27238,36353,21381,23247,52956,18494,31161,25995,15978,106657,54158,69141,20113,27228,25682,32610,27116,16866,21785,41533,33624,36891,13080,26656,27272,27618,75057,21675,18462,34159,17737,48690,53703,49684,59066,18193,18348,18271,7013,24230,20561,16790,12985,14191,41857,46161,11146,52549,30529,23560,28721,32275,26260,26274,47845,98813,63499,17249,32258,18293,31308,29733,47308,48734,41901,21957,10052,87110,101036,39232,60016,56375,24985,28048,11915,46663,124664,41278,131325,36134,22927,55402
01/08/2017,19956,8701,20277,67926,38659,29621,13879,24683,57317,25629,16137,26893,37158,7482,55835,23380,29783,46016,36964,24917,132240,21753,14983,34540,29553,16111,27354,15230,9957,36225,15591,31075,17677,24747,31614,102064,18451,53818,28291,68282,49462,23023,44106,13710,28816,41423,35993,38446,16000,36214,130772,34135,34382,17429,12507,27570,7931,17386,22847,33751,25297,48591,35786,48797,19823,49250,27680,28485,29662,45034,17882,33275,66105,15221,23994,42510,17783,18570,24115,26268,27634,41238,39284,54592,20637,28808,19608,24254,42833,26300,68118,17771,13833,50066,40300,45595,39047,18902,23386,22349,22240,28333,55087,41363,58798,115622,55297,28905,16247,12252,48947,91147,29236,33299,18396,21787,53489,19589,26705,24352,15881,111116,51912,71324,24863,27230,25996,35204,26824,18549,21998,40599,31642,39161,16208,27204,28310,30601,76921,20744,17650,36437,17775,51779,55837,48128,58928,17292,18807,16384,6829,25462,19771,15275,13261,12516,42971,47481,12687,49950,31536,22049,27544,32565,29169,27984,48607,103192,65282,16902,34028,17623,30553,30149,45924,48501,42572,22219,9522,92961,105155,40543,57901,53393,24137,28890,11503,47313,121729,43332,136641,34839,25260,52894
01/09/2017,17976,8412,19792,67525,37462,30662,13028,26996,55682,25270,16769,27381,36084,7323,55864,22570,32770,43562,35723,24762,129604,20279,12588,32711,27651,15275,22760,16401,11544,35239,15625,31421,17549,23254,30639,105458,18445,54188,29011,66894,48671,23844,44224,12460,26617,40039,35983,32932,17026,32730,120365,38285,30996,15629,12725,26073,8890,16882,22624,34115,24792,48723,35899,48796,18692,48468,28555,28561,27388,45882,18067,31731,70972,14616,25328,40893,19569,19073,24148,24528,24860,40678,36727,50903,18653,28371,19318,22990,41931,22006,67748,15668,14139,49391,38507,46397,36628,20338,22949,22957,20066,28482,48424,40102,63298,112307,52358,28032,15320,11809,51142,89903,26972,34289,18234,20435,49389,19523,29527,23684,14271,106746,53064,70829,22096,28324,26559,35473,27294,19863,22141,43109,31047,36515,14715,24773,29923,29184,73651,20895,17933,31847,15795,49259,55971,51767,57842,16269,18652,17173,7181,24126,18082,16326,12587,12778,41966,47712,10930,55307,30550,22384,30255,33570,26130,27552,47327,97867,63605,17077,33798,17664,30796,31357,46725,51692,42448,21809,10654,90853,107305,37589,56531,51774,23388,27735,11993,45169,122870,39729,130316,34777,25705,55105
01/10/2017,19828,9349,21290,65864,37952,30540,13315,25575,58460,24534,18068,26779,39167,6929,58303,24190,30754,43204,38296,25610,136928,23770,13341,33756,28831,14705,25276,15002,10161,36528,15522,30701,19898,23722,30714,109039,18658,53649,30205,67190,48379,25735,44430,12829,28110,44152,35895,36128,16616,33718,122063,38339,32415,16495,12769,27343,6628,17817,22861,36312,27869,47655,36960,50346,18695,52199,27336,27876,28714,49377,17938,34962,63102,13742,25589,41039,22210,18976,24638,28068,26936,38974,39881,50553,20665,29448,18711,26988,43208,24040,69953,17766,14116,49662,41167,45755,37685,19634,23589,23153,24559,28211,53136,39470,57683,119015,57448,28422,15780,13130,47779,92803,28981,35197,19414,23187,53283,18703,29487,28625,14769,109467,51983,68789,24925,28405,26476,37411,27982,19150,21923,44534,31269,37964,14699,27631,31625,31167,77449,21833,19013,35485,19305,49466,58862,50692,55690,18876,19592,17933,6743,24500,21374,15938,13691,11739,44019,45376,12497,52762,31280,21559,29062,30354,26578,27771,47846,96083,68672,15504,34598,18479,32248,31962,48242,53382,42745,22056,10270,95627,105218,40370,59614,53934,26131,28668,11827,45819,127277,44070,139584,38787,23798,55379
01/11/2017,19631,9310,18883,70115,42559,29661,13218,27051,58480,25792,17714,27847,39198,7710,57136,22785,31797,44871,37241,28069,134933,21658,14201,34706,30690,15611,25249,17303,11163,36455,16044,31357,18518,22998,30203,108567,19554,55767,28423,69694,50897,24914,45302,13267,27754,43834,37660,37646,16798,35672,128495,36711,32604,16526,13741,28735,9580,17643,24109,34715,28939,48810,35034,46877,19467,50663,28254,29680,29250,50877,19046,35746,69476,15870,27625,40000,19537,16992,26624,26515,26752,41454,38255,52538,20705,30190,20341,26842,44395,24365,70706,18074,14508,50008,39440,47437,38311,18816,25213,24304,24040,27116,53746,41625,66325,120419,58664,28462,15699,11833,50527,94877,27940,32539,15901,22788,50677,20628,29342,25300,15209,101952,55533,70978,24675,30794,28513,36233,28919,19721,22008,42093,32766,39104,15365,27897,32128,32514,80366,21562,18684,34308,19265,49058,61916,52062,66396,18671,20353,17103,7034,24090,22213,18469,12654,14894,44009,44582,12459,50711,31833,22900,30114,35639,27216,29969,47122,101741,68515,19577,35518,16838,30061,31643,45438,58460,43685,22842,9278,95706,112659,39997,59948,53421,25647,28749,11560,50686,132611,42451,138303,37812,23621,54386
01/12/2017,19557,9422,18696,70480,40174,29850,12452,26419,58760,25473,16593,27752,38311,6910,56749,24423,30465,39569,34115,24200,136008,20971,14556,36644,29738,15269,25270,15724,11442,38209,17137,33026,17895,23037,31136,108476,18974,54767,30775,68059,51606,26760,44736,14068,26053,42595,39802,37199,16978,37472,121141,36205,32357,15506,13279,28488,8316,18756,22919,34581,29336,48375,44928,48519,19166,54411,28172,27531,29366,47111,19941,36050,67826,14298,24959,41912,22869,18220,24657,27000,25193,39991,39659,53297,20113,29230,18349,27750,42946,24130,69870,17796,13490,50818,42666,47738,39406,20110,24279,22275,21975,26475,52499,42145,61449,124422,57496,28898,16733,13963,53465,89291,27361,35588,19400,21606,56888,20552,29565,27465,15811,112615,55085,67713,24673,28310,27206,37011,27378,21851,22826,38149,29785,39399,15342,26831,31081,34465,77448,21675,18547,34767,16423,51243,60955,50240,57166,21902,20807,17153,6555,25475,22692,17221,12882,11923,41038,47687,12491,48150,31678,23511,29655,35318,26686,28009,47065,105791,66385,16016,34691,17911,32364,31676,46848,55575,42945,22585,9994,92065,112216,40156,59191,53361,23937,28047,12219,51386,126523,45179,136069,38572,24318,51581
01/01/2018,20585,9785,18882,70085,41739,30734,12784,26769,58961,25102,18472,28217,39768,7095,58095,23755,35869,46619,35906,27533,134640,22735,14305,37279,30929,15203,25312,18432,9889,38402,14781,32090,18428,23979,29515,110246,19792,52146,30057,73760,51595,27577,46792,13111,26939,43141,36811,39267,16220,36076,127551,37244,32976,16673,13513,27496,7939,19314,23301,34992,28530,49848,40364,49232,18801,54756,28233,31373,30153,54287,18119,34419,65014,13926,26673,42095,21324,19224,24277,27349,28489,38645,38598,56546,19775,30171,18735,26025,42677,23801,71509,18407,12750,51914,42318,47812,37389,20396,24111,21829,23848,28746,50406,40131,64780,116671,59656,28750,16558,11846,50264,99995,27421,35564,17875,24743,53655,20267,31230,25816,15879,108722,54264,73809,23063,30485,27913,35946,28930,18889,24783,45551,32089,41298,14664,26890,33460,33858,77913,22350,19772,37399,18535,49356,60526,53706,62984,20543,20712,16249,6735,25240,21580,16418,13230,15326,43072,46678,12004,52295,31296,22467,29958,33532,27364,30079,48710,101877,68232,18899,35325,18462,31726,31313,48452,54884,43895,22883,9579,94304,109525,41066,59229,53786,25148,28760,11372,52998,132090,41426,136536,37010,25424,54776
01/02/2018,17529,8951,17418,65677,34871,26975,11799,26508,53451,23143,16371,26736,34457,6812,53480,20523,25626,37520,32426,23415,117547,19509,11860,31242,27431,13850,23509,15388,9008,36616,13016,29667,17005,21448,27640,95734,18831,48508,28013,65447,45935,23589,42096,13230,28166,40202,33103,33974,15210,31468,115629,31298,30231,14026,11560,23996,7365,15870,20449,30585,27073,44446,38966,40384,17929,48772,24960,25423,26340,46128,17117,32493,55515,12052,22393,37456,18775,15703,23839,26336,26637,37632,35875,47727,19702,28314,19265,27141,39112,21670,62036,14932,11380,46126,34683,43160,34133,17986,23444,21010,22014,24312,46832,34787,55569,104412,50720,25137,13325,11640,48006,84899,25546,31949,15534,20278,46919,17144,27776,23307,14696,92799,48239,66208,21207,26623,25529,33223,25869,17977,20791,37989,29613,35611,14835,25365,29666,27794,70250,19474,16245,31000,15228,45514,51950,46937,53291,15687,18674,15809,5613,22660,18908,15418,11976,10510,39841,40082,10965,45322,29101,21031,27607,27824,24528,24985,44414,93557,58608,16626,34859,15783,28307,27637,43444,50787,40565,21494,9199,82976,100876,37508,53491,49396,20298,26846,11014,48605,118859,40205,124110,35006,22048,50832
