,G81019,C82039,G83018,F84047,M83054,M83056,L83127,D83035,J82144,L81030,B81603,H82100,L84017,E82054,L83054,H82021,H85026,L84085,L81043,Y03584,F86018,L82045,C82063,D83061,A81023,E85088,N81061,M85026,L83137,F85003,K84073,B82004,J83002,M91017,M84603,J83609,G82120,E82005,D82065,L81072,K82079,J82005,N84025,N85037,J81014,L81008,D81062,L83082,M85774,E81033,D82071,C82043,B82012,C87005,P82002,J81058,P82008,M85081,F81619,D82048,M86013,J82128,A82012,F84717,G82025,H82013,M82039,Y00522,G81083,B81068,B83038,Y02787,C81017,J81003,D81046,C84064,C85004,C88049,K83003,C84045,A81629,B86094,C84051,P82001,J81010,M87601,H82005,F85030,C84024,C84074,Y05876,M81042,L83011,J84013,H82028,C84710,A81011,L81040,B82060,D81625,B82104
2017-01-01,6,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,1,,2,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,2,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,3,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,2,,5,,,,,,,,,,,,,,,,,,10,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,1,,4,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,1,,4,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,2,,1,,,,,,,,,,,,,,,1,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,2,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
