,B83020,K84026,E84031,M91659,E87010,K82025,E82083,B86022,H82088,M83069,P81095,F84081,K81059,P83011,F85014,K83002,C83046,F84698,K83041,L81017,G85724,F81129,C88037,F84123,F86022,J82001,M88600,K81644,L83102,E81038,C83007,B87006,F82612,B82091,L84059,M85028,J82097,G82753,E82027,B81004,M92654,H81034,B82017,H84030,B86643,D82024,E85050,C86001,G81025,G82032,F81738,B82011,Y00469,B83044,K83026,M87013,M85713,K84027,J82178,L84023,K83047,J82129,D81615,J83005,L81085,B86002,B83015,J83063,E82627,F84658,K83618,B84006,F85029,G85039,B82025,D81045,B82088,F81079,F82625,F84702,Y02827,E85026,C83059,A81021,L84050,M89024,B82067,M86003,M87009,K84051,E85697,F81127,F82668,K81041,D81046,B85019,E84002,M88630,K81051,Y00486,E86605,J82163,H82026,P92042,M92627,C85001,Y02624,B86093,J83035,C83010,H85115,B83622,E85128,K82011,F84012,F81042,B85041,B82106,E81009,J82121,F85063,M87605,K82076,Y00159,P86014,E85020,M85749,J82069,B83653,B85645,F81057,M83661,M92607,M85011,B82038,J82110,E87008,J82019,M87017,K81073,D81007,B82092,B83058,K81002,E85062,M85123,B83029,D83022,M82014,P87035,B87021,P84644,L85029,A83037,M85023,J82630,L82015,P91625,Y02615,M85170,F82647,B83033,G81029,E83011,J82103,Y00658,E81005,E82132,M81045,B86035,M86624,L81068,F81074,A83027,B83061,J82081,J82106,F81721,J81073,C87010,B85008,L83115,J82130,J83036,M87036,C87621,L82046,B82044,M88044,K83040,K82003,C82667,B86013,B86012,M84006,B83028,H81132,L83034,L82045,D81629,M91029,C83013,B83038,B85646,K83022,E81049,B83021,Y05164,H81069,J82206,C83037,L84044,J82040,J82075,M85680,M85060,L83043,M92024,J82099,B87028,P82034,K81077,E81064,B87007,D81625,M91026,B82026,L82009,P92016,E83013,D81044,L85008,M91625,A84018,J82622,F82021,M88009,L83100,J82035,L84027,J81021,E81027,C82033,J82028,B83005,B83034,G82041,G82790,D81013,Y02469,F81078,J82207,B83055,D81016,B87003,Y02987,D81014,L81123,D83005,H85033,M82056,F82660,E84008,B81048,N81115,D83038,D81631,M91004,P91032,F84039,J83056,P84035,L82056,G85083,M82057,G82888,D83008,G85046,Y01690,M84028,E81035,B83041,F81011,E82067
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,40,,,,,,,,,,,,,,56,,,,,,,,30,,,,,,,,,,,,,100,,,,30,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,30,,,56,180,,,,40,,,,,,,20,,,,,,56,,,,,,,40,,,,,,40,,,,,14,,,,,,,,,,,,,,40,,,30,,,,,,,,,,30,,14,,,,,,84,90,,,,50,,63,,,42,,30,,,,,,,,,,,,,,,20,,14,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,56,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,30,,,,,,,,,,,,,,,,,60,3,,84,90,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,28,,,,,,,,,,,30,56,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,60,42,,,42,,,,,,,,,,,,,,,,,20,,28,,,,,,,,45,,,30,30,120,14,20,60,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,,,,60,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,120,,,,,,90,,,,,,,,,,,,,,,30,,100,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,28,180,,,,,,,,,,,,,,,,,56,,,,,30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14,,,,,,28,,,,,,,,42,,,,,30,,,,,,,,,14,,,,,,20,,14,,,,,,,40,,,,,,60,,20,,,20,3,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,120,,,,56,80,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,28,90,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,86,56,,,,,,,,,,,,,,,,,14,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,14,,,20,,,,,60,,,30,,,14,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,30,,100,,,,,,,,,,,,,,,,,,30,,,,,,,,,30,,,42,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,28,,,,,,,,,,,86,,,,,,,,,,,,,,,,,30,,,,,,,28,,,,,,,42,,,,,,,,,,,,,,,,,,,,,20,,14,,,,,,,,,,,60,,60,,,,,20,,100,,,3,100,100,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,56,,,,,,300,,135,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,112,42,,,,,,,,,,,,,,,,,,,,,,,14,2,,,,,,,60,,,,,,14,,,,,,,,,,,,,30,30,60,60,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,168,,,,,,100,,45,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,60,98,,,,,,,,,,,,,42,21,,,,,,,,,,,,,,,,,,,,20,,28,2,,,,,,,60,,,30,,60,,20,,,,,,,,,,,,,,,,,4,2,60,30,30,20,14,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,240,,,,56,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,42,,,,,,,21,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,60,,120,,,,,,,,20,14,60,14,28,28,42,3,100,100,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,14,,,,,,,42,,,,,112,,21,,,,,,,,,,,,,,,,,,,,,,14,,,20,,,,40,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,14,30,,28,14,,,,,45,100,45,,,,,,,,,,,,,,,,,,,,
2019-05-01,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,56,80,,,,,,,90,,,,,,,112,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,,,,,,,,,,,,,,,,,,,,20,,28,,,,,,,,,,,30,,,,,,,,,100,,,,,,,60,,,30,,,,60,,,,14,60,,,14,42,,,,45,,45,3,3,45,6,20,,,,,,,,,,,,,,,
