Time period,OrgCode,ParentOrgCode,Quarter,QuitStatus,Total
2018/19,E06000006,E12000002,4,Not known,25
2018/19,E06000006,E12000002,4,Not quit,61
2018/19,E06000006,E12000002,4,Quit,152
2018/19,E06000006,E12000002,4,Quit CO,110
2018/19,E06000006,E12000002,4,Set quit date,238
2018/19,E06000007,E12000002,1,Not known,18
2018/19,E06000007,E12000002,1,Not quit,22
2018/19,E06000007,E12000002,1,Quit,230
2018/19,E06000007,E12000002,1,Quit CO,82
2018/19,E06000007,E12000002,1,Set quit date,270
2018/19,E06000007,E12000002,2,Not known,19
2018/19,E06000007,E12000002,2,Not quit,35
2018/19,E06000007,E12000002,2,Quit,182
2018/19,E06000007,E12000002,2,Quit CO,70
2018/19,E06000007,E12000002,2,Set quit date,236
2018/19,E06000007,E12000002,3,Not known,38
2018/19,E06000007,E12000002,3,Not quit,52
2018/19,E06000007,E12000002,3,Quit,190
2018/19,E06000007,E12000002,3,Quit CO,56
2018/19,E06000007,E12000002,3,Set quit date,280
2018/19,E06000007,E12000002,4,Not known,6
2018/19,E06000007,E12000002,4,Not quit,25
2018/19,E06000007,E12000002,4,Quit,286
2018/19,E06000007,E12000002,4,Quit CO,94
2018/19,E06000007,E12000002,4,Set quit date,317
2018/19,E06000008,E12000002,1,Not known,1
2018/19,E06000008,E12000002,1,Not quit,158
2018/19,E06000008,E12000002,1,Quit,75
2018/19,E06000008,E12000002,1,Quit CO,72
2018/19,E06000008,E12000002,1,Set quit date,234
2018/19,E06000008,E12000002,2,Not known,1
2018/19,E06000008,E12000002,2,Not quit,152
2018/19,E06000008,E12000002,2,Quit,68
2018/19,E06000008,E12000002,2,Quit CO,65
2018/19,E06000008,E12000002,2,Set quit date,221
2018/19,E06000008,E12000002,3,Not known,0
2018/19,E06000008,E12000002,3,Not quit,158
2018/19,E06000008,E12000002,3,Quit,77
2018/19,E06000008,E12000002,3,Quit CO,77
2018/19,E06000008,E12000002,3,Set quit date,235
2018/19,E06000008,E12000002,4,Not known,0
2018/19,E06000008,E12000002,4,Not quit,165
2018/19,E06000008,E12000002,4,Quit,118
2018/19,E06000008,E12000002,4,Quit CO,117
2018/19,E06000008,E12000002,4,Set quit date,283
2018/19,E06000009,E12000002,1,Not known,16
2018/19,E06000009,E12000002,1,Not quit,168
2018/19,E06000009,E12000002,1,Quit,47
2018/19,E06000009,E12000002,1,Quit CO,44
2018/19,E06000009,E12000002,1,Set quit date,231
2018/19,E06000009,E12000002,2,Not known,14
2018/19,E06000009,E12000002,2,Not quit,186
2018/19,E06000009,E12000002,2,Quit,39
2018/19,E06000009,E12000002,2,Quit CO,35
2018/19,E06000009,E12000002,2,Set quit date,239
2018/19,E06000009,E12000002,3,Not known,182
2018/19,E06000009,E12000002,3,Not quit,6
2018/19,E06000009,E12000002,3,Quit,15
2018/19,E06000009,E12000002,3,Quit CO,2
2018/19,E06000009,E12000002,3,Set quit date,203
2018/19,E06000009,E12000002,4,Not known,19
2018/19,E06000009,E12000002,4,Not quit,120
2018/19,E06000009,E12000002,4,Quit,41
2018/19,E06000009,E12000002,4,Quit CO,21
2018/19,E06000009,E12000002,4,Set quit date,180
2018/19,E06000010,E12000003,1,Not known,63
2018/19,E06000010,E12000003,1,Not quit,59
2018/19,E06000010,E12000003,1,Quit,330
2018/19,E06000010,E12000003,1,Quit CO,215
2018/19,E06000010,E12000003,1,Set quit date,452
2018/19,E06000010,E12000003,2,Not known,59
2018/19,E06000010,E12000003,2,Not quit,62
2018/19,E06000010,E12000003,2,Quit,291
2018/19,E06000010,E12000003,2,Quit CO,179
2018/19,E06000010,E12000003,2,Set quit date,412
2018/19,E06000010,E12000003,3,Not known,56
2018/19,E06000010,E12000003,3,Not quit,50
2018/19,E06000010,E12000003,3,Quit,299
2018/19,E06000010,E12000003,3,Quit CO,182
2018/19,E06000010,E12000003,3,Set quit date,405
2018/19,E06000010,E12000003,4,Not known,68
2018/19,E06000010,E12000003,4,Not quit,51
2018/19,E06000010,E12000003,4,Quit,277
2018/19,E06000010,E12000003,4,Quit CO,172
2018/19,E06000010,E12000003,4,Set quit date,396
2018/19,E06000011,E12000003,1,Not known,142
2018/19,E06000011,E12000003,1,Not quit,12
2018/19,E06000011,E12000003,1,Quit,165
2018/19,E06000011,E12000003,1,Quit CO,83
2018/19,E06000011,E12000003,1,Set quit date,319
2018/19,E06000011,E12000003,2,Not known,90
2018/19,E06000011,E12000003,2,Not quit,18
2018/19,E06000011,E12000003,2,Quit,220
2018/19,E06000011,E12000003,2,Quit CO,201
2018/19,E06000011,E12000003,2,Set quit date,328
2018/19,E06000011,E12000003,3,Not known,112
2018/19,E06000011,E12000003,3,Not quit,22
2018/19,E06000011,E12000003,3,Quit,213
2018/19,E06000011,E12000003,3,Quit CO,193
2018/19,E06000011,E12000003,3,Set quit date,347
2018/19,E06000011,E12000003,4,Not known,146
2018/19,E06000011,E12000003,4,Not quit,19
2018/19,E06000011,E12000003,4,Quit,251
2018/19,E06000011,E12000003,4,Quit CO,241
2018/19,E06000011,E12000003,4,Set quit date,416
2018/19,E06000012,E12000003,1,Not known,45
2018/19,E06000012,E12000003,1,Not quit,28
2018/19,E06000012,E12000003,1,Quit,95
2018/19,E06000012,E12000003,1,Quit CO,80
2018/19,E06000012,E12000003,1,Set quit date,168
2018/19,E06000012,E12000003,2,Not known,56
2018/19,E06000012,E12000003,2,Not quit,25
2018/19,E06000012,E12000003,2,Quit,111
2018/19,E06000012,E12000003,2,Quit CO,103
2018/19,E06000012,E12000003,2,Set quit date,192
2018/19,E06000012,E12000003,3,Not known,61
2018/19,E06000012,E12000003,3,Not quit,16
2018/19,E06000012,E12000003,3,Quit,98
2018/19,E06000012,E12000003,3,Quit CO,74
2018/19,E06000012,E12000003,3,Set quit date,175
2018/19,E06000012,E12000003,4,Not known,76
2018/19,E06000012,E12000003,4,Not quit,48
2018/19,E06000012,E12000003,4,Quit,118
2018/19,E06000012,E12000003,4,Quit CO,98
2018/19,E06000012,E12000003,4,Set quit date,242
2018/19,E06000013,E12000003,1,Not known,0
2018/19,E06000013,E12000003,1,Not quit,0
2018/19,E06000013,E12000003,1,Quit,0
2018/19,E06000013,E12000003,1,Quit CO,0
2018/19,E06000013,E12000003,1,Set quit date,0
2018/19,E06000013,E12000003,2,Not known,40
2018/19,E06000013,E12000003,2,Not quit,13
2018/19,E06000013,E12000003,2,Quit,23
2018/19,E06000013,E12000003,2,Quit CO,23
2018/19,E06000013,E12000003,2,Set quit date,76
2018/19,E06000013,E12000003,3,Not known,33
2018/19,E06000013,E12000003,3,Not quit,0
2018/19,E06000013,E12000003,3,Quit,46
2018/19,E06000013,E12000003,3,Quit CO,46
2018/19,E06000013,E12000003,3,Set quit date,79
2018/19,E06000013,E12000003,4,Not known,70
2018/19,E06000013,E12000003,4,Not quit,0
2018/19,E06000013,E12000003,4,Quit,69
2018/19,E06000013,E12000003,4,Quit CO,69
2018/19,E06000013,E12000003,4,Set quit date,139
2018/19,E06000015,E12000004,1,Not known,113
2018/19,E06000015,E12000004,1,Not quit,15
2018/19,E06000015,E12000004,1,Quit,281
2018/19,E06000015,E12000004,1,Quit CO,213
2018/19,E06000015,E12000004,1,Set quit date,409
2018/19,E06000015,E12000004,2,Not known,60
2018/19,E06000015,E12000004,2,Not quit,83
2018/19,E06000015,E12000004,2,Quit,289
2018/19,E06000015,E12000004,2,Quit CO,229
2018/19,E06000015,E12000004,2,Set quit date,432
2018/19,E06000015,E12000004,3,Not known,75
2018/19,E06000015,E12000004,3,Not quit,95
2018/19,E06000015,E12000004,3,Quit,301
2018/19,E06000015,E12000004,3,Quit CO,237
