,M91017,C82020,Y02786,G81041,N85006,G83034,N81005,N83017,M87008,L81016,K84002,F81636,Y01050,P84023,N84004,A81036,M87634,F81635,C85030,J82017,B82004,A81067,B83043,A84043,J82052,D81009,M81003,C82029,C85024,C84060,D81001,F81019,F86637,H82087,H82048,F83049,L83066,A88002,P92014,B86039,L81018,C81101,B86014,B85019,C81096,M85023,Y02961,C81024,D81018,D83007,P91021,F81741,B82013,M91604,P84637,A82033,M83042,M82051,N84626,C81002,C81045,C84013,E82068,F86004,A81053,J81065,H82066,L83067,J82210,F84121,E87070,G82120,F86032,A87003,C85033,L82058,J83625,F81027,B86017,G82036,G83017,K83012,P81734,A83022,D83045,M85167,B82098,P81029,P82031,D82071,B87023,A87007,C87029,D81002,K83013,H85693,B81009,C82614,B83045,C82012,M82060,H81644,D82035,N82668,D81006,J81006,E87011,E82081,P88013,E82092,B85044,A89010,C81060,C81649,A81030,L84022,H81125,Y02713,G81082,A88025,D82030,M85042,A82003,H81043,L85030,E85064,E82123,K82054,L81085,P92031,K81006,P91012,A86036,F85072,A83038,F83015,C88023,L82023,H84625,B86625,B83027,E85107,J82132,P87649,N85008,L82044,P81087,P92008,E82074,L81053,F81010,L84030,C81655,G82073,N81118,G83647,B86049,M83638,Y00159,G82156,C81615,B86048,F81219,D82068,B82050,H84034,J84019,E84061,N85053,G82097,P81674,N81114,C84017,D83038,C85015,G85045,M85070,F81017,F85014,E82017,B81100,E85052,A82034,Y03079,G81641,P86022,C84120,D83012,A83037,A87005,L82039,C81029,D83008,E82069,M84629,C88026,K81066,B86037,D82029,J81012,G82719,J81017,P81078,H82038,C84692,G82123,P81664,K82631,B82032,L81041,J81045,P92007,K81043,F81037,J82088,B82104,M84041,F86012,H85023,J82168,D83020,M85008,C83650,C83040,J83018,N81015,G81008,C82068,G83058,Y03656,C83022,B81092,H85031,K84058,C81074,B82074,F84716,P82015,M84021,P85013,Y01118,F86635,A82005,A82035,K81039,A83603,B83005,E86022,A81039,C82076,P91009,E85029,N81046,J81047,N83010,C84683,P84009,M83052,N82079,E85746,M83062,D82065,G82069,E82124,P84019,C83019,B86012,H81033,J83030,Y02595,B86673,M83037,A81017,N84023,C82035,E85001,C85619,H84044,M81037,G83049,C81007,M92011,N81008,H84005,G84021,C84143,B86070,N84017,E81012,M83072,A83033,Y00433,L85014,J81055,B86672,E82638,L82068,M83125,E84005,K81027,G83047,P81103,G85133,J82136,B85036,F81156,L81663,G82231,B83054,J81070,L81012,D83017,D82026,M81067,E84658,C81008,J82009,K83026,G85078,E87756,C82631,A85001,P81152,K84011,M85031,C83026,K83043,C85020,N83019,C83015,E82042,N82645,J81014,D81615,J81011,P87026,A82075,C84004,F81679,D82011,J82056,K84072,L83115,D82004,B83014,F81049,C81041,F83007,G82204,G82013,C86007,E82056,F85027,D82618,D83044,B87026,G82096,M82005,K81084,M84019,C87007,N81036,D81645,E81018,C81005,D83014,F81751,B86010,Y03595,N81120,C82032,G83630,M86030,N81065,C84012,M86627,D83037,M92630,K81028,F81221,Y02596,M84044,E84044,J83057,G81026,E82099,A81002,M91015,L81060,C88087,P84663,A82008,H85090,Y00399,F83652,J82085,Y02815,H85105,G82085,A84035,M83129,C82007,J81053,A86004,J82073,J83054,L83103,B82007,B82037,C88078,M82028,K82018,M92010,N85005,J81050,C84059,H85680,D82022,L84023,C84024,M83065,P81057,L81123,B87007,C84084,N85015,B82628,F81044,F81121,B81038,A87009,C81014,C88095,M83617,N82041,F86625,C88038,D83048,D81035,H84059,B82066,B81003,L84032,B86002,K82033,M85084,F81011,Y01066,B87031,B81039,E86015,L81642,M85028,Y02322,C81662,Y02354,F82680,A81064,K84076,A82044,J82124,M86018,B83653,N81025,M83036,M91019,D81039,M85019,E82644,M85033,N82037,Y02483,E82067,F85063,E82053,F84749,C82009,D83004,C82047,M84002,M88032,E85090,G81054,P81735,A81629,E85121,C88005,K82067,M84050,P83017,B83015,N83031,A81005,B86009,P86016,K83031,F82008,G81024,G82161,B81619,P81033,P91008,C88037,B86033,G81048,P84054,J82127,Y01008,F81150,M81006,C81055,G82113,N81042,C81016,F83053,B85038,E81015,B83009,M83001,C84095,A83009,B81004,C82001,F81015,K84054,A82004,B82025,P84041,B81051,D83057,E81050,E87609,D83039,B82083,N83028,C84117,M81054,J83033,B82105,E87034,H81022,N81027,K83051,B86667,M87011,E82045,F84642,M84004,M84036,N81112,E83049,M85172,A81054,M91018,N84029,E82040,A82017,E85118,H82059,M82017,A82068,B85610,D82012,P81058,A85007,C84688,G82126,J82157,B82026,F82671,E85003,B82017,H85051,C84080,B85014,N84614,E84057,M84062,A86006,F81165,E84023,B82020,B83035,A85019,B82100,J82019,G82122,B87029,K81102,C82062,D82027,M85634,E82627,N81017,L84058,Y00058,A81060,D81034,M88004,M92006,F81132,P92033,F82020,B82101,Y02569,C83073,L83047,J84015,H82049,M81076,J82120,B83029,H81086,C82010,N83027,E81046,F83003,A85614,N83022,B86109,G81023,F81096,J83035,D82050,J81066,F81125,B82059,P82634,M89001,F83030,C84052,J82007,M83714,N81056,N84018,H84027,F81040,P81190,B87044,G81002,M92043,G85035,P81758,L83072,N81108,G82059,E81020,J82040,E82060,D81612,E82024,D83024,E85123,D83054,C81004,F81004,M83007,C84113,E85046,L81037,B86034,A85605,K82065,P82036,M85025,K81025,C83049,M81069,A83036,J83039,E87663,M85063,M82056,J82069,L83013,F83045,P89033,B81675,B84618,C82038,G81055,A84006,K82029,E82086,B83030,M85069,J83023,L83018,P89016,P81040,E87762,A81051,C83071,G81057,M83117,F84686,D83050,M83692,G81044,F82022,Y00228,G85051,D81082,C83080,C83057,N81087,A81038,M84615,E83008,C87017,C81010,F86028,D83080,E82002,N81014,A81070,A86041,J83025,B81642,E82009,E82037,B81064,C85019,G81003,G82017,A86023,C81091,A84030,P81710,L83118,H84635,A82052,G82055,E82084,B87001,M82012,G82060,B86022,B85030,B82063,J81033,D81011,M86007,E81063,M85059,Y00483,H85069,P81079,F81718,D82037,F81112,D82032,D81631,M85071,D82096,K81069,G82095,E81016,A89004,M88015,B82022,E87038,M85078,M85735,A88005,E82066,N83035,M83066,E82019,M83050,E85056,A89003,D82051,N81101,C81013,H85683,K81078,H82022,A89026,C83023,P88042,A84614,H85003,M85103,B82069,H82008,A81012,F86020,F84087,G82641,N83012,M85170,C81020,A82030,K81042,C87002,M81093,K84019,G85032,M92008,C87608,L83065,C86013,A82012,L83003,D81012,D82063,C81654,Y00206,G81056,P87017,M88035,P81006,F85688,G85708,C87015,F81056,K83010,F81085,G82634,J81064,B83624,E82094,M85141,H85048,G83654,F81055,D82003,D83061,E82006,M92009,G82793,F81105,K81057,A89001,L81013,D82054,B81034,P81031,C88045,G82142,E82028,B82031,G82150,E86026,M84010,G82754,C88024,K84046,P81687,Y01108,P81062,G81651,P92634,J82187,N85013,F82686,F83023,A82016,P81045,F83678,K81075,E84070,A88023,H82023,B83052,G83633,C84035,L82622,C88092,E82657,Y02422,A82032,E82023,A81040,K82073,K82025,G81029,B83028,E87021,C83614,E82075,K82013,M83738,C88036,M89015,J82006,J83045,L82019,M83723,C88010,P82007,J81087,M91616,M85055,G82100,F81131,B86059,B81074,G85135,M82003,L83006,E81037,P92607,A81046,C82063,B86036,D81024,A84009,G82109,P87022,G83028,L84039,F83002,A84014,C87030,K82057,P92011,H82020,D83028,D83033,L83058,H85045,C86015,E86010,F81014,E81056,D82025,D82044,B86096,F84009,A82010,H82030,A82039,M82043,N84014,N82670,L85008,J81028,C86003,A83622,B82005,A89020,G83006,M88628,C86605,G83007,B81666,B83018,C81039,P82029,L83044,M88612,E85659,A83634,B83020,H81028,G82631,M88013,E82079,H83044,D81050,B86056,C83013,G81032,F84710,F84669,M83016,F81115,J82087,P82643,K82024,H82050,L81066,G82064,K84035,B83067,P81171,F81022,M85175,H84061,A81004,C88043,Y01126,J83005,P91631,B81056,P88020,N81038,C88014,G82186,B86069,N81089,P88016,P84644,M82021,B83037,B82081,J81026,F81038,Y04660,F86044,J81645,N81032,C87016,M88007,F81130,F81020,L81047,F84105,D82001,H82032,G82715,Y04957,K84610,B83049,A82041,J83058,Y03929,H81084,G82071,L81025,N81016,F81071,F82660,G85042,P92019,M88020,J81043,E81632,D82085,P86004,E82088,M83031,M83046,J83026,J82063,B86666,A81003,J82143,P81123,C88085,D81060,G82133,G83053,E82080,C81038,N81073,A81605,E84068,P91011,B81018,J82206,E85726,C84698,A83012,D82005,G85087,F81157,J82094,D81031,C87616,Y02636,P81176,D81029,F86066,C81028,E82071,E82107,M82006,P81085,P91016,C84053,C84036,J83019,J81073,J83615,N82090,P88008,J83646,F84077,F81123,H82013,E82041,C86626,A89016,F81094,B82073,G85085,M82054,E82015,P81737,C82091,P91032,F81212,M81075,M86002,D81026,C88022,N81125,M81029,F86644,P91604,L84050,B81072,L81077,Y02676,C84077,C81015,M85117,H85686,E85041,E87745,H82052,C88656,J82103,C82036,P81196,C81033,M83725,K84042,J82174,B82019,C84002,A82048,J82102,N81045,J81025,H81107,J82015,A89017,E82130,D81004,F81633,A81029,C82120,B81005,E82085,Y02758,Y02833,P81100,E84039,K83009,M81035,P82003,A84044,A81009,A83018,G82091,P84016,K81070,A86025,N83055,A82026,N83009,A84026,J81620,G85055,L84011,M87012,G85034,C83046,K81083,L82054,M85159,N81007,F85053,C83038,E82089,M87013,C85003,L83022,K83008,P81025,P81071,Y02755,M83014,D83010,J81083,G82799,B81057,P81061,E82022,L83015,B87003,L81035,P91003,E83021,F81122,G85041,J84010,M81091,G81042,M87001,J84012,H84018,C82025,J81016,B81044,A83046,M81021,C86020,H81075,D81049,C81110,N83619,F81133,B81692,P92017,B82036,F84008,D82104,G85036,G85723,P92623,E87755,C81059,J83064,D82072,M88003,M83069,L81021,E81031,K82633,K81103,H81061,G81662,C81012,F81681,B81075,P81113,D81056,K83041,P81065,M89010,Y04257,K81047,P84029,E85748,Y02506,F84681,Y04387,E85685,J84017,F81670,P84046,C87603,G83635,G82050,L83094,G82729,G85109,E81074,G82753,F81067,L81019,D83040,E86632,P92003,M85077,F83055,G85076,G81014,M85002,J81069,G82037,B83026,G82711,F86006,L81045,G81043,D81016,Y02404,M85038,Y00737,Y01291,J82145,B82061,M85065,K81050,N84013,B86018,F85025,L83107,B82064,C85018,B84008,Y02526,H82003,D83056,H82643,C84613,M81073,J82609,C88046,B86025,G82722,D82062,J81042,C85023,D83009,J82091,M83108,E82038,J82065,H84031,E85744,E82072,E82062,E81612,P92010,Y01812,P83023,K82039,C84646,H82076,F81136,M89017,M87014,G81098,E85745,P87620,F86650,A86038,G82686,A82070,H85018,M85676,F85030,P89003,D81044,A82071,B81683,G82111,F86058,P87634,P85610,A81019,L82049,C84063,C88018,G83019,G82228,J82625,P89012,B86051,E81024,B83002,H85110,Y02704,L83031,P81015,G81100,F81128,E84053,G83052,J82084,J82020,M84009,B81025,L83010,C87004,Y03035,P89013,G82121,J82154,P81186,C84021,J82049,P81088,B85652,C83611,F81097,Y01839,M81082,M81024,M81008,L82003,E84051,J83040,K84016,A82006,K82617,P91018,B86015,F81036,G83663,M85145,K82004,A85616,F81030,G85717,Y02584,Y01031,E84014,J82135,G83631,G85716,M83616,J82060,J84005,A84021,A82065,L84077,B82012,K84621,E82078,E87066,A82049,J81624,P82661,N84027,K81046,L83136,B86024,D83074,G82016,E82077,J82639,E84011,G82092,H82092,M88645,A83641,M85043,B81653,J82039,M81012,M85176,C81082,E85004,C82676,F81028,G82023,F84062,M85134,K84009,Y02081,C83017,F86664,F86007,L81038,Y05439,M85020,P81011,N82117,M81042,P84056,M83079,C83065,Y00984,M89007,F84017,N83020,L85009,N81029,C84039,Y01163,H84033,C81056,H81016,A82031,L82008,A82009,C83064,M83148,L83030,B86044,P92020,K83011,G82027,G81104,G83025,M92640,D83610,D83053,D81019,P82009,C87620,K84613,B86066,Y05471,J82165,B85018,K83044,B84009,F81757,C82041,F85035,N85040,Y01655,M81047,Y03034,A81006,M88006,H82069,G84001,P92035,J82074,F84747,K83621,L85033,B81043,N81075,G83001,C81032,C82075,P81685,L85612,A82654,G82226,G84015,C84001,A89022,J81072,B86003,A86028,C86611,J82166,K81094,H84053,G83642,H85087,G83057,C84025,B85028,J82163,F85705,J82018,G81634,D83615,J83056,E82070,K81055,B81045,C86011,P81018,J81634,Y02080,F81072,G81035,M83054,C88084,J81058,D82046,Y02666,F83671,Y01929,H82056,D82048,Y00726,B86062,G82662,J81052,L84003,H85092,M82041,G82056,B82024,B81109,D83030,H81004,P81115,C83002,G82888,E82043,E84663,E85018,F86081,L82041,P81070,F81062,F86652,G82035,G82029,M83010,C82611,C82061,L83050,G82019,K81018,D82099,B87017,C85010,Y02071,K82027,G82197,A89005,D83005,L81040,C88019,L82007,D82016,G82015,B87030,H82037,L83673,F84657,P86019,H85008,N85059,Y02787,Y02519,F85642,B86682,G82028,H81078,M87025,M85154,A82007,E85040,G82658,G82105,C83027,N84621,E82051,A86005,F81144,H84030,H83053,M81094,C87018,F86616,H81011,F83623,C83056,E87002,C81113,Y02466,D83035,F86627,J82036,F82677,M88030,B81068,G81663,B81037,Y04031,N81109,P92030,L82004,A89012,M84037,G83067,C81044,M88002,F86641,P92016,B85027,Y01132,Y03049,B81040,F81149,E84653,E82013,B82046,L84071,E83003,C87006,K83005,B82038,G85048,J81056,L84057,C82016,G81040,K81074,Y03051,M88036,M87010,P84025,C84078,H85114,H81058,H81133,F81684,F81024,P86007,B82080,Y03587,M83601,Y00617,K84014,N85051,J83049,A83076,D83051,B83660,D82084,B86106,M81616,L83074,E81033,E83027,Y00626,C81073,C85623,C83011,B87025,N85625,B85655,K84051,M91642,M86032,D83002,G85011,L84038,B83055,E82667,L82021,C81100,H82034,J83002,C82680,M81055,A82022,Y03222,E85016,P81646,K81613,C83085,M88019,B86067,A87002,C85013,M85146,D81055,B81031,F83624,K81024,D82002,Y00918,N81122,C82639,F84635,B82047,F86692,B81008,F83058,L84028,M86005,C85017,C82030,K83052,D81032,M85711,E81017,L82046,Y00243,C84048,E86004,Y04664,E85643,L84002,L81079,N82084,F81086,M91650,L84036,P81076,M91014,L81044,C82017,F81100,E82626,Y03312,P92619,C84605,H82017,P85016,F85017,C86021,C81084,K81041,A83049,F86010,E82005,F82006,L83007,C82044,L84069,M85046,E83657,Y00807,P89008,F84676,P84682,L82030,E83039,J81057,H81119,C83041,Y03536,E85605,B81119,C83063,D81022,M81022,E85060,N82002,F81046,L83043,P82008,M85047,P85003,C86037,G81065,K82035,F81079,M85153,H82025,B81024,C88021,L83101,Y01922,C84016,Y00164,F81127,E81029,H81618,H82021,E86626,E84665,H85007,H82044,L84026,C82667,G81030,E82032,F85002,B81656,C85001,M88024,P92042,P81191,H82011,M83074,G82090,C83039,E84702,H81087,N82019,L82045,G82114,E82640,G84016,B83013,P81067,G82693,H83004,L85001,A87615,E82104,H82047,B81036,L83026,E82001,G82137,M85156,H81019,M84023,M83093,L83064,Y02041,G82074,C88034,E82082,N81083,B81048,L85016,B81022,D82053,L83097,B84001,B85020,B86019,E81003,C81062,E82061,B81026,M91020,G84004,C83007,M84032,H81013,D83060,H81017,M85011,Y03135,Y02517,Y06271,M85076,F85019,J81051,B81058,Y05367,C81069,F81023,Y02571,M83722,E83037,A84045,F82019,F86621,E83668,H81009,B81011,C81611,A81058,K84017,L84045,E87052,E84681,N84015,F85066,F86696,N81012,E86020,Y04521,G82044,L82051,M85128,M85116,G82158,M81019,B81101,M81629,B86008,C82088,C82059,J82119,J82117,E81041,G82031,M85007,B82002,F81087,N84038,D82058,L81133,F82624,G81036,Y05861,G81011,D82017,J83016,Y04920,M82039,B81647,M85066,M83088,P88003,B81664,M84012,Y03553,F83021,J81044,G82039,P84049,G84032,E85026,Y00556,P84068,J82131,Y01127,M85663,C84010,D83041,E82091,D81033,G81099,K83027,M83619,B82008,C84037,M83049,B81030,D81062,M83096,M86038,L83014,H83001,M85037
2015-01-01,60,60,60,60,224,56,120,60,90,228,56,180,100,14,56,210,84,120,60,120,60,60,60,112,112,60,56,60,90,224,60,60,60,264,120,60,56,56,60,84,60,224,120,112,112,112,60,84,224,120,56,56,172,168,60,120,60,120,60,112,56,56,180,172,112,60,60,140,28,30,60,60,60,70,112,56,56,120,168,120,120,224,120,168,120,60,120,2,56,60,112,112,60,112,56,60,336,90,60,60,1,112,180,28,112,120,112,60,84,112,70,112,56,28,56,112,120,60,60,60,60,60,120,120,60,84,112,180,60,112,60,56,60,60,120,112,112,56,120,60,60,60,116,60,112,112,56,60,56,56,56,120,56,56,60,120,112,120,200,84,112,60,60,120,60,84,56,252,240,112,60,112,90,60,28,180,60,56,100,120,60,120,1,60,120,60,60,172,60,252,120,56,116,84,56,140,60,30,296,56,240,60,56,60,240,120,56,120,60,116,56,70,60,60,60,60,112,20,84,60,90,120,120,256,60,112,176,60,1,60,60,240,60,116,60,352,60,56,144,112,56,84,120,28,112,112,60,240,288,120,224,240,60,60,56,105,84,236,90,160,60,120,2,224,112,232,112,84,98,112,112,240,168,120,112,28,224,56,60,240,60,56,60,112,120,56,460,112,60,60,112,1,60,60,56,90,120,180,60,120,56,28,28,112,88,84,168,60,60,336,60,60,228,60,56,224,112,112,60,60,60,84,112,20,30,60,224,60,84,120,56,84,224,120,60,112,56,60,60,240,60,90,120,140,60,120,60,60,60,30,56,60,112,112,56,56,112,60,112,56,140,116,60,60,56,28,240,28,116,202,3,224,70,14,112,112,90,60,168,60,60,60,252,60,60,168,112,120,120,112,28,2,60,56,60,60,28,228,56,112,112,120,224,56,60,240,224,120,60,60,112,112,120,112,60,60,84,240,224,280,56,56,60,180,168,112,112,720,112,60,84,112,56,112,120,60,112,60,60,224,60,60,180,28,28,180,60,60,224,60,112,84,56,56,120,60,120,28,120,60,180,112,14,224,196,56,120,56,60,60,56,56,56,180,60,30,28,168,90,60,56,60,56,60,28,240,120,120,120,60,56,116,112,232,120,60,14,60,60,116,112,112,14,112,84,84,56,56,60,112,56,56,60,60,112,60,120,240,148,60,112,60,120,120,56,60,60,60,116,112,60,60,60,60,56,120,60,120,2,168,60,224,240,112,112,112,60,172,56,60,56,148,60,60,56,60,112,60,56,28,120,120,224,112,112,56,120,240,180,56,2,120,120,120,112,112,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,60,,60,,168,120,196,90,84,56,240,100,,56,,,,,,60,,60,,,,56,60,,56,,60,60,120,60,,56,,60,,60,,120,56,,60,60,84,,60,,56,56,,60,120,,,,112,,56,,112,112,60,,140,28,30,,60,,56,120,28,56,120,,120,120,,,228,,180,,2,112,,56,,60,112,56,60,112,90,,60,,,180,28,112,,112,60,42,224,56,,,28,56,,,60,60,60,60,,112,180,,,,,,,,,,60,,,56,56,60,,300,,116,120,112,,56,60,,56,140,,56,56,60,,,,,84,,,,240,,,56,240,120,112,60,,90,60,28,,60,,,,,120,1,,60,,60,,,28,120,56,116,,56,84,60,112,56,,120,,,60,,,,,,,56,56,,60,,,112,,84,,90,120,120,116,300,,98,60,,,60,240,120,,90,,60,176,144,56,56,,,28,,,,,348,,224,,,60,56,84,84,116,,,60,,,224,,292,,,112,,224,112,56,,,28,252,56,,56,60,56,60,,,,284,112,120,240,,2,60,60,56,90,120,60,,60,176,,70,112,,84,,,120,,,60,172,,28,,,,,60,,,28,,,,112,60,,120,56,84,112,,60,,56,,,240,,,,112,60,,60,,,30,168,,,112,56,56,112,60,,,56,56,60,,56,28,112,,116,202,,,112,7,112,56,,,,60,60,,252,28,,56,,,,,28,2,,56,60,,56,116,,112,,120,,,,,,60,,,,,,112,30,60,84,120,,112,56,,,180,,,,480,,,,112,,56,232,,,,120,168,120,,,28,28,90,120,,,,,84,60,,,,,28,,60,120,112,,112,84,,,56,60,60,112,56,56,,,30,28,,,176,,,56,60,,,180,,60,,56,60,112,112,120,60,,60,,116,,,,112,,84,112,56,60,,56,224,60,60,,60,60,,148,,,60,60,60,,60,60,,120,112,,,60,,56,,,120,,,60,112,120,,280,112,60,172,56,30,56,176,60,,56,,,,56,28,,60,224,,,56,60,,120,,,240,,,112,,,60,112,60,120,112,56,240,60,60,60,112,56,60,60,336,56,60,112,112,60,180,56,112,112,112,112,60,224,56,112,60,360,60,120,60,112,60,56,60,120,360,56,120,180,60,60,112,112,120,60,60,60,30,60,112,60,112,2,60,4,60,120,60,112,112,60,180,224,60,336,60,56,56,56,60,120,120,112,120,60,224,56,120,60,56,224,60,180,1,30,60,252,224,60,112,60,60,60,180,84,56,60,60,60,60,60,56,60,180,180,30,60,116,28,168,60,120,60,56,120,60,224,56,56,120,300,60,60,56,120,60,60,60,120,60,56,112,60,60,56,60,60,120,352,90,14,60,112,56,112,84,240,240,112,120,60,60,60,224,112,112,112,60,224,120,112,60,120,30,60,60,60,60,60,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
