,J82157,H84012,E86016,J82080,K81047,B82059,N82115,G81009,M85069,J82062,F84673,P81119,E82059,F83060,B86075,N85633,P81167,F85650,D81003,B86012,K81063,P81027,P81035,G85034,M82003,E87745,P84673,B87039,E84665
2015-04-01,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,30,15,30,90,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,,,,30,30,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,
2016-02-01,,,,,,,,,,,30,30,,,,,,,,,,,,,,,,,
2016-05-01,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
2016-10-01,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
2016-12-01,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
2017-02-01,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,
2017-03-01,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,
2017-05-01,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,30,30,,,,,,,,
2017-08-01,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,
2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
