,B82025,D82022,B87033,F81069,B83030,Y03812,B85037,Y01652,C86611,B86033,C83035,C86022,E82100,B83063,Y04099,B82008,C86018,B82057,Y03892,B82033,Y03955,C83004,M85146,B82074,B82098,B83040,B83054,B86064,C84060,Y03906,C86025,C83023,B86048,F81052,B87023,H82009,Y04113,C83044,F81094,B87015,B82032,Y03903,C87009,C86024,C83644,Y04020,B86015,B87017,C85019,C85004,B85033,B82005,Y03774,F81749,B82097,B83067,C85003,E82006,B82003,E82090,C87620,B85612,B87028,F81056,B82041,F81116,B82026,B81036,E82089,C84081,F81608,G82025,C85006,C87604,C83019,B87039,Y03762,B87027,C86029,B83050,C87002,C87029,C87007,B81088,C87030,B82083,B84623,C86609,Y03889,Y03418,B81043,C87014,Y03112,M84013,C86020,B82054,M84020,B87008,C87017,Y05290,C87622,B82092,B87001,B82063,Y03773,C87005,B82077,Y05113,C87020,C87008,B82088,B82037,Y02669,C87016,B82001,Y04019,B82073,B87022,B82038,H81109,C85016,C87015,Y06071,B87030,Y05248,B87011,B87020,C85023,C85020,C85030,C85005,C85007
2016-05-01,,60,63,,,,,,,,,90,,,,,,3,,120,285,,,,42,,20,,,,,,,,,,,,,,,90,,,,,3,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,,60,42,,,,,,,,,,,,,,,,,240,506,,,,,,,,42,,,30,,,,,21,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,28,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,,42,,,,,,,,,,,,,60,,,,120,86,,84,,,,60,,42,,,30,,,,,30,,,,,,,84,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,28,42,30,42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,,60,63,,,,,30,,,,,,,,,,,,180,9,,,,,,,,,,,60,,,,60,30,,,,,,,84,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,56,,60,,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,,63,,,,,,,,,,,,,,,,,180,63,,84,,,,60,,,,,,,,,60,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,78,,,,60,21,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,,84,,,,,,,,,,,,,3,,,,180,90,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,90,,30,,,39,42,63,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,,42,,,,,24,,,,,,,18,,,,,180,134,,84,,,,180,,42,,,60,,,,,,,,84,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,40,,30,,,,,78,42,105,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,42,,,,,,,,,,,,15,60,,,,120,127,,,,,,60,,,,,30,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,18,,,,,,,,,30,,,168,,40,,30,,,,,78,42,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,,,63,,,,,,,,,,,,,,,,,120,253,,,,,,60,,,,,60,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,40,,,,,,,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,,63,,,,,,,,,,,,,60,,,,240,357,,,,,,60,,,,,30,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,95,,,,,,,,,,,30,15,,,,40,,30,,,,,78,42,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
