,B81043,D82096,A84025,L85034,L81022,L85062,D81030,M85084,N81041,N83008,D82034,L83043,C83015,B81108,G82112,B81038,G84625,C81048,H82045,L85002,E85042,B82037,G81052,M85048,N81053,A83049,B82005,E81009,B82032,B81689,C83042,B81051,N82004,K81101,B81035,B81606,E82099,L81080,P85011,A84005,A82020,B82057,B81010,J83040,K84016,M84006,N83612,B82091,F81681,B81053,E82043,E85120,A87005,F81060,Y02747,B81004,F81743,L81045,H85075,E82080,F82022,A87002,B81017,J82174,L85042,L83075,B81046,C81020,C83071,N81040,A81035,M83051,B81087,M81005,M83127,B81052,B81034,M91008,E82012,B81682,B81054,G82051,N81084,C83634,P83011,H85048,B81057,D81082,C84629,J82056,L85010,L85023,B81047,B81040,F83056,B81622,D83008,B81005,F84668,F82031,C83058,P84029,N82089,B81025,D83002,G85647,Y02344,D81060,C83004,H85110,E82057,F81755,B82104,C83031,B81048,B86625,E83653,B82050,K83007,M83617,N81029,A89004,P84052,L85039,B81009,P81008,M85171,B86006,C82105,N84023,B81018,B81092,B86043,L85028,B81119,A86035,B82012,J83044,L85008,B86667,P81005,B81602,E82025,P86614,M85070,B81664,N83055,F84060,B81055,E81073,B81027,B81030,B81031,B81015,B82071,D81010,J83035,B86004,K81085,M83733,J84013,M83632,B82611,L85056,A89018,B82035,J83018,H81078,L85012,B81016,C85004,E87740,C84069,Y02896,L85015,Y02790,B81100,F83021,N81067,B81056,L81029,E82022,E87008,B81021,Y02029,C83061,K82073,N81093,B81069,B81674,B81060,C83026,G83057,H84020,B81066,L85048,B86048,A86021,G85041,G82622,M83050,B81077,K84046,B81645,J84012,L85019,B81011,C83633,B82097,C81113,J82103,A84035,E82073,M83706,B81013,N81087,L85001,B82067,H81030,B86034,F84119,P89618,B81003,B81050,Y02794,B82054,L85022,B81068,L83648,B82060,G82687,G85722,B82027,E82017,N82084,F81757,E82091,C83039,L85011,P84074,A84021,B81061,L85003,A84015,F82008,L82028,N81050,C82028,L85055,N81108,M83084,A83006,B81683,B81008,L83006,C88083,E82032,L85052,A89001,H85047,B87006,N81628,M85127,E82027,A87029,B81101,C88025,M88006,B82068,F81128,L85031,B81656,B81644,C88043,B81049,B82055,E82013,F82004,B81085,F81163,D81036,B82083,L85016,J83603,K84049,B81023,B81677,P91021,B83023,L81025,B81070,P84049,Y00057,C83022,B82098,A88002,B81084,N81117,C88085,L81101,N83028,D81624,B81642,M85079,E84068,A88006,C87002,C83064,B82030,C83613,N81083,F81055,M91007,M87018,E82048,C83045,F81134,C84035,F82010,Y04333,B81045,J82639,F84033,A87004,B81074,L85013,C81640,C83644,L82056,M83006,B82105,B82036,M83739,B82020,F85027,B81036,B82025,A86004,H85008,Y00058,L81027,F84621,F81081,E82075,P88615,B81091,G85109,B82086,A83047,D81044,J81032,L81078,H85067,K82061,C83626,A83045,B82033,J81637,N81024,M82059,A86038,M85149,P81182,N83604,L81118,P83623,M83026,B82013,J83050,B81655,F81222,P81109,Y02957,B81620,C82051,B81109,C88019,C85628,Y00184,G82198,D81071,F86040,B81063,B81039,K84039,A82021,F84041,B82074,H82003,E85725,B81062,E82061,A86008,B81020,L85041,A82045,F84013,A89032,A86015,C82102,E83025,H81047,P88019,N82670,L85025,B82018,B81653,N81035,C82018,M85028,L81071,B82001,A84020,P86606,L85054,L85029,K83040,F83057,J83059,B81042,P91018,L85602,K84617,B81037,B82075,B81064,B81685,L81064,E82049,E82096,J82019,D81020,B85014,A81067,P85020,P83603,B82081,B81112,G82018,C81063,P86014,E84678,B82002,B81121,E82655,J83011,B81690,C83011,F83045,E82085,N81047,B81603,H85066,E82626,C83056,L85009,F86038,B82069,P88042,L85032,F81213,K81083,B85025,E86014,E81056,E82020,Y02121,N81006,B81029,B81089,E82009,B82076,B82014,A85005,B81635,M83027,C83057,B81012,C83002,B82026,L81039,F81052,J82147,B82053,C83019,N81051,K81605,E82124,B82016,B82006,B81619,L84045,A83031,L81065,H83053,P81104,F85004,C85024,K83043,K81052,B81022,K81069,G82712,Y02786,B87033,J82122,B82066,E82078,M81049,E83003,L83002,C81653,L81069,B82041,L85027,M83035,E82054,F83678,A84042,D81032,Y00612,F84047,M87007,J83030,N84005,E82117,C88026,B86068,L85060,M87024,A82065,B81118,M81003,P81722,C83072,M85009,L85050,M84043,H82065,L81055,C83023,P81063,Y04951,M83681,B82079,B81081,P84663,B81065,Y02826,G81034,A83028,B87026,E82083,C83021,L85030,L85624,A83001,F81153,Y02735,B81002,L85021,B81113,P82624,B82004,B81006,H85053,B81099,F86011,B82042,L85037,E86028,E82129,J82027,E82064,E82005,A83037,N82108,M85015,B81104,H82058,K81075,B81697,J82164,B81616,L85043,L85035,E86026,Y02521,E82133,M81010,B82023,Y01165,H85041,A86601,F81168,B82021,B81631,L85014,M85034,Y01655,B81072,B81024,A83003,Y02748,C87008,B82080,C83009,A89008,B81082,L83019,F82038,B82088,A81064,B86638,L83074,F86001,A84028,F81622,E82044,N81642,Y00955,A87012,P87015,E82658,E82004,N85028,C83032,B81041,N82074,M85732,L81077,G82114,M83023,A85616,K82023,D82013,N84016,E85034,K83036,B85055,K84027,C88643,C83013,A82041,B82038,M83141,K84031,C83033,M85697,L84021,K83004,B82008,A86010,A88022,F81088,C83063,M82056,H82064,C83073,L81035,B85612,J82029,M91024,G83631,E84011,B82010,B82047,P85015,Y00328,B83617,A86003,L85017,E82084,B81058,P84025,F86081,H82078,A88015,K82065,F85066,B86673,F86026,E86637,G85054,A81039,E82015,P89012,E82077,N82024,F86626,H82056,M83025,Y00776,Y02890,N83608,J82008,J81081,K84004,M85078,L81049,M85717,C82088,G84008,L85061,C82623,M85063,M92012,C88069,N81123,L81068,J82609,E87682,F82679,B82031,C82099,C82056,B81097,B81675,F85678,N83033,G85633,B86064,H85033,A87023,L85005,M83037,Y00090,P84045,B81019,M87019,N81039,J81076,D82076,C83014,Y01163,L81020,M81083,E81032,N82090,D81047,E86010,M85699,J83010,L81038,N81008,K82037,K84009,E83021,K82067,B81634,J83031,D82029,Y01200,B82003,G85001,M83093,Y02059,P84009,A81026,M85794,B82034,J83039,F86020,L83011,B81080,G82684,L81131,B82073,F85666,B86110,C84032,A88023,M84019,F84054,E87722,L83065,M81073,E84702,C88076,K82001,E82062,C83085,M91021,C86002,A85010,F84716,G85045,M85110,D83026,N83624,P81137,N81044,B81666,M83148,M85081,N85008,P82015,J82081,J83034,Y01068,K82036,L85026,E81026,J82132,M83024,B81075,B86089,B81120,A83018,M85722,G85099,H85020,L85004,N82037,A85008,M82007,Y02974,B81007,B82007,A83010,F85003,L85040,F81038,P84652,M84023,J84017,A84022,L85033,G82082,F81206,B81014,N82645,B81688,C82123,Y02704,B81663,B86033,G85035,B82101,F81186,J82650,N81049,N84010,A86017,M84067,H85061,F81177,Y00042,N82065,B82044,N83620,G81643,E82115,Y02656,P81107,P81736,N84017,P81748,H85009,B85634,A86022,D83016,C83020,A84034,J83645,F81112,N81071,N81010,B82049,C82068,Y03432,M85111,C83641,H85001,L82068,N81068,B82028,A84036,L81123,N82116,J83001,M86021,C81074,B86060,H81119,Y01948,L83018,C82002,E82037,D81061,C82011,N81091,G84004,B82017,C83040,N83009,J82016,N81001,H85078,G82634,E82046,J83014,C84709,N82097,C84025,E84057,H83042,B81032,L85007,G82161,N84011,B81095,Y02638,E82019,M82022,J81073,H83005,E82023,F83658,L85611,E82093,B82092,E82107,Y04334,G85013,B86012,F85615,L85619,P81072,C82610,G83668,Y03035,P91006,A85023,F84747,D81021,A84013,Y05290,C84654,G81003,L81010,F82051,B82063,M83010,Y00243,F81137,M83638,N81032,A86025,B82078,P85606,J82117,L81059,A89612,J83016,H81070,G84006,E83622,L83013,A81030,F81084,M83121,C81094,M91029,M83072,C82055,N82103,B81026,A81052,M87612,D81625,B83660,B81692,F85002,F84711,Y00445,E86020,E82060,A89604,G84628,C88051,F86082,M83075,M82008,M83726,M87005,L81079,N82053,F83681,P81128,E85055,E82045,P89003,C81101,L85612,G81022,F84062,F83660,E85045,F84003,M91003,A86026,M81063,B82059,G82069,B87029,E82008,H81045,M83601,N83017,B83624,E82014,B84006,B81617,B81088,C82045,M85113,C86005,G84009,Y02684,A83072,N81022,G81039,N81614,G82185,F81023,D81046,C83018,Y02002,K83049,B86059,D81050,M84022,J82066,N81127,J83027,P91633,D81070,K81047,B82609,E82031,A84030,M84012,M87036,C82009,E84021,E82123,E85750,M81014,P81714,Y00412,A83040,K82633,D81055,J83036,F86074,C83003,E82034,E82640,P92634,P83025,L83136,C83028,K82058,F84631,M81069,L85038,Y00774,P81734,H81111,F84111,P91009,J83042,N81055,Y00078,B81665,N81070,A85016,C81114,M87009,F82607,H81058,G83010,F81131,C88050,G85055,K81050,A86030,L81133,C84125,F84091,J83022,F81105,P81073,A82070,A83617,Y02946,L85609,P92602,M81018,F81165,N81011,F85014,N85020,E87714,Y02117,L83059,P92030,B86007,N83014,G82648,M85139,J83006,M88633,A81002,H85069,E85694,J82044,K84613,L81073,J81049,F82007,F84122,C81064,B81090,N84028,K82024,P91627,E85672,M83021,Y05165,C88020,C81058,Y05166,B83055,C88007,H81057,M83030,C82054,E85739,G83647,J81014,M83669,L81112,M81091,G82090,J81071,P83608,Y00048,C83052,K83601,Y01756,H84632,B84005,N83045,M85746,Y02625,C88096,H81638,N82641,A82037,H83014,G85721,D82040,F82660,L83115,F86058,E85681,P87014,C83036,A88007,E82106,K81651,C83006,L84030,F84050,P91026,H81072,M83719,F83027,Y03837,E82051,B85048,D82060,F81123,H82050,H81035,L82010,D82044,A86005,C83051,G85091,M86003,Y04872,C81080,M85124,E84624,F81036,A82033,E82126,K81097,M83079,F84017,N82066,A83030,P91013,H81097,J82033,M92004,M83031,E83668,Y04711,C82017,N81015,C88011,N85031,G85005,M86607,Y02068,Y02867,Y02692,M88044,P81020,L83023,L81044,A85617,L81067,M85037,K84040,N81026,F81152,A82034,G82744,L81034,P84635,L81632,M83022,J82030,L85046,N81025,E82105,D83022,P81083,C88079,K84023,H81122,E81003,E84058,N84006,H85090,H81050,B81658,B86010,K81014,N83018,C84624,F85031,M89019,M83044,B86670,H81003,M91010,K84003,L83666,L85053,M85721,M83052,M85730,M87021,P83004,M91015,J83013,Y02787,J83009,B84009,L83030,A83038,F82680,J83007,M85031,F84016,F81732,G81099,N81077,E85004,G84039,G82099,F83060,P87019,E83009,M84001,M82028,F86006,P89020,C86003,P88005,L85065,P87634,G82121,E84699,A81012,L81644,C81007,B87008,B82024,C83017,L82018,C84017,C83043,C84018,Y02639,J83046,M83049,F84021,A83022,E82661,P81154,G83034,E81633,C83078,C88033,Y02849,G85130,C82059,E83011,B83628,L81090,E85617,N81096,E85745,A81611,L81023,K84030,N82117,P81062,P81214,E86019,Y05088,H82026,F86664,F85700,C81066,J82145,Y00023,K84082,M92010,Y00754,J83028,P91004,L83052,F81076,J83037,L81087,F83008,B81693,Y05736,F82006,J82021,J82190,G84019,M87006,M83014,E85040,F85007,P81077,C84051,M89601,E81018,H83043,E81038,E82041,M83054,L84047,J84011,J81047,M85701,H82036,C84010,M82017,L85024,C88042,K82019,M85055,M91016,A83035,F83059,G85014,F85020,H81046,M85053,E81004,A87022,H81004,M81629,F85063,M85069,N83047,H83631,G85726,E84656,L83111,Y00182,G85034,F82018,J82060,B86031,F81613,Y03049,L81086,D83055,P85010,P85005,J82171,L84050,F84077,L81655,M83062,E83018,M87017,Y02570,M83059,N81092,E82082,G83062,K81021,K81041,L83085,L83042,K82051,L82029,L83100,E83024,K83021,M85803,G82042,F85642,G82681,J81078,N82662,C87009,E85721,G81045,M85033,G82125,B83026,B82011,J83058,Y03661,F86679,J82083,H81026,E82018,M85156,E82068,H82095,G83012,A89610,Y03063,M83682,E85114,M85128,F81207,A84007,J83644,G85724,M81022,J82005,J82094,M85061,P85019,L82066,F81110,L81019,Y02701,Y01177,B85038,A84008,H84007,J82073,G81013,P81059,F81061,G81054,A86029,D82088,M81068,J83038,L84004,L83044,F86657,J82071,E82121,G85036,L84615,L83106,Y04395,J82161,K82033,E82086,M83073,E84017,C83030,G81029,M87601,P85614,P87002,M86045,E84009,Y02476,G81084,M85068,A81017,Y04972,N82646,G81011,J82080,F85016,G81001,D83044,M84059,K82021,M92040,F82012,N85057,C84039,H83031,C83611,J83047,E85049,E82007,Y03484,F84669,E82063,A83054,M82010,P84072,F86083,E82021,E82053,Y04661,E83005,Y04645,G83633,G81007,L81037,G82233,Y02875,G82046,F81031,E83036,F85060,H83022,G82098,P87035,F81041,P87040,Y05258,J81609,M85159,B84004,F81132,G81088,F86004,M87037,P84616,M81008,L83102,G82760,J82026,F85688,M85076,E85083,H81015,G82708,E87637,A81629,M85071,P83007,E85007,C82121,J81021,Y06039,H85070,H81080,N82082,A84006,G85698,E82130,E82072,M88647
2015-01-01,1000,1500,1000,1500,1000,1500,500,500,500,1000,500,500,500,500,500,2500,500,500,200,500,400,500,500,500,500,500,1500,750,1000,500,1000,500,50,100,500,1500,500,1000,500,1000,500,500,1500,1000,500,200,500,1000,750,2000,1500,750,500,1000,50,500,500,500,100,500,1500,1000,3000,500,1000,200,500,500,1500,500,500,500,1500,500,500,500,1000,100,500,500,500,1000,500,500,1000,500,500,500,50,500,500,1000,500,500,50,500,500,500,350,1000,500,200,500,4000,500,500,500,1000,1000,100,1000,30,1500,500,500,1000,500,1500,2000,400,500,500,200,500,500,250,100,500,1000,1000,1250,500,300,500,500,500,500,500,1000,250,2000,1000,1000,500,1000,500,400,500,1500,200,500,1000,1500,2500,500,1000,500,750,100,500,100,200,1000,500,1000,1000,50,200,2000,2500,500,200,200,500,500,1500,500,500,1000,500,1500,500,500,1000,1000,500,500,1000,500,500,1000,500,500,500,500,500,500,4000,100,3000,500,1000,1000,500,500,500,500,500,500,1000,500,400,500,500,500,1000,1000,500,500,2000,500,500,1000,1000,250,500,500,500,500,500,750,430,500,500,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,1000,500,1000,,,500,500,500,,1000,,,,1000,500,,1500,,200,1000,400,1000,,,,,,750,500,,,2000,,,,,500,,500,,,,1500,500,,,1000,,250,5500,,,,,1050,3500,,,,1000,1000,1000,1000,,500,,,,,,,,1500,,,,,,500,500,500,,,,,,,,,,500,,1000,,50,,,,,500,,400,500,1000,500,,,,,100,,,,,1500,500,,500,,,,,,625,500,250,250,500,1000,2000,1250,,,500,,,,,,,2000,,,,,,,,,200,500,1000,1500,2500,,,500,,,,,1200,500,,,,,,500,500,1000,,200,500,500,3000,,,,,1000,,,1000,500,500,,1500,,,500,,,,,,,2000,100,3500,,500,,,,500,,,500,,,200,,,2000,1000,1500,,,,500,,500,500,,,,1000,500,,750,200,,,,500,1000,500,500,1000,500,1500,500,250,500,200,4000,500,500,500,500,500,500,1500,50,50,500,500,2000,4000,1500,250,400,500,200,500,180,50,1000,500,1000,3000,500,200,1000,1000,500,500,500,400,1000,2500,500,500,500,500,500,500,1500,500,500,500,500,1000,1500,500,1000,500,500,1000,200,500,500,500,500,6000,1000,200,500,500,500,500,200,500,500,500,500,100,250,500,500,500,1000,1000,500,500,1000,500,500,500,1500,1000,500,500,50,500,500,500,1500,1000,500,250,500,500,1000,1000,50,500,2000,50,1000,500,1000,500,2000,500,500,1000,500,200,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,1500,,,,2000,,,500,,1000,,,500,500,500,500,1000,,200,500,400,500,,500,,500,500,750,500,,500,,,,,500,,,500,1000,,,500,,500,200,,,500,50,,,,,600,2000,,,,500,1500,,500,500,1500,,,500,500,,,500,1000,500,,,,,,,500,,700,500,,,,,,,,,,,,500,,,,500,500,,500,2000,,500,,,,,500,30,,,1000,500,,,,400,,,200,125,500,,,500,,1000,500,,550,500,,500,,,500,,2000,,,,,500,400,,,,,1000,500,500,,,500,,,,,,500,1000,,,,,4500,500,500,200,400,2500,,,,,,,1000,,,500,,,,1000,,,,,,250,,,,4000,100,1500,,1500,1000,,,,,,,1000,500,,500,500,1000,1500,500,,,,,,1500,1000,,,,,500,,1500,200,,,500,1000,,,,,,,,,,,,,,,,,,1000,,,500,500,2000,,,,,500,200,,,,,500,,,1000,,500,,,1500,,,,500,500,,,1500,500,,500,,,,,1000,,,500,,,500,,,,,,6000,1000,,500,500,,,,,,500,,,,500,,,,500,500,500,500,,,500,,500,500,500,,1000,,500,1500,,,,,,1000,1000,,,1000,,1000,,,500,,,,1000,,,,,200,500,500,250,500,500,500,500,200,125,1000,1000,500,500,500,400,100,500,1000,250,500,1500,200,500,750,500,200,500,200,500,500,500,1000,500,1000,1000,500,1000,500,100,500,100,500,500,1000,500,50,1000,500,1500,500,4500,500,500,50,7000,200,500,50,500,500,500,500,500,1500,500,500,500,500,500,100,1500,500,1000,500,1000,125,500,125,125,500,500,500,500,500,500,400,1000,500,500,1000,500,500,500,200,500,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
