,D83033,Y02688,F84072,J81029,F86008,G81054,K82040,A89604,H81022,H81087,P92003,M82048,L81087
2015-02-01,100,200,,,,,,,,,,,
2015-03-01,,200,,,,,,,,,,,
2015-04-01,,400,,,,,,,,,,,
2015-05-01,,200,200,10,100,,,,,,,,
2015-06-01,,,,,,100,,,,,,,
2015-07-01,,,,,,,100,,,,,,
2015-08-01,,300,200,,,,,,,,,,
2015-09-01,,300,,,,,,,,,,,
2015-11-01,,300,,,,,,,,,,,
2015-12-01,,,,10,,100,100,30,,,,,
2016-05-01,,300,,10,,,,,,,,,
2016-06-01,,600,,,,,500,,,,,,
2016-07-01,,,200,,,,,,100,,,,
2016-08-01,,300,,,,,,,,400,,,
2016-09-01,,,,,,100,,,,,,,
2016-10-01,,,,10,,,,,,400,,,
2016-12-01,,,,,,,,,,800,,,
2017-03-01,,,,10,,,,,,,,,
2017-04-01,,,,,,100,,,,,236,,
2017-05-01,,,,10,,,,,,,,,
2017-06-01,,,,,,,,,,400,,,
2017-08-01,,,,10,,,,,,,,,
2017-11-01,,,,10,,,,,,,,,
2017-12-01,,,,,,100,,,,,,,
2018-05-01,,,,10,,,,,,,,,
2018-06-01,,,,,,100,,,,,,,
2019-03-01,,,,10,,,,,,,,,
2019-04-01,,,,,,,,,,,,500,
2019-06-01,,,,,,,,,,,,,500
