,N82076,M84621,B81054,L81036,A84015,A85011,E82027,H85003,M83727,C88041,M83062,A83066,B81049,L81015,C83053,Y03506,N82110,M85068,F81128,E83010,H82084,M85770,A84018,N85006,G83053,B81066,B81025,B81008
2015-02-01,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,1,,,,,4,4,4,,,,,,,,,,,,,,,,,
2015-11-01,,,,,,4,,,4,,,1,4,,,,,,,,,,,,,,,
2016-01-01,,,,,,4,,,,,,,,1,1,,,,,,,,,,,,,
2016-02-01,,,,,1,,,,,,,,,,,30,,,,,,,,,,,,
2016-03-01,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
2016-04-01,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
2016-05-01,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,
2016-06-01,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,
2016-07-01,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,,,,,,,,,,,,,,,,,,8,28,1,1,,,,,,
2016-12-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,
2017-06-01,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,
2017-09-01,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,
2018-05-01,,,,,,4,,,,,,,,,,,,,,,,,,4,4,,,
2018-06-01,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
2018-07-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2019-02-01,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
2019-04-01,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,
2019-06-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,
2019-08-01,,,,1,,4,,,,4,,,,,,,,,,,,,,,,,,
2019-10-01,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
2019-11-01,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4
2019-12-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
