,E82652,E83010,A85020,H82066,K81022,G82791,K84037,A85008,B83045,F86664,B86050,L83054,P82031,H82072,B85610,E83030,D83023,F81007,E81015,G84015,H83005,F84052,E85108,C84107,N82094,N84020,N82001,J81018,N85041,D82005,C82070,M83064,B81655,B85012,F81018,P88625,H81088,N81088,H82043,K83010,A83023,M83036,B82027,C84019,D83002,A87612,C81054,J82035,A81002,G82686,P84033,Y02597,E85693,C88652,F81048,L83105,B85660,L81049,L83092,P81013,P87002,K81094,D83015,D82001,P84035,M85008,F86635,G83067,P81681,F83039,P88042,H83002,H81028,E81007,N82670,P81212,E87006,P81150,L83078,F81013,B85024,P91019,B82014,H82641,N84014,C83040,N81063,A85005,N84016,L83017,M83082,L83056,F81046,B82026,E87038,C82017,C82644,K84001,D83060,J81069,A87006,E82115,J83021,C86037,Y03661,C85026,G81076,M83046,K81020,C83017,D82057,N82060,P81128,C85033,H81045,H81118,N85008,F85053,C84080,H82096,C83626,E87008,H81089,K82025,P81774,G85036,B86096,C83085,C81660,C88025,E85716,N82090,A82012,G81049,M82006,N82034,A83048,H83019,M85141,A82026,P91004,A89013,D81014,M81046,C85007,C88005,G84032,M87026,P81063,E82109,M84021,B84013,K81085,M83619,E85038,G82024,P81149,E82060,E83638,E85026,Y02897,B82038,F83018,H85016,M83068,L83098,P81017,A86038,H81615,A89002,G81018,A86021,G84023,J82139,C82022,C83031,J82082,A83040,H82078,A89004,D83058,J82066,N82026,C82047,J81028,G82142,M92006,E87609,A89034,E87071,C82036,J82136,N81027,A84009,H81076,L83051,M82039,A81057,N83028,L83006,P81210,K84076,D82003,P84067,L85023,M85031,C83074,G83680,P87026,E87665,B83013,H82006,N83060,H85061,P89006,E85040,K81042,P88623,M87024,E84657,A83618,E82124,J82110,H85092,F81045,F81116,N83033,A81060,C85009,C88028,Y02867,A82037,B82083,L85019,M82016,P91021,N81060,H84040,K82040,E86019,K82055,N81081,G83053,B81030,E86029,L81039,N85012,K81087,A86017,A89007,F82022,F81150,M84020,M84046,B83056,L81071,G85024,M85103,C83023,P81685,H85105,L82051,K83042,A86011,C83634,Y02713,L83096,E86028,C82016,N82106,M83004,N81034,J82133,G82799,N83005,K83002,L85044,F86018,B81645,D82044,M91006,E84080,E83044,N83049,N82066,P83009,A83035,E83021,C84016,L85043,E86006,Y01132,M85003,G84028,P81684,P91029,K84027,D81602,A84033,B83626,H81052,K82023,H82020,F84013,Y02506,B86666,J82210,E84008,E85731,H81055,M85111,J82138,A83018,Y02769,G82682,M88610,D83005,F81144,F81052,F81112,P83019,G82650,H84042,L81106,Y02511,F81071,F81068,G81019,C84009,D82002,E83027,H81080,Y02615,A83013,C81033,J83035,C84648,M88023,H85055,B85008,H85020,E86009,C81011,C88076,Y04977,J82016,F81092,M85028,N84017,F81649,A86004,J83057,B87009,C84035,E82043,H85027,C83059,B86008,M85063,M86002,M85058,Y01108,J81081,F85025,Y03640,E87013,F81024,Y01128,H81062,E85051,A81039,K81030,A83603,Y02974,G82057,F81105,K82073,C88072,Y02352,Y04585,P81064,C83020,C81081,A82028,B81119,C81091,B82050,M83088,Y00612,P81772,Y03049,C88016,A87004,Y05369,K84009,P81208,E85055,G81100,G83006,J81024,M82007,F85035,Y01717,M83110,B86009,E85116,Y01696,A83066,F84123,E82078,P81002,H81044,A81070,G81034,J81045,M88002
2015-12-01,200,,,112,28,,56,,,84,224,56,,,60,56,540,28,56,,112,,,,,112,84,112,,112,,14,56,7,160,,,84,35,28,,,28,,56,84,168,,,,28,56,,56,,,60,,,,28,,504,100,,,52,112,112,,,,,70,56,56,,28,112,,240,70,,,,112,200,112,,28,,,28,,28,,56,,,,55,364,,56,,71,,504,,,30,,120,224,60,56,168,,56,28,,60,60,112,120,,56,161,221,,336,56,56,,90,,60,56,336,,,56,,100,,,448,,294,28,,28,,112,140,56,56,224,,,,16,112,,168,200,56,35,56,,,56,60,112,168,30,300,112,28,60,100,112,56,42,168,140,84,60,300,240,100,84,,,,21,210,,,,70,35,,56,28,168,,180,70,,,,,30,160,,,56,,84,,14,180,60,,,56,168,224,,,28,224,168,80,28,56,,56,,100,84,,,224,60,112,,84,,100,56,56,112,100,,,100,84,140,93,112,56,112,112,56,,28,,56,,168,,70,,240,,,112,,,120,100,,28,,,168,28,84,,60,,100,56,112,,,,100,,112,560,,,56,112,,,60,,100,168,,,,,,,56,,56,,28,,,,,30,,,300,,56,,,504,,,84,322,,,,,112,,,,,,224,,56,,300,56,,,140,,,,,,,,,168,,120,28,112,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,100,,30,56,154,,140,,,84,,224,112,,56,224,382,,168,56,,120,,,224,56,84,56,100,112,,118,56,42,160,,100,168,28,56,56,,56,84,56,70,56,,,336,56,56,224,28,,56,60,,,,,,504,100,448,84,,140,56,302,,,,56,112,56,,28,56,56,240,56,180,,,56,200,256,,84,84,168,28,100,28,,28,,28,,55,140,168,56,168,84,112,756,,,60,,100,224,,,168,56,168,28,302,60,60,56,120,56,28,203,140,,672,56,112,84,180,1120,,56,168,56,,112,840,,,,560,,294,56,56,56,,,112,,,,240,,,36,56,,168,,56,28,,112,,56,60,28,56,,300,112,420,60,100,,56,86,168,280,,60,,,100,,,84,224,35,224,,,,98,35,,56,56,140,,180,84,,720,,,30,30,,,56,180,42,,,180,60,,112,112,168,112,,504,28,112,,480,56,168,112,28,60,,,30,60,112,,56,,84,,,168,56,,,,360,,84,420,210,112,,,56,28,,56,,56,120,84,,,,120,224,,112,100,112,120,,,28,,168,,28,28,,,,,56,112,,60,,300,,112,140,60,,56,112,,,60,,100,154,56,,,,,,,,56,84,28,112,56,,,30,,,,,28,,,336,,,,672,,,,,,,,56,,120,112,,56,,,84,30,193,,,,,,14,112,,28,336,712,60,,56,30,56,168,400,112,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,200,,60,112,21,,,,,,,112,56,,56,140,382,,56,168,224,,91,,,112,252,112,100,112,,42,112,77,160,,,,14,,112,,56,84,,56,56,112,,168,56,56,,,,56,60,,,,,450,504,100,112,336,,28,56,126,112,,,42,56,112,,28,112,56,180,56,60,,112,168,600,252,672,56,84,112,,50,35,,28,,,,51,308,,28,112,84,56,252,,,,,120,,,,,56,112,28,,,60,,60,56,28,84,,112,336,56,,84,90,560,120,56,336,56,,56,252,100,,56,448,,168,84,112,137,,,112,,28,224,120,,,64,,,168,,56,63,,,112,168,,56,56,60,300,56,112,60,100,56,56,126,168,280,84,60,100,360,100,,,168,56,35,98,,,112,182,28,,,28,56,,270,28,,180,168,,,60,,,56,90,,,14,540,,200,252,56,112,,,168,28,112,,,56,56,56,,60,,,30,60,112,60,56,,,,,56,,,100,,,100,84,,,112,112,,56,28,,,28,,120,84,,,,120,112,,224,100,112,120,100,,,,,280,56,28,,,,,112,112,,60,,,,112,140,,,,,56,,,,,140,112,,15,252,,,84,,56,154,28,56,,,,,,,200,,28,,,840,,100,,280,100,,,,56,360,,56,28,60,,56,168,,,56,90,56,,,,,,,112,,,168,576,,,56,114,56,448,,112,,,400,120,140,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,200,,,112,147,,,,,168,112,112,112,,112,196,270,,56,56,,,28,,224,,84,,,112,,56,56,35,160,,200,168,21,28,56,,28,84,56,70,56,,,,28,112,,,56,,60,,,,,150,504,100,224,84,,,280,84,,,,,56,56,,35,,28,480,56,,,112,56,200,112,,28,84,,28,50,28,,28,,,100,28,308,,56,112,105,56,252,,,60,,92,588,30,,84,28,56,,,320,74,56,120,112,28,105,140,,336,168,,252,90,280,,56,168,56,,56,336,,,,560,,336,28,112,,,224,140,,28,,120,,,,112,,168,,56,35,,56,,56,120,84,56,60,300,56,84,60,,56,56,126,168,140,,60,100,120,200,,,84,56,28,182,,,56,98,28,,56,28,,,90,112,,360,1,,30,30,,,,90,42,,28,180,,,56,56,56,,,168,28,112,56,480,28,,56,28,60,100,,30,120,224,,56,,168,,,112,56,,100,,360,100,84,280,28,,56,,56,,,28,112,,120,84,,,,120,224,,168,100,56,,,84,28,,168,,56,,,,,156,56,56,,60,,100,,224,140,60,,,,,,,,100,84,56,,,,,,,,56,98,,,,,28,,,,,,,,,168,,,,840,,,,,,,,56,14,60,112,56,112,,,28,30,112,56,,,,,,,,,,176,60,,,142,70,112,200,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,100,,60,56,112,,,,,84,224,112,112,,56,140,270,,56,56,,,,,224,56,168,56,,112,,84,56,28,,,,84,,28,,,56,84,56,,112,112,,,28,56,,,,,60,,112,,,250,168,100,112,84,,112,,218,112,,,84,56,56,,28,56,28,60,70,120,,112,56,200,140,224,,112,,28,50,35,,28,,,,28,252,,28,168,84,,252,,,30,,160,140,30,,84,56,56,28,,160,56,56,60,,28,84,140,,336,,56,84,90,280,30,56,168,56,,56,420,,,,560,,168,56,56,224,,,140,60,,,120,,,36,112,,168,100,56,28,,,,56,60,28,56,,300,,112,60,100,,56,86,168,140,,60,,,,84,,84,56,28,28,,,112,70,21,,56,28,,,180,70,,180,168,,30,60,,,56,90,28,,,180,,,56,56,56,,,,28,112,56,480,28,,112,,,,,30,60,,,56,,252,,,112,56,,,,360,100,,,,,,,56,28,28,28,,56,120,84,,,,,,,,100,56,120,,168,,,252,280,28,28,,,,56,56,56,,,,100,,224,140,60,,56,128,,,80,,100,84,,,,,,,,,56,42,,,56,,28,,,,100,,28,,,168,,,168,128,,,,,,120,,,28,60,112,,112,,,28,,112,28,,,,,,,,,,252,60,,,30,70,56,400,,,,,,,,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,200,,,,112,,,,,84,,168,56,,56,140,,,56,112,112,60,,,224,,168,112,,112,,70,56,28,320,,100,84,,56,,,28,84,,,,,,168,28,112,,,,56,60,100,,,,150,238,100,112,168,,112,112,218,,,,70,112,112,,35,112,28,600,70,60,,112,112,400,112,,,84,,28,50,21,,28,,,,7,308,,28,56,84,56,252,,,30,,120,140,30,,84,28,56,,,100,70,,120,112,,105,140,,336,,,168,90,280,,56,336,112,,56,252,100,,56,448,,210,28,56,56,,168,112,60,28,448,120,,,60,56,,336,,56,49,,56,56,56,60,56,56,30,,,112,,100,56,56,,168,140,84,60,100,200,200,168,,84,56,28,308,,,56,70,35,,56,28,28,,270,42,,,,,60,30,,,112,90,,,14,,,,168,56,112,112,,168,28,224,112,,28,112,112,56,,100,,30,60,,60,56,,,,,56,,,100,,,100,168,280,,56,56,,56,28,28,100,,56,,,,,,,112,,,,56,120,100,84,,,,,,28,,60,,56,56,56,,,,100,,,,,,,112,,,,,,84,168,,,422,,,28,,56,84,,,56,,,,,,100,,28,,,168,,,,352,,,,,,,,56,,120,112,,56,,,56,60,56,28,,,,,,112,,,,140,,,,30,56,112,84,,,,200,240,,,84,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,200,,,168,,,,,,84,56,112,,,56,224,540,,112,,,,28,,,,84,56,,,,56,56,,160,,,84,,28,,,28,84,56,,56,,,,56,56,,,56,,60,,,,,,,100,,,,140,36,168,112,,,28,56,56,,28,56,28,240,28,,,,56,200,140,,,168,,28,50,35,,28,,,100,,280,,28,168,105,56,252,,,,,124,224,60,,84,28,56,28,,120,56,56,,56,28,84,280,,672,,,84,90,280,60,56,168,56,,,168,100,,56,448,,168,,56,112,,,112,,28,,120,,,36,,,,,56,28,,,,112,60,28,56,60,300,,140,120,100,56,56,126,84,140,84,60,100,200,100,84,,84,56,42,84,,,56,196,28,,56,28,14,,270,28,,360,168,,30,30,,,56,180,28,,14,180,60,,56,56,56,224,,336,28,112,56,480,28,,,28,,,,60,,112,,56,,,,,,56,,100,,360,,,,,112,,,56,56,28,28,28,112,240,168,,,,360,336,,,,56,120,,,,,,224,,28,,,,56,140,56,,,,,,112,280,60,,56,112,56,,60,,100,84,56,,,86,,,,,56,70,,,,,,,,,,,28,,,168,,100,,462,,,,,,,,28,14,60,,,,,,,30,56,28,,,,,,,,,,140,60,,,,56,112,,,,,,120,,,84,84,60,15,40,60,90,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,200,,30,56,112,,,,,84,,112,112,,56,56,270,,56,56,112,60,,,224,56,84,56,,,,70,56,42,160,,100,84,,28,56,,28,84,,,56,,,336,28,56,,,,56,60,100,,,,150,,,112,135,,142,56,168,,,,70,112,56,,28,,28,240,84,120,,112,56,200,152,,,84,,28,45,35,,,,,,,308,,28,112,105,56,252,,,60,,132,392,,,168,28,112,28,,160,,,120,56,56,21,140,,,112,168,84,180,280,,,336,56,,56,672,100,,,448,,168,56,56,56,,,140,60,56,224,120,,,28,56,,336,100,56,35,,56,,56,60,56,56,30,600,,112,60,100,56,56,126,252,280,,60,,200,100,84,,84,56,28,210,,,56,126,,,,60,28,,,98,,360,168,,30,30,,,56,,56,,14,180,,,168,56,112,,,,28,112,168,480,56,112,112,28,,100,,60,60,112,60,56,,,,,112,,,,,,100,168,420,,56,56,,112,28,,56,84,,120,84,,,,240,112,,,,56,,100,,,,168,,,,,60,,,,56,,56,,100,,224,140,,,,112,56,,60,,,136,56,,,84,,,56,,56,42,,,56,,,,,,100,,28,,,,,,84,350,,,,,,240,,28,28,60,112,56,56,,,56,30,56,28,,,,,,112,,,,252,,,,,84,56,,,,,,,,,84,,180,,,,,84,56,336,21,,,,,,,,,,,,,,,,,,,,,
2016-09-01,200,,,56,,,,,,168,,112,56,,56,196,270,,56,56,,,,,,112,84,56,,112,,42,112,28,160,,100,,,56,,,56,,56,,112,,,,56,112,,,,56,60,,,,,150,140,200,336,168,,172,70,134,112,,,70,56,56,,35,112,28,240,70,60,,,56,400,112,,,84,,28,45,28,,,,,,,84,168,56,112,84,56,252,,,,,80,364,30,,168,28,,28,,160,126,,,112,28,105,,,336,56,56,84,90,280,90,112,168,56,,56,252,,,,560,,210,28,112,84,,,140,60,,,120,,,36,56,,140,,56,21,,,,56,60,28,56,30,300,,140,,100,56,56,105,84,140,,120,,200,100,,,,112,35,98,,,56,98,,,56,28,28,,270,28,,180,,,30,30,,,,,,,,180,120,,84,112,56,112,,168,28,112,,,,,,28,,100,336,30,60,336,,112,,,,,56,56,,100,,360,,84,140,,56,56,,56,,56,28,,112,120,168,,,,120,112,,,,56,,,168,,,168,,,28,,,,112,252,56,,,,100,,,280,60,,,,,,60,,,81,56,,15,84,,,,,112,28,,,,,,,,,100,,28,,,,,100,,952,,,,,,120,,28,14,60,,112,56,,,28,,,28,,,,,,,,,,428,,,,,56,112,252,,,,,,,,84,168,,,,,,,28,168,14,60,56,28,,,,,,,,,,,,,,,,,,
2016-10-01,200,,60,56,112,,,,,84,280,168,,,,224,540,,56,56,112,,,,224,,84,56,,224,,70,56,35,160,,,168,,28,,,28,84,56,,56,112,,168,28,56,,,448,,60,,,,,90,,100,,84,,140,56,168,,,,70,56,56,,28,56,28,240,14,60,,,56,200,168,,,84,,28,45,35,,,,,,,392,,28,112,84,112,252,,,30,,104,140,60,,84,56,56,,,240,56,,,,28,147,280,,672,,56,84,90,,60,56,168,28,,,504,100,,112,448,,168,28,,140,,,140,,28,224,120,,,44,56,,,,56,28,,56,,,60,28,56,30,300,,28,,300,,56,105,168,140,84,60,100,,100,84,,252,56,28,168,,,168,56,,,,28,,,,56,,180,,,30,30,,,,,56,,,90,60,,84,,112,,,336,56,112,,480,28,168,112,56,,,,30,60,,60,56,,,,,112,,,100,,,100,84,,,56,,,56,84,28,,28,56,120,84,,,,120,112,,,,56,120,100,168,,,,224,,56,,60,,,,112,,56,,,,,140,60,,56,112,,,,,100,84,56,,,84,,,112,,56,98,,,,,,,,,,,56,,,168,,,,56,,,,,,120,,28,14,60,112,,56,,,28,60,180,28,,,,,4,112,,,,344,60,,,60,,56,,,,,200,120,,,84,84,,30,,60,,,28,,7,,,28,56,100,,,,,,,,,,,,,,,,
2016-11-01,200,,60,112,,,,,,84,,112,,,56,140,270,,56,,,,,,,112,,56,,112,,70,56,42,320,,,,,28,,,28,,,,56,,,168,28,56,,,,56,60,100,,,,,,100,224,168,,140,56,204,112,,,28,56,56,,35,56,56,240,,120,,,56,200,112,,,84,,56,45,28,,,,,100,,336,,28,224,105,,504,,,30,,140,84,,,84,,56,,,60,70,,,56,28,84,140,,336,56,56,84,90,280,,56,336,28,,56,336,,,56,560,,210,28,56,112,,,140,176,28,224,120,,,36,84,,140,100,56,42,,,,112,60,28,56,30,300,,112,,100,,56,84,,140,,60,100,200,200,,,,56,28,42,,,56,98,,,56,56,,,180,84,,180,,,,30,,,,,56,,14,,60,,84,112,56,,,168,,,,,28,,112,28,,100,,30,,,,56,,84,,,56,56,,,,360,,84,140,,56,,,56,28,28,28,,56,120,,,,,120,,,,,112,,,84,,,168,,,28,,,,112,84,56,,,,100,,224,140,,,56,,,,60,,,105,56,,,168,,,,,56,56,,,,,,,,,100,,28,,,168,,100,,112,,,,,,120,,28,14,60,,,56,,,28,60,56,28,,,,,,,,,,196,180,,,,,56,,,,,,120,,,140,84,,,,,,,28,,35,120,,,,,112,28,,,,,,,,,,,,,,
2016-12-01,100,,30,56,112,,,,,84,168,112,,,112,140,540,,56,56,,120,,,224,,84,50,,224,,56,56,28,,,,140,,56,,,28,84,56,,,,,,28,112,,,,56,60,,,,,180,,100,,84,,174,,120,,,,84,56,56,,28,168,28,240,28,60,,,56,200,28,,,84,,,85,35,,,,,,,280,168,28,112,84,56,252,,,30,,100,448,60,,168,,56,,,60,14,56,,112,28,105,140,,336,,,84,90,560,60,112,168,28,,56,420,100,,,448,,168,28,56,84,,,105,,56,,,,,36,,,140,,56,21,,56,,42,60,56,112,30,300,,224,,100,,112,42,100,280,84,60,,200,,84,,84,,28,28,,,56,98,,,,28,,,,56,,,,,,30,,,,,,,28,270,120,,84,56,168,112,,168,56,112,168,480,28,56,,28,,100,,30,120,,60,56,,84,,,112,56,,,,,100,168,280,,112,,,,56,28,28,,56,120,168,,,,,224,,,,56,120,100,84,,,,224,,56,,,,56,84,56,,,,100,,224,140,,,,112,,,,,100,105,112,,15,210,,,28,,56,70,,,,,28,,,,,,28,,,,,,84,252,,,,,,,,35,,60,112,56,56,,,28,30,56,,,,,,,112,,,,84,,,,,,56,56,,,,,120,,,56,168,,,,,,,56,168,49,60,,,,,,56,30,,,,,,,,,,,,,
2017-01-01,200,,,56,,,,,,84,,168,,,,140,,,56,168,,,,,,,84,,,,,,56,42,320,,100,,,28,,,28,,,,,,,,56,,,,,,60,100,,,,90,560,100,112,84,,256,112,264,112,,,84,56,56,,28,56,28,480,56,120,,112,56,400,170,,,84,,,42,28,,,,,,,224,197,28,112,,56,,,,60,,180,224,30,,,28,112,,,60,112,56,,56,28,63,140,,336,,,84,,560,,56,336,28,,56,336,100,,,448,,168,,,84,,,105,,28,224,120,,,36,112,,,,56,28,,,,70,60,,56,30,300,,112,,200,56,56,84,84,140,,60,,,100,84,,168,,,42,,,56,140,,,,28,,,180,56,,180,,,30,90,,,,,56,,,180,,,84,56,112,,,,,112,56,,28,56,112,28,,,,60,,112,60,56,,168,,,56,,,,,360,100,84,,,56,,,,28,28,28,,56,240,84,,,,120,336,,,,56,120,,84,,,168,,,28,,60,,56,84,56,,56,,,,,140,60,,,112,,,60,,100,84,56,,,,,,,,56,56,,,,,,,,,100,,,,,,,,,546,,,,,,240,,28,,60,,,,,,56,,56,,,,,,,112,,,,84,60,,,,,56,28,,,,,,,,56,84,120,,,,,,28,168,35,60,,,,,,,30,70,84,84,,,,,,,,,,
2017-02-01,200,,30,112,112,,,,,84,,56,,,,140,568,,56,56,,60,,,224,,84,,,,,,56,28,160,,100,,,28,,,28,84,,,168,,,504,28,56,,,,56,60,,,,,90,140,,224,84,,142,,120,,,,56,56,56,,28,56,28,180,112,60,,,56,400,168,,,84,,56,42,28,,,,,100,,224,,56,112,42,56,504,,,,,140,224,30,,168,28,56,,,60,28,,,56,28,84,140,,336,,,84,180,280,,56,168,28,,56,252,100,,112,448,,168,28,112,56,,,63,,28,,240,,,36,56,,140,100,56,35,,56,,56,60,28,56,30,300,,112,,100,56,56,84,224,140,,60,,200,100,168,,84,,21,116,,,112,126,,,,28,,,180,84,,180,,,60,40,,,,,28,,14,90,120,,84,56,56,,,,,112,112,480,28,56,,28,,100,,60,180,200,,56,,84,,,,,,200,,,,84,,,56,56,,56,28,28,28,28,56,120,84,,,,120,,,,,56,,100,84,,,84,224,,28,,60,,56,168,56,,,,100,,112,140,,,56,,,,,,,84,56,,15,,,,,,56,56,,,56,,,,,,,,56,,,,,100,84,392,,,,,,120,,28,,60,112,112,28,,,,30,56,,,,,,,,,,,84,,,,,,56,,,,,,120,,,56,84,,,,,,,28,168,28,60,,,,,56,28,,56,42,,14,,,,,,,,,
2017-03-01,,,60,56,,,,,,84,,112,,,,224,596,,56,56,,,,,,,84,,,,,,56,35,320,,100,,,56,,,56,84,,,56,,,,28,56,,,,,60,,,,,84,280,200,,84,,170,31,,112,,,14,,56,,35,,56,240,98,,,,112,200,,,,84,,56,42,35,,,,,,,308,,28,112,21,56,252,,,,,104,364,60,,,28,56,,,60,98,,,,56,105,,,336,,,84,180,280,30,,168,28,,56,168,,,,560,,210,56,168,112,,,105,56,28,224,120,,,44,56,,280,,56,28,,56,,56,60,56,56,,300,,112,,100,56,56,99,280,140,,120,60,200,100,84,,84,,28,70,,,,98,,,,56,,,,42,,360,,,60,60,,,,,,,,,,,84,56,106,112,,336,56,112,,,28,112,112,28,,,,90,60,,60,56,,84,,,112,56,,,,360,100,84,,,56,,,56,,28,28,,56,112,84,,,,,224,,,,56,120,,168,,,84,,,28,,,,112,84,56,,56,,100,,224,280,60,,56,112,,,60,,100,105,112,,,,,,140,,56,56,,,,,,,,,100,,28,,,,,,,462,,,,,,240,,28,,60,112,,,,,56,30,56,,,,,,,112,,,,84,,,,,,112,,,,,200,240,,,28,,120,,,,,,14,336,35,120,,,,,,,,56,84,,,21,,,,,,,,
2017-04-01,,,,56,112,,,,,84,,56,,,,,270,,56,56,,60,,,224,,84,,,,,,112,28,160,,,,,28,,,28,84,,,,,,,28,112,,,,,60,100,,,,,,100,112,84,,114,,,224,,,,56,56,,28,56,,240,56,,,,56,200,,,,168,,,42,28,,,,,,,252,56,28,112,84,,,,,30,,44,84,,,168,,56,,,,56,,,112,28,84,280,,336,,,84,90,280,30,56,336,28,,56,672,100,,56,448,,168,28,,56,,,105,,28,,120,,,8,,,,,56,28,,,,112,60,56,,30,300,,112,,100,,56,73,112,280,,60,100,200,,84,,,,28,116,,,56,70,,,,28,,,,56,,180,,,30,30,,,,,28,,14,270,,,84,112,56,,,,56,224,,480,28,56,,28,,100,,60,60,,,56,,,,,56,56,,100,,,,84,,,56,,,56,28,56,28,,56,,84,,,,,112,,,,56,,,84,,,,224,,28,,60,,56,84,56,,,,,,224,140,,,,,,,,,100,84,,,,,,,,,56,70,,,56,,,,,,100,,,,,,,,,210,,,,,,120,,56,14,60,,,,,,28,30,56,,,,,,,,,,,,,,,,,56,56,,,,,120,,,28,,60,,,,,,56,168,7,60,,,,,56,28,,56,,84,,,180,,,,,,,
2017-05-01,,,,112,,,,,,84,,168,,,,280,326,,56,56,,,,,,,84,,,,,,56,28,160,,100,,,28,,,28,,,,112,112,,,28,56,,,,56,60,,,,,84,,100,,,,200,,210,,,,,112,56,,28,168,56,240,112,240,,,56,400,,,,84,,,42,28,,,,,,,224,,28,112,105,56,252,,,30,,108,224,60,,100,,56,,,120,14,,,56,28,84,140,,336,,,84,90,280,30,112,168,28,,,84,,,,448,,168,56,112,112,,,105,28,28,224,120,,,64,112,,280,,,42,,,,56,,28,,60,300,,112,,100,56,56,102,224,140,,60,,,100,84,,168,,35,70,,,112,126,,,,28,,,,56,,180,168,,60,30,,,,,56,,,180,60,,84,56,56,,,168,28,112,,,28,56,112,28,,,,60,,,60,56,,,,,56,,,100,,360,100,84,,,56,,,112,28,28,28,,56,120,84,,,,120,112,,,,56,,,84,,,84,,,28,,60,,,,112,,56,,100,,112,,,,,112,,,60,,,154,112,,10,,,,,,56,56,,,,,,,,,,,28,,,,,100,,462,,,,,,120,,28,,60,112,,,,,28,30,56,,,,,,,112,,,,168,,,,,,56,28,,,,,,,,28,252,60,,,,,,,168,35,56,,,,,,,,56,,,,,,,,,,,,
2017-06-01,,,30,,112,,,,,84,336,112,,,,140,270,,56,56,,,,,224,,,,,,,,,28,160,,100,,,28,,,56,,,,56,,,,56,56,,,,56,56,,,,,168,,100,112,168,,142,,,112,,,,112,112,,35,,28,60,42,60,,,56,200,,,,84,,,42,35,,,,,100,,280,112,28,112,84,,252,,,30,,104,448,30,,,28,56,,,60,,56,,56,28,105,280,,336,,,84,90,,86,56,336,56,,56,588,100,,,560,,210,28,56,56,,,84,28,28,,120,,,36,,,,100,,28,,56,,56,120,56,,30,300,,112,,100,,56,78,112,280,,60,,,100,168,,84,,28,112,,,,140,,,,28,,,180,70,,180,,,30,30,,,,,28,,,180,,,84,56,56,,,168,28,112,,480,72,56,112,28,,100,,60,60,100,,56,,168,,200,56,56,,100,,,,84,,,56,,,56,28,28,,28,56,240,84,,,,480,112,,,,56,120,,,,,,224,,,,,,56,84,,,,,100,,112,280,,,112,112,,,,,,91,56,,15,,,,,,56,56,,,,,,,,,100,,28,,,,,,168,322,,,,,,120,,35,,60,,,,,,28,,56,,,,,,,,,,,84,,,,,,56,,,,,,,,,28,84,60,,,,,,28,,35,112,,,,,140,56,,56,,,,,,,,,,,,
2017-07-01,,,60,56,,,,,,84,,224,,,,224,326,,56,,,,,,224,,,,,,,,112,35,320,,100,,,28,,,28,,,,,,,168,28,56,,,,,56,,,,,84,,100,336,168,,127,,,,,,,,56,,28,112,28,60,56,120,,,56,200,,,,84,,56,42,28,,,,,,,224,,28,112,84,56,504,,,60,,136,140,30,,,,56,,,60,,,,56,28,84,,,336,,,168,90,560,30,56,168,,,56,84,100,,,448,,168,28,56,84,,,105,28,28,224,120,,,44,56,,,,,28,,30,,56,60,28,,30,300,,112,,100,,56,108,112,140,,60,60,,200,,,84,,35,98,,,56,56,,,,56,,,180,56,,180,,,30,60,,,,,28,,,90,,,84,56,112,,,168,28,112,,480,,,,28,,100,,60,60,100,60,56,,84,,100,56,,,,,360,100,84,,,56,,,56,,28,,112,112,120,84,,,,,112,,,,56,120,,168,,,252,,,28,,60,,56,147,56,,56,,,,,140,,,,,,,60,,100,84,56,,10,,,,112,,56,70,,,,,,,,,,,,,,,,,,952,,,,,,,,,,120,112,,,,,28,,56,,,,,,,112,,,,84,,,,,,56,,,,,,240,,,28,84,60,,,,,,,336,21,56,,,,,56,,,56,,,,,,252,200,,,,,
