,J82038,M87003,E82056,B84618,L81022,E87004,M82035,G82142,H82077,L84049,B81061,B81052,M82019,F84077,K82021,G84028,A81004,H84025,F86036,E82051,K82023,M84010,Y01090,D83033,Y01200,M91007,C81046,G82115,M83052,M85730,E87002,G84007,B82008,P87002,E83010,C82610,J84005,B81010,F83022,F84033,H82057,B86024,C88031,M91604,P81051,F84087,D81060,G82165,B82081,A84609,M92009,H82047,L83056,E82027,Y01655,P82640,M91614,A83070,C81030,M82007,M83617,M91020,H81057,B86042,J82076,P81659,Y02735,G84040,P89015,M82009,P84678,B86033,J82063,E83003,N81087,M85078,H81134,J82009,F82675,L83100,H84062,M83616,B83660,F84119,M84035,E83016,C85004,J84011,E82060,M82018,M87027,M85066,E82007,P89007,F81089,J83629,G81034,H84637,L83136,P81128,H82056,F81122,D81086,M82057,H85067,A89001,C81064,G82120,L82050,Y03054,F83032,M89011,D83006,G85129,E83638,E85120,H82009,P92651,E85716,M82026,J83003,C88034,H82092,D83030,H82030,M87014,F84621,F81023,F81010,M87024,Y02720,E87063,E83050,J82052,L83032,K84033,J82630,E87714,P81032,C82043,Y02849,E82071,D81017,A83013,G82048,M85019,H81078,P81770,P89004,D81001,L82054,Y00178,J82110,Y02182,F81031,F81104,H81010,F81013,L81622,B86047,J84019,Y00612,A86017,F85700,H81111,M81078,B84004,N81075,F81048,M83042,Y02811,G85053,H81004,J83049,Y00403,G81035,E81073,E87071,F83043,Y05162,E85745,H84030,C88652,M89005,F81152,G85705,M87012,A81034,H81080,Y05187,G85054,H82078,M91018,M92008,M88619,G85073,D83041,M85123,P81172,M82059,A81051,Y01652,J82104,H84016,J82102,E85723,M84063,E82109,M83693,M92649,F81749,F85035,E83600,J81032,F81098,K81067,C81020,Y00200,P81755,N82117,G85034,E82111,D81022,C88083,C88036,B86002,K81062,Y04634,J81647,J81034,Y01168,G82200,L81021,J81041,M85035,D83039,F82028,H81097,J81012,E84068,P81006,D83051,N81050,G82158,P82015,P81655,H83013,B83063,F82007,N82079,F83615,C83027,M86002,B82050,B81082,B81020,C88016,J82015,B81119,G83053,B85019,E81046,B81054,E84006,N81033,N85008,A83049,B81011,B81005,G82790,J81018,B81635,B81025,E85020,L82009,C81007,D81034,F81017,L82012,B81101,B81017,G84005,N81013,H81015,D83074,B81034,J83019,D83029,B81014,B81037,J81073,B82030,B84008,M84044,N84018,B81645,B83058,B83017,B81040,H81094,K84058,C81080,K83030,N85024,D82025,B81112,P88042,B81100,E82001,B81048,K81074,D81033,N81088,M88018,L83117,B81041,B86059,F81115,F83045,M82011,L82049,K83031,B81035,J82067,B81008,B81616,B82105,Y02747,B81004,C84131,L83147
2015-11-01,,,28,,,,,20,60,,,,30,,60,,,,,,,,,,,,60,,,60,10,,,,,,30,,,50,,,,2,,,80,,60,,,80,,,,,,,,56,,,,,28,,,,,28,,40,,,1,,56,,,,,,,,3,56,,,,,,,,,,,,,,,100,,,100,,,,90,,60,100,,,,,,,,,,84,,,,,,56,90,,,,24,240,,,,,,,,,,,28,56,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,90,,,,20,,,30,,30,,,56,,,180,60,,,,,,,,,,120,,,,,180,,60,,,,,,,,,,,240,60,,336,,,,,,,,28,64,,,,56,,,20,,,,,,,,,,,,56,,,,,,3,,56,,,,,,,,60,,60,,,80,,,,,,24,,,80,,28,,,,,,,,,,84,168,,,,,,,,,,,,,160,,56,,,,2,,,,,,100,30,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,90,20,,,,,30,,,56,,,120,,,,,,,,60,,,60,10,,,,,,,,,84,,120,,,,56,,,60,,,,,100,112,,,,,,,,,,28,,,,,28,,,,,,,,,,60,,,,,,,28,,100,60,,,,,60,,,,,,,,,,90,,200,,40,60,,,,,,,,,,,,,,,,,,90,,,,,,120,,,,,,,,,,28,,14,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,,,28,,36,,,,120,,,,30,,,,,,,60,,,,,,,,,,,5,,,28,,,60,,,,,120,,,,,,,60,,112,,,,,,,,,,,,,56,56,,,,14,,,,,,,,,,,,,,,,,,28,,,,,,,,,84,60,,,,,,120,,,,,90,80,,,,,112,,,,,,,84,,,,,,84,,,,,,240,,,,,186,,,,,,56,28,15,,60,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,28,112,90,,,30,,,,,,60,,,,,,300,,,,,,,,,,,,5,,,60,,,30,,,84,,,,,,,,,60,,224,,,,,,,,,56,,,,,,,,84,,,,,,,1,,,,,,,,,,,,28,,60,,,,168,,,,60,60,,,,,,,90,,,,,,,,,112,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,28,,29,,60,,,,60,30,1,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,,,112,,,,30,20,,112,,,30,,,224,,,,,,20,,,,,120,,,60,5,,,,,,30,,,,360,,60,,,56,,,60,,,,,,,,,,28,,,,,,28,,,,,,,,32,,,,,,,,,,,,,,,,100,,,,56,,60,,,,,,,,120,100,,24,,,40,,60,,,,,,56,,,,,84,,,,100,,,,,,,120,,,,56,,,,,200,,21,,14,,60,,,,,,,30,,80,100,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,,,,,,,30,20,,,30,,30,,,,,,180,,,,,,,,,,,60,5,,,,,,30,,,,,,60,,,,,,60,,112,,,,,,,,28,,,,,,56,,,,,28,,,,,,,,,,,,,,,,,,,60,,,,56,,,,,,,,,,,,,24,200,90,,,56,,,112,,,,,,100,,,,,,,,,,,,,,,,100,56,,,,,180,,56,,28,,60,,,3,,,,,,,100,,100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,,,28,,,,,,120,,,,30,,,84,28,,180,,,4,,,,,60,,,20,5,,,,,,30,,,84,120,,,,,,,,60,,224,,,,,,,,,,,,,,28,,,,,28,,,,,,,,,,,,,,,,,56,40,120,60,,,56,,,84,,,,,,,,200,90,,,,,,100,,,,,,,,,104,,,,,,,,,,28,,,120,,,,,,,,,,,35,,,,60,,,,,30,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,,,56,,,,,20,,,,,60,,,84,,,,,,,,,,,60,,,,,,,60,180,,30,,,,,,,,,,,,60,,,,,200,,,,,28,,,,,56,,56,,28,,,,,,,,,,,,,,,,,,,56,,60,,,,,,60,,60,,,,,,120,,,,,,,,28,,,112,,,,,,100,,,,,3,,,,,28,,,120,,,,,,,,,380,,28,28,,,,,,6,,,,30,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,,56,180,,,,20,60,,,,30,,,,,,,120,,,,,,,,,,,,,,,,,30,,,,120,,,,,,,,60,,224,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,56,,60,,,60,,,,,,,,,,90,,,,,,,,,,,,,168,,,,3,,168,,,28,,,,,,,28,30,,,,,,21,,14,,,,,3,,60,,,,,,,50,,,2,180,90,28,60,60,120,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,,,28,,,,30,20,,,,,30,,,84,56,100,300,,,,,,,,60,,,,5,,,,,,30,,,84,,,,,56,,,,60,,224,,,100,90,,,,28,,,,,,56,,,28,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,60,,,,100,,,,90,,200,,,,,,,,,,,,,,,,120,,6,,84,90,,,,,,,,,,30,,,,,,28,,,,60,,,,,,,,,,100,,,,,,,,28,,,,,150,90,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,,28,,,,,20,60,,,,30,,,,14,,180,60,,,,,,,,,,,5,,,,,,30,,,,120,,,,,,,,60,,224,,,,100,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,28,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,28,,,,,200,,35,,,,,,,,,,,30,,,,200,,,,,,,,60,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,,56,90,,,,,60,,,,30,,,,28,,,60,,,,,,,,,,,5,,,,,,30,,,,,,,,,,,,60,,112,,,,,,,,28,,,,7,,28,56,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,84,60,,,,,,,400,90,,,90,,,,,,,,,,,,,84,,,,,100,,,,,,,,,,,,,,,,180,,35,,,,,,,3,,,,,,,100,,,,,,,,,,,120,60,,,156,1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,,28,,,,,,,,,,30,,,,,100,,,,,,,,,,,,,5,200,,60,180,,60,,,84,,,,,,,,,,,,,,,,,,,,,,,,,56,,,28,,,,,,,,,,,,,,,,,,,56,,100,60,,,112,,60,84,,,,,,,120,,,,,,,,,,,112,,,,,,,,,60,,3,,,,,,,,,,,,,,,,,180,,28,,,,,,,,,60,,,,,,,50,,,,,,,60,,120,120,,,28,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,28,,,,,,120,,,,30,,,168,28,,180,60,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,112,,,100,90,,,,28,,,,,56,,56,,,,,,,,,,,,,,,,,,,,,,,60,,,,112,,60,,60,,,,,,,,,,,,,,,,,,,,,,,,,84,,,3,,,,,28,,,360,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,28,,84,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,,,28,,,,,80,,,,,30,,,,,,,,,,,,,,170,,,,,,,,,,,,,84,,,,,,,,,,,112,,,,,,,,,,,,,15,28,,,,,28,,,,,,,,,,,,,,,,,28,,,,,,56,,60,,60,,,,,,,200,,,,,,,,,,,,,,,,,,84,60,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,60,,,,,,,,90,,,,,,,,,,,,56,,84,,50,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,,128,90,,,,40,,,,,60,,,84,28,100,,,,,,,,,60,,,,,,,,,,60,,,,240,,,,,,,,,,224,,,,,,,,28,,,,,,28,,,28,,,,,32,,,,,,,,,,,,,,56,,100,,,,,,,,,,,,100,,120,,90,,200,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,60,,,120,,,84,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,,,28,90,,,,,,,,,30,,,,,,,60,,,,,,,,,,,5,,,60,,,60,,,,,,60,,,,,,,,112,,,,90,,,,28,,,,,,28,,,,,,,,32,,,,,,,,,,,,,,,,,,,,56,,,,60,,,,100,,,100,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,35,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,84,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,,,,,,,,,60,,,,60,,,120,,,180,,,,,,,,60,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,12,,,,,,,56,56,,,,,28,,,32,,,,,,,,,,,,,,56,,,60,,,,,60,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,90,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,112,56,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,60,,,,,100,,,,,,,,,,,,,5,,,,,,30,,,168,,,,,,,,,,,112,,,,,,,,28,,120,,,56,56,56,,,,,,,32,,,,,,,,,,,,,,,,100,,,,56,,,,60,,,,,,,100,,,,120,,,28,,,112,,,,,,,84,,,,,100,,,,28,,,,,,,,,,,,180,,28,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,56,,84,,,,60,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
