,E83024,M85064,G81099,J81034,E82603,F86639,H84629,F84080,K83079,M83680,N81008,N85015,P81750,H81061,N83026,K83002,J83041,B86008,G81026,F81719,J82099,L83651,M84032,B86003,M85679,M87010,P81769,B81038,K83041,F85032,G82126,F82023,J82130,E87011,D82036,M88014,B82005,D82044,G82198,M85061,P83019,F85625,E86625,B87029,C87020,F83022,P82643,C86024,B81039,M81010,Y03051,M84035,E82043,N81064,P83015,G81008,E83044,E85715,M84031,C83043,A87029,F82680,G85736,M83062,D81006,J82216,E85046,H82046,M81079,F81128,E86019,N83641,L83074,N82022,N85634,F84716,Y00562,G83067,D82058,C81049,G85138,E82658,G85703,L83052,M83057,M87041,E87663,L84052,G84028,N81051,E84006,J82086,P81013,E85029,E87718,M82009,E83020,D81633,M81077,P84037,G82140,K83056,B83642,E83011,N81037,F86652,F81613,P86005,F81649,H82034,J82609,D81034,M85028,G82031,F86034,F84686,H81081,D82016,M81014,G85094,G82662,Y03211,P81681,H81067,F84641,E84702,M85026,M85178,H81009,Y02906,G82647,F84706,Y01124,G81049,J81022,M85117,Y02873,E81013,H82078,F84717,J83059,F81082,M85047,N81030,L84033,E86033,L83085,B82049,L85008,E86038,N81015,Y01640,M81062,F81118,L83092,F81670,P81071,M85088,P81087,A82055,P88005,Y02517,H85643,L81049,C83045,M81063,E84670,K83042,H85061,J81067,P91035,E86004,L81068,M82056,D82035,E82055,A85611,E85663,A82044,C88062,J82183,N82664,M85803,F82648,H83031,E87026,C82033,A82072,G85039,N81123,G82015,M82012,L85040,M85069,G82028,H84637,Y03454,G83031,E86003,B86020,F85061,K81056,G81061,L81031,Y00164,B81666,L82029,G83058,A81004,E86005,H81070,M85103,E83017,E85019,F85700,F84698,G85041,N84013,M85081,E83638,D82104,B86012,A82058,L85061,N81087,C84029,P85615,L85001,D82105,C81005,B82033,D81085,Y00056,F81046,K83618,C81108,M85055,E85098,B81024,H81133,H85020,K83008,G85083,D83004,E85003,C87008,G84029,E83026,K83622,E81029,H82030,F81213,C82026,C85016,D82618,M83613,L83043,K83070,E84025,J83037,B87009,H84014,Y00437,M85063,F84682,L82021,F86627,H83025,M85164,M85016,A83003,H85038,J82035,P81140,C84124,E82613,L82004,C81015,F85658,G81638,G85632,C82005,P81741,H84058,H81054,H85049,K81655,K84004,P88026,K81055,E82098,Y00373,B83023,G85021,J83005,L81025,D83002,L83021,M86019,B83029,G81050,F85058,M85092,P82023,E82001,P81055,A82034,E83653,L84010,L83004,H81022,C81067,C84004,H84635,K82065,L85039,C88016,Y01187,E84617,G82048,E87066,P81642,G82050,J82021,C82678,D82068,E85716,L85053,J82094,Y00683,P81053,D83023,G82666,M81608,M89004,N85018,J81045,Y02354,F84033,D83060,H81058,M81025,D82099,J84015,M86046,A83046,H81080,M82616,Y01051,B83061,E81004,P81016,E87069,J82072,Y00033,L85018,E82075,M85043,Y03135,M85111,E85014,M87013,P87028,L84065,L83013,P81190,P89029,Y02603,B86032,L81078,M85730,E82073,K81006,C84092,H81119,G82228,H84039,L84058,L83025,L81125,C83023,J83046,E85707,Y03455,M83011,G81039,P81690,F81215,M85174,P81123,G85121,D82045,A86037,P87026,C83008,F82019,M85078,J82145,F84004,F84088,H81028,H82052,G85089,E81034,H81099,A89001,K84017,P89033,H85033,A85009,P82013,E85109,P81758,C81062,C83019,E85723,H82020,A82048,A81609,C84718,M85065,F85036,C86029,M92028,E83025,F83056,M85143,A83054,B83063,J82150,K84044,N83605,E83600,H83053,K83059,M81040,L81051,C84032,G82092,L81023,B82047,E85026,Y03402,M83617,G85118,G85698,A81032,E87006,D82041,N83619,C83018,A81622,P81701,E82019,D82017,M85642,G85005,C88052,C82010,Y00374,C81004,H83044,C84035,F85030,F84012,E84084,C84008,J82007,D81023,H81048,C82670,M83715,A87011,E82129,C81021,K81651,K81043,D83007,M82026,M84023,K84042,H84020,K82013,B83044,E82066,M81081,L81052,F84123,K82615,F81015,L83100,K83003,M81037,C83054,A89005,N81092,E84004,G85106,M83092,E81063,K84025,P92015,M83130,P85005,F84718,G85053,C86032,G85132,G81034,F81126,N84615,L85047,H81131,F84044,M83061,B87017,F83624,C82656,E82015,Y00509,L83123,F81165,G82086,A89612,D82063,F81155,L81094,H82032,G81100,G81048,H85053,M82033,J82063,F81184,G85130,Y02197,E82009,F86012,J82042,K81085,G85006,J81039,B83038,G85052,A85609,H82092,E87038,N81108,C84621,A83031,M82060,C84080,G81064,N81027,A86027,G82210,E84017,E82072,Y02056,G84027,K84040,C84026,L82001,D81054,M85036,Y02896,Y02202,E84011,B81004,F84031,P88006,M81068,P84045,B82017,E87017,L81128,H82036,C87012,M85053,A86008,M88626,G85705,K83035,F86066,G81004,E86036,G82138,L81617,M82027,D81011,J82025,L83029,E83053,K81640,J82217,A83041,Y02322,N81074,P85017,G85112,F83660,K83601,C81038,G81096,L84053,N82115,G85013,M85680,H81011,E84032,G85119,M87008,K84011,G85031,P81163,F86007,J82026,G85644,C85004,H81004,F84034,E85061,G83016,B81003,D81052,E85041,L81045,P92010,G83066,A81037,F83664,K83021,A83010,Y02811,D83070,E86018,G85726,L81066,G83007,F84055,D83026,A81630,F81738,G85692,P84010,F81022,P81006,P86017,E85055,C88045,D82042,L83664,G82106,M84609,L81033,C81053,M82045,C84047,G85623,L83051,Y01127,C88026,D83034,J82164,A86010,F83023,Y00159,E84681,E83039,H81013,F84632,E85091,P87040,L81098,E84039,G82018,C84066,L84075,C84016,C86625,M85042,B86064,M85031,P83620,M83638,M85035,L81008,F83034,A84044,H81075,Y05080,B82025,E87681,L81632,G82042,Y04934,G82017,F86057,F83008,M85694,F81081,C82043,C84683,G82799,P87627,L82028,B86044,H85011,N84011,E84693,L81670,M81017,J82154,D83001,F81091,P81057,F84694,G85685,Y04673,P91009,N81066,E85042,C81649,N84005,C86605,C82070,F81716,G83027,N82623,P81622,Y04574,P81172,G81035,J81069,D83009,Y02578,L81083,H84059,L81035,L81648,A83018,G84017,P85012,E84005,P81047,B82026,F84008,D81026,L83027,L81046,F83686,F85675,Y00198,G83680,L81022,M85079,Y02414,P84005,F81198,A85014,P91018,C84094,G82037,K83024,P84034,P88008,Y02117,E83622,F82009,L81089,M85163,G85035,C86021,N85008,M85086,Y03656,C84117,L81075,F84635,F86702,M86045,J84005,M84020,E84665,Y04112,E82663,B83604,L81067,M91032,G82796,C82073,N82049,M85019,M83032,N82033,C84072,M85693,B81088,C81110,L81099,B81021,F85003,F85031,G85073,L81122,Y01011,L81054,H82099,P88625,L81120,H85005,G85136,G83047,E83042,F81163,M85172,Y00481,E82656,F84083,M85600,N81053,H85070,L81007,J82087,Y03035,F85650,G81055,J82143,H81078,M84012,G82006,A85017,N81101,H83627,B83621,L81037,L85014,C88053,B85004,F84016,E83032,C84063,D81028,J82166,G85054,D83010,K83028,N82053,L81084,L81635,B83638,F83666,B86041,B87011,H83023,P91615,J82619,F83015,L85056,E82032,P91004,B82062,F84601,P84032,J81002,E86020,L81081,F82051,E84078,Y00090,F81137,J82174,J82646,C83014,Y04786,H85686,M85759,G83647,E83036,C84043,D83029,N82106,K82079,A84009,G85002,L81017,H85066,A82012,M83074,G82706,L84050,E85028,P89011,C82055,F86062,F82011,K84001,Y05161,L81061,J81065,K81039,F85004,L81086,L82050,D83055,E82115,M81029,C82103,M81009,K81067,G82105,G84628,J83057,E81019,L81055,G82722,K81069,A87008,L82053,B83006,M82010,E82039,Y05283,L83136,H85653,C83080,F86032,P92041,P82014,H82060,Y03432,H85018,A87019,H82056,H81066,B83056,K84027,L81057,B87007,A81026,J83034,C81114,G82089,J82074,Y00459,H82096,D83018,F84747,H83018,L81095,H85682,L82056,M83006,B83614,P86014,F81072,N82117,A81005,F86708,M81006,G85045,G81658,M85110,L81004,G81038,E84023,F81207,K84045,H81667,E84036,A82045,L83101,Y03023,G85028,G85109,E84003,M81012,P92030,L81024,K81101,E84684,D81071,L81009,E84044,G81013,H81019,N81056,L81019,G84629,D81061,B86010,C83031,A89030,A84018,C81611,H84042,J82141,B82007,G82164,A89003,M81038,E84076,L84606,Y00862,C81101,M81002,G82079,G85011,D81086,G85724,F81151,E82100,H82058,B81026,M81617,H84051,K84066,J82020,B83033,F83053,M81007,L81043,Y02987,G85708,C88032,G82098,E82060,L83064,P91604,B81036,F85029,C82035,J84014,L83019,Y02581,E83031,A87015,G82082,N81060,B86667,N81021,D81082,N82035,F81019,H84034,Y02423,F82018,C81647,A85005,P91631,E82099,F86637,M81058,M89026,F86083,F85011,P81042,D82070,M82047,M81042,M85127,Y02790,G85633,C84059,M82002,Y00212,F81012,P85605,K81605,E87762,C83032,J82181,M85006,P83021,G81041,K83019,K84033,K84080,F81088,B82050,D81064,M85176,H85041,G85129,C88047,L84032,A81054,B87001,F82017,M85025,E86009,C84658,Y03063,F84089,P81086,M81005,B83028,L81059,C84688,G83061,J84606,H81086,M81094,E83030,H85656,K81078,J83024,G82036,N85040,N81052,N82646,M81070,F84087,B85622,M85034,N83020,G82791,L83075,P81181,C87606,H81057,Y00480,N82668,P81028,G85025,M86004,N81119,F85684,Y01962,E84057,G85127,C81003,M85023,A82035,H84025,G82090,L83128,B81099,M82041,G85673,G81086,M83121,L82622,A81020,N81068,J82060,K84049,N85032,H82014,L85044,A87006,M87638,E84013,N85629,F84692,H81031,P87648,Y04028,F84730,L83006,P81112,G85133,A81044,J82155,L83147,B83020,M85177,P81089,F81038,D82005,C85009,H82088,J83615,B86048,G83672,G85120,H83624,G81036,M81021,G85123,A87007,L81643,L84024,P81196,G81002,H83034,A82050,K81644,G85014,P91006,E84663,F84122,P88600,C82109,Y02701,Y00054,C81104,J82024,C88044,L83096,Y04995,L82012,Y02483,D81043,H82065,M85066,M81082,J83036,K82028,F85066,P82002,B83626,F81016,D82628,E81046,C84009,C84135,N82024,C84024,M85159,P84682,F84640,G82809,B86075,Y02466,J83030,C88037,H85012,F83050,K84078,A81067,M83076,F84054,N81039,J81054,G85711,G82013,E84007,M85007,Y02330,M91022,F85705,P81689,M83608,G85134,M92030,L83073,G81014,H85055,L85023,E86028,J82178,G82691,D82051,A82064,F81177,P82009,A83009,D82084,H83014,C86621,F81113,F83021,M83045,L83112,B85060,Y01929,L83643,J82196,E83009,E81044,F84047,J82163,B82072,E86609,G85723,M83050,G84023,C84085,Y00203,G81103,L84009,A82654,F84018,D81004,G81045,C88023,M91643,G82093,K84071,E85006,H85008,M85058,F86664,M85783,Y02884,L83127,Y00049,D81002,E81036,C81097,Y05317,Y00048,P84611,N82651,G82631,F81018,C83005,H84062,L82036,G82221,Y03548,E87740,N81019,Y02597,L81016,J83045,Y04467,H82037,D81055,E82034,L82044,J81078,K81026,P81079,G82217,G85022,J81005,M85781,H83006,H81085,K81060,L81071,J81006,E85735,E81057,A89042,P82607,J81019,E83034,A89031,H81091,G81097,B86006,E83027,M85699,P92014,P81137,C83641,P91617,J82131,F86731,M85794,M83711,M92040,G82071,D81629,P81051,J82112,F85035,Y02639,E81030,H81087,P83007,D82010,D81016,E84018,C84021,F81052,L83078,N85017,A84016,L84067,G84022,F81106,G82110,E84068,F81206,E81059,L81042,B86055,F81116,E85733,D81007,E82005,M88019,D83608,L83023,J81044,G82121,P81027,L81644,L81642,P81058,M89013,K83027,E85636,J82115,L83105,E82084,A82608,A83032,Y01924,B83030,E85107,F81042,K82059,M81047,A81036,C87622,C86019,E84658,M83723,A83037,L81119,E84069,D81014,E81038,A82005,C83635,N82077,N83001,C81096,J82064,Y02226,F85034,K83010,A82631,P81004,P89002,E82085,M87623,L85016,L84070,H81035,D82001,Y01008,F82634,J82081,P81032,C84037,A81017,D83043,M91619,B82081,E85120,K81027,C81030,C81032,C85013,B85634,G82108,M85757,C85018,N83022,C84112,F81011,G82087,C81009,J81620,M91025,B87013,C84067,D81003,K81081,K84046,Y01129,P81157,K81051,C85026,M92010,E85075,H81615,E84058,J83009,D81060,E81031,E81014,C82050,C84086,N82066,P82011,B83002,C82045,Y05018,F86082,C86014,G82808,P81059,G83021,E82083,E81633,J81073,C88014,Y02928,A83012,G85023,M88627,A83049,C84031,K84618,Y00105,N81045,H84625,J82114,Y05364,M92003,E84709,N83018,G84005,K83012,M89017,G82094,D82072,Y01118,E84685,E82004,Y01981,M84001,F83027,D81050,P82012,A82049,F81080,K84048,Y00185,B81665,L83008,E81003,Y02492,K84624,G82064,C88086,A83052,P83020,P87014,A84008,B82046,F86008,M81048,J82069,C88007,Y02630,F85676,C83003,E82022,A82036,K82018,C82611,D83074,J83047,C82020,E82013,A82018,P83011,L81103,C82017,C87030,Y02605,J81083,Y02823,F82053,G82024,C81655,C86034,F86087,J83646,C84023,H81082,C82036,H85035,K83048,B86049,L81082,Y02674,E81033,E81061,F81169,H84030,M81080,D83081,M91626,C81013,N81086,M86018,G81006,D82034,A84015,C82007,Y04884,Y04972,C82649,E83005,Y03967,C84052,P84016,K84028,L82045,C83063,E85128,Y05282,Y00042,L83673,A82037,L83030,D82040,K83052,K83064,G82023,D83016,Y00623,G81651,F82030,P82016,D83079,A89025,E84030,F84006,L84001,M81039,J81653,Y03760,N85016,F84022,M85124,H85092,M83035,G84001,E81047,F86666,M83125,L83627,N82107,K82037,L81038,L84018,C86012,E87024,P81014,B84021,C86003,L83131,G84007,N83053,G85016,H84015,N82655,H83001,M86017,K82024,J82061,D81012,B82063,M82017,J82102,H83004,J82142,G81095,D82621,H85101,G85055,P81096,M82004,C81034,P81092,C85020,F81078,A81060,M89009,K84056,G82160,G82111,M81061,P89006,C81002,K82046,L85002,E81024,D81081,E82002,B83611,K84002,J83018,L83036,C82082,N82081,F84096,Y04110,P88041,C81658,J82144,E86010,P92652,Y03870,P81177,J83050,H83022,C82028,B83022,J82134,F81120,C85007,D81637,K81103,H83015,B86096,K81030,G81087,F82668,L82046,C82067,Y02946,P81737,H85683,G84018,Y00186,B81034,F83683,F81123,E84645,M81600,Y02068,J82089,D83012,L81085,B82609,N82641,N83033,Y02495,P92003,P81062,H81015,E84705,Y05398,P84669,F83057,F85669,C81037,A89023,G85034,Y05258,N81075,P81044,H83048,C88059,F81007,C84127,C84114,C84647,F82610,L83070,L83616,P92651,G81059,L82018,E82063,P88042,H81033,A88004,F85645,N83035,Y05363,M89010,P81742,L83097,H85032,N81042,B81688,M81026,C81045,A81027,E81009,K82044,P83001,M91015,C82084,F81029,L82006,B81012,G82141,D81056,A89017,C81060,G82007,N84025,P81707,Y05132,H83625,B85037,E81632,C85010,F84111,C84122,L83644,B83011,M81043,G82650,C83058,B87039,P84014,C84698,M81056,C88005,M81019,P92639,M89019,C84025,J84017,C84049,J83055,C81050,L83038,N82046,Y04629,K83049,C84619,B85048,L81130,M83722,G81052,C84103,F81026,D82007,C84095,C81033,A83006,N82103,B86034,K84613,C82047,M92009,K81025,J82098,G81012,E83045,D81051,D81619,L82052,C88060,N82001,F81099,A84003,M85154,F83674,G85042,B83641,F82678,A82047,J83636,B82071,B83055,Y06208,E82094,P81780,H81037,C85023,P81711,Y04957,P92637,C84084,Y04334,N84018,P86026,K81075,F86616,L83628,L82009,F82007,B82044,E87706,G85135,B81100,P81668,N83028,N83024,Y05318,M83070,H85031,B87026,C83061,C85623,N81014,G81051,F85701,G82112,C88072,K83031,F81014,Y00060,F81721,K84019,F84017,G84621,D82065,B81043,M84018,E86637,A84022,L85033,B82011,P82003,Y05408,F81134,K84062,F81195,F85002,E82074,J82077,J82083,C84018,L81026,K81074,E87648,K82008,M82014,D81606,D81035,A81053,L83044,B83037,F84050,C82068,N85616,C88011,C84013,K82631,Y03641,P82004,Y04371,D82054,F83633,E84066,C85003,P81107,J83004,A86004,E84031,N82093,L84037,F81083,B81066,N81006,F84074,B81602,L84060,H85006,A81618,J82622,M81015,K84050,B82008,D82026,Y05614,F86085,D81073,H81010,N81013,M84049,M82005,M83094,Y02583,J83060,M82604,A81012,P86007,G85086,E87774,E87745,C85017,D81022,E82088,L82030,Y00996,D83014,C86001,C88074,E84656,P86003,F83004,E85121,E85115,E85635,M83072,H81036,Y02718,M83013,J83049,D82019,L82016,H82017,K82049,F81133,F81636,F81193,P88003,B82042,P85016,F85008,L85013,M86041,Y02847,C84091,B84618,C88043,A86024,J83031,K83066,N81033,L82041,C87013,J81057,L84044,C83643,M83713,B82024,K83621,Y02332,H85111,P88044,L81101,B83653,B86014,B82029,P85006,E85744,M82028,K81084,E85712,F82612,B86074,Y02890,Y03971,E81065,C82038,P81770,H81107,H82064,F81076,B82097,D83039,C81106,F82021,B86018,F84733,E81035,H81024,F81021,D81066,F81001,M81054,C84142,L84016,E85038,M91650,N82076,G82790,K83017,F83059,F81020,K84605,M83054,C81031,A83632,J81621,E85053,C81012,C82077,G82161,F81071,C84629,B86019,G83037,G82679,C88048,H83013,D83056,D81008,Y02260,C86017,C82009,A83035,B83620,C84693,N84624,C81094,G85096,M89003,E83037,E81032,J83002,J83003,G85048,M82048,B86017,C83001,D81010,M85056,Y03079,F85033,G81029,C81099,B84019,B81023,E82091,C84017,P81117,D81622,D82087,L83646,C86038,B81048,E83008,Y03798,L82024,C87616,E82661,C82660,K84012,G85706,P85608,L83050,A87612,C86006,C82653,F82661
2015-01-01,21,1,100,300,112,50,100,100,200,200,112,100,100,250,300,30,336,200,168,300,300,168,50,100,1,200,100,112,56,56,200,450,100,20,100,100,250,21,500,10,100,200,120,150,80,500,100,100,28,200,60,250,252,300,300,100,200,100,350,100,100,500,30,100,56,224,60,250,100,30,200,1,30,100,60,50,2,28,200,200,10,100,100,200,168,100,100,100,180,180,100,360,252,28,100,100,100,60,100,100,100,56,10,200,100,700,200,100,100,10,100,10,21,100,100,200,60,300,84,7,100,1,100,50,10,100,100,1,56,300,56,100,56,28,28,21,17,112,200,20,100,100,1,100,50,200,100,100,100,10,56,17,2,100,100,84,100,1,56,400,56,100,300,200,300,200,56,250,100,30,28,84,28,200,400,20,100,112,100,30,300,100,1,100,50,50,168,100,20,84,100,56,84,1,50,100,2,50,200,100,250,30,168,224,10,300,500,56,28,100,100,100,42,100,100,10,100,100,1,220,400,100,100,200,284,10,100,100,100,100,200,300,5,300,84,100,1,50,250,250,400,268,120,42,200,28,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,42,,,300,112,150,300,100,,,112,,,,,30,336,100,,,100,,50,,,,,,84,56,,450,,,,200,,,,,,,60,150,,200,100,100,10,100,60,,84,300,300,100,200,100,,,,400,,100,,224,,,,,250,,,300,,,2,,,200,20,,,,,,,,60,60,100,350,,,,,,,100,,100,28,,,100,,500,100,,,,5,28,,,200,,300,420,,,1,,50,,,,1,163,300,,,,306,,,4,,,40,,100,,,50,,,,100,,28,12,,,100,,100,2,28,,,100,100,,,,,,,,84,,28,,200,,,70,,,,100,,100,,50,168,,,184,100,,,,,,2,50,100,,250,,168,,,,350,56,,,100,,313,600,100,,,250,,,,200,,,100,10,,,,,300,500,2,,,,,,,,,84,,,,,,,50,28,500,30,250,60,1000,100,200,200,100,100,84,300,200,1,250,3,250,100,20,112,100,100,400,50,7,56,100,60,100,336,3,168,500,100,112,100,100,100,50,100,200,1,28,100,100,56,100,100,60,200,100,500,1,100,100,100,100,100,60,112,28,100,28,100,100,100,90,1,100,112,100,300,500,100,28,400,100,1000,100,28,100,100,56,100,100,250,448,84,30,56,56,200,100,200,200,100,56,100,100,28,7,50,21,250,60,56,300,28,100,200,30,250,1,100,56,100,100,2,224,168,100,100,200,56,100,100,100,712,28,300,100,400,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
