,C88005,C83039,M92607,N82052,A82032,A83074,M91659,E86010,N81041,C88010,G85032,M82619,K83050,L82015,N82645,K81024,G82693,L83016,E81008,N84018,Y02423,N84015,B82005,M85697,M85063,A84005,G85104,F83004,A81043,H84041,C84012,K84039,L83036,K84624,F84742,E82027,B85652,H85033,F83032,J82083,F82647,H81040,F85008,L81026,C81094,C81096,C83071,C81001,C86001,H85649,F81038,G81033,P87027,L81617,G82110,G85085,N83021,L81669,Y02117,A88020,C81002,L83059,H81047,F85010,K83056,M87011,M85624,F85025,N83002,D83008,E81045,B83063,B84011,D83047,J82020,G82113,C82056,G84033,F84686,K82040,L82040,M82018,A85012,C84693,M85756,P86015,C83031,A89017,D83076,M92647,C84020,M92015,A88007,K81069,K82001,P84059,Y02662,N85002,A81053,Y00278,E85683,B83032,H81072,J82090,D81002,F82665,C82071,Y03023,G85028,G82046,G85004,N82662,K83033,E86007,J82027,K84033,G81009,C84035,G85015,P84070,C83063,F84033,J82041,D82035,G84027,A83014,E81027,P91020,K81045,E86012,C84074,D82054,N82664,M85803,D81001,P81685,B86049,E82644,G81663,M85066,E84053,M85136,E87008,Y03747,F85699,K81056,F83019,C81003,A86013,Y03135,G81100,F82002,M82011,Y03661,H81005,G84010,A81026,K84048,N81069,F85643,P85006,A83635,B82008,C84150,M84036,E87021,Y01050,J81055,C84055,K83025,F81099,P84017,D83004,H85111,L81128,P81077,P88041,D83024,B81043,J84602,A84025,F84115,P81213,C82671,L82044,G82017,E84620,M83061,G82142,B83071,G83062,J84017,M82019,G82082,H85116,F83681,P92642,F83027,G82114,G83672,F86011,H84027,J82113,E85042,J82060,C82055,H85037,B81008,B85032,M84006,F86627,C83065,C81069,A82033,P87040,C85033,M92001,A83018,J82155,M85029,E84709,F84093,A82027,C84018,J84019,N83009,N81013,P81684,J81013,P81115,A83010,P82002,M86004,F84716,C84688,G81038,G85038,C81062,E82090,J81021,E86042,E83021,G84028,F86036,E85029,E82051,E83622,E83020,E82132,C82095,G82155,M92028,L84015,M83094,M88633,P81032,G85021,N82116,H85069,H83053,H85029,F81017,P82008,L83018,M84037,G82203,K81014,E84667,B86054,B86016,C85017,C81647,J83036,L83019,A83066,A86022,L83005,A83030,N81043,C82122,M83682,E82086,G82656,B83641,L85008,M84001,C84084,K82023,M88616,J82022,F83660,B82092,F81147,E81073,F85033,C81004,J83042,C84120,B82041,F81014,Y01127,M85002,P82031,D83060,J83063,D81025,N82065,L82056,H85003,J81006,E83037,P92035,P85012,C84060,E82054,G82105,Y00090,N82037,H81087,E84678,E83034,G85053,G85047,C82639,C85020,E87756,J82168,D83044,M86627,B81666,K82013,A81004,C88045,J82165,A82009,G85723,G82622,B83056,F85697,Y03506,G81029,K82012,L82012,E84026,B85028,A83036,G82687,J83062,M83700,M83011,A83022,F85066,H82030,E82603,H81090,M82010,C82026,L82026,L83122,N82648,G83044,A86031,F84080,H81644,J82196,N81008,D83020,F82008,K81630,A81011,N81042,M88012,L85002,G82143,C81047,D82048,J83037,B85026,M83052,C84051,G85084,A83055,J83040,M84028,A81012,L83099,F83053,M85164,A85024,L83079,G82757,M84068,B82074,N81026,E86041,M85145,A84011,J83007,L83067,L85005,M83016,L83064,F85016,L85608,J82203,H81051,C83036,C83009,G82744,M85001,M83727,M91639,G84030,F83008,F85684,P82016,G84002,Y01132,L82038,M83057,Y00984,J83008,F84013,J82056,F84003,M81075,P84611,M81022,H84032,G83006,A86005,F86073,N81114,B87025,J81005,A81608,K84044,B86070,L81025,M81058,B86060,A82031,M85037,P88020,Y02597,F81113,A88002,G85048,H81017,E85026,F86023,E83035,Y00198,F85687,E85600,L85039,B81042,D83010,G82109,C87002,F81149,L85045,H81041,Y02961,E83030,B85011,B84004,M83007,J84010,H82006,G82027,B83013,F83064,H81094,B87015,J84013,P85001,L83026,B82077,F83023,L82042,C82610,G82630,P91035,C81051,F81036,C85004,L81037,L83056,P81074,C85013,M89017,A86028,P82634,E85050,E82022,L85040,E85122,F81079,H82043,G82099,A85004,K82048,L83029,M81074,A81036,M83020,P85013,G85041,Y00969,L83013,F81084,E85728,H85002,Y03441,E85040,E84032,E84042,G83012,F81132,L83131,J83630,F83059,P92019,Y03035,L81061,A87003,D82032,L81073,C84023,B86015,M83054,M81042,M91643,G82055,G82098,D81057,M85149,C84679,F81696,Y02758,C83030,L83072,E83024,P81704,F85031,H81632,E87717,P89014,E84057,J81010,B85019,L83031,M81047,N82024,M81008,Y01291,G82230,M92609,M83014,A82012,C88019,F85019,D81070,F82053,F84022,H82041,B81035,F84682,G85089,N81052,A84045,P91004,K81060,G81008,M85127,L81060,D83073,F81100,C82042,A83003,H81116,B82628,C86005,D82015,J82144,K82019,J82605,C88043,B83009,G82219,D83011,B83037,M83096,L84030,E84036,D83059,H85048,A89019,H81029,M92030,B87023,B83661,F84669,B81040,A85609,A83054,P84616,J82132,B81025,F85011,B85023,M85176,L83021,C86017,E85005,A81044,Y03587,E85124,E85099,C82019,K81070,E83653,M86009,C88051,P84052,G82094,F82012,L83078,N84023,Y00902,L83113,K81048,K82030,E87043,Y00486,E82019,C87007,H81052,F81080,M81026,B81027,L83146,J83035,C84122,J82052,D83080,A83603,N81027,E85128,B86095,G82067,F82612,G85102,C88023,A82016,D81023,G85633,N84008,M92654,M81055,G85039,F81684,N81632,D81024,G85025,G83031,Y00140,M86014,B81060,A87017,Y03584,M83140,E82082,H85082,J82134,P91011,E85740,L81078,B81104,C87005,F84692,Y04273,B86068,F83018,B83041,F82610,B85614,J81027,D81085,F81031,F84724,M86030,H82076,C83072,C88060,A86030,K81073,H81133,P81054,M85020,M92011,M85005,A85008,E85681,P92033,H84043,M81019,C83006,G82185,P81041,E86014,G83007,F82025,G82125,H85005,P87625,L82049,B86067,H82045,G82025,G85001,F86022,G82204,C82066,E87002,L83023,F81030,F86701,H82022,H83025,Y00293,B86038,A84031,J83045,K82034,G85113,F86066,C83075,H81056,L84052,M82028,F84735,L81017,K84004,N82092,P88624,F83680,G82031,F85004,P82023,E82001,D81043,P81772,K84030,L83147,F83635,F83033,K83053,L84613,B86666,P81177,B85650,A87019,F82663,F84053,N85008,G85724,P81655,K81085,J82008,A82026,E85633,L82006,C81118,D81073,F85027,C86007,N82094,C82033,N81123,H82008,H82007,M85069,L81027,L81031,M83708,G82037,L84048,J82015,F81022,N81007,B86048,E85014,E85685,F84708,C84682,L82068,E81023,B85024,J81030,E85033,L83032,B81003,M88639,C83044,J81078,B81061,K81036,L82013,J81033,G82112,P89005,A83012,G82126,E85049,G82052,L83042,N83045,M82005,H85012,P87620,E85062,Y03124,J82213,G84017,Y00151,L81087,G81070,E85719,B81049,F84700,E82613,M87041,B84019,F82004,H83010,M85018,Y00592,L84051,E81076,A86017,M89601,H82064,F84017,L83034,J81068,G82014,G85003,F84656,M92027,J82085,M83148,E85116,E83640,B86075,D81010,C84053,N85044,H82096,P81029,C84039,M81045,Y00334,E87047,G82018,G85721,Y00445,C84002,G82093,B83614,E85105,L84054,Y02510,G81034,Y02378,E84076,B83005,K84074,Y04957,L83097,K84072,C87030,A84009,E83638,M91003,G84024,E86006,P89011,F86702,A88013,Y02260,J82010,E85624,F82007,C82011,A81047,C82642,P84074,L83055,G85124,K83070,E82050,B81006,B83062,A82023,E84086,B83052,H82029,K81078,B82037,C82676,P82001,C88069,Y02816,C81007,H85092,E85120,J81019,B85012,K82062,G85138,C87620,G82150,Y02585,E87007,D82051,A81041,E87029,E81003,J83009,B87614,L83103,M85735,B82046,L85054,P81681,F84008,G82080,Y02946,H82066,B87017,A88006,C83064,H85032,B82075,F81118,M85038,D81086,Y02517,Y00672,P84026,Y00972,J82123,H84051,E82006,P84651,J82007,F81180,G82135,C82628,Y03755,H85008,M82035,B85031,G84019,M87007,G85109,D82013,G83015,N83015,N81047,P81170,F84661,M82047,C87031,M83627,H82059,P84050,C81052,L84037,H85077,F84050,B86044,B87044,B86055,P88007,F81186,F82001,A86010,F81681,C88046,A87005,P81058,L81045,H82046,A83072,H85076,C82611,F85028,J82104,F81106,A84022,H82011,F86086,F84734,J81071,A89621,C86611,G85023,G85013,F83673,M92040,G85022,D83009,G81011,D83002,M82003,M85028,D82023,C83079,L81023,L83094,Y02656,L83020,F84636,L83014,C84001,A86016,F81144,N85046,G81056,K81020,J81047,F86666,E83045,J81064,F81205,C82058,H82069,L83087,B84013,B81050,E85074,F85035,F81097,P87668,A87023,B85623,F81127,M83089,L85004,B82060,C87008,E83639,K81022,G85705,D81032,G81099,M87005,G82028,J82062,M87030,E85053,L81118,J82025,B83051,G85029,K83026,C82620,E82630,D81082,H81663,N83055,G85005,E81065,B81109,F82649,J84016,H84014,L82030,G81021,G82089,L83083,L85001,E85057,H81031,D81625,C84107,P92017,L85035,D81065,E82041,C83004,Y02987,G82095,E82063,G85055,M85797,G82751,E85041,B82020,E81611,P92607,H82025,G81027,N83035,B84001,P88632,L83075,H81010,F83010,H85009,M88630,B82007,M89024,G81039,H82026,J82147,A86025,M85753,M85699,M83012,M83009,M87601,P81037,F86006,Y04883,L81033,P81057,F85053,K81017,P81044,J82042,C82108,A82041,A87006,B86014,F84668,Y02626,F85007,G85044,D81615,B85014,J81069,M83082,F86040,Y03663,D82037,G85087,E87016,F86038,M91623,P91006,C81005,M81032,F86087,Y02572,L83030,A83046,K84060,B83012,F82660,A83610,K81025,B81068,L83088,K81040,J82098,E81019,H82016,G83651,D81058,K83021,F81121,N83031,A86023,A88011,F85013,J81028,B86022,A84034,D82053,K84045,F85014,G81077,M92031,C82643,G82809,F84060,A89016,D81078,L83089,P89004,L84036,F81134,N85629,G81103,B81045,M84020,F84741,F85650,B83604,E84004,C82018,F83063,F84063,E84039,D82003,G85137,F85058,H85020,M88015,Y00403,Y03052,E84008,L83007,L81070,F85029,C88020,B83653,M81080,L83069,L81020,P81016,Y02129,H85038,A81031,D83048,B86020,Y05150,A87012,F86635,C82046,G84627,H84055,F81155,F84006,J82139,G81014,Y00195,E86015,F84749,M83042,N85047,B85005,J81024,E85673,C87006,E84699,F84740,M88043,M82050,C81640,J83021,F86004,L81655,K83027,L85022,B83054,A86038,B86658,E87034,M85100,P91032,G83017,P81125,N82026,Y05080,P86619,A82646,A83028,E85018,Y02713,E87010,B86108,H83029,F85705,D82102,A87030,M85006,A82003,A81049,A81001,F85640,L84046,D81042,G82069,G82071,L84069,C82080,G84003,M82029,P87648,P92615,F81074,M87628,E84011,M83703,N83054,H85087,Y01231,Y03671,Y02842,F84016,E82017,F84036,B85041,M88008,F84043,M86006,D82022,C82031,C85018,G82820,L84033,L85007,G82090,D83037,P81014,D81633,K81655,F84111,L83118,A83049,D82098,F85615,G83018,F84091,F86652,J82028,G82137,F86060,H81658,F84737,F84620,H84048,E85745,E85061,M88032,L83027,B83657,F83002,C86614,B85619,M91020,E82062,F85067,A81037,E82038,P81140,J81612,E81041,J82049,N83008,A81622,N84011,F83045,L81015,H81128,L81130,L83073,G85035,M83004,E82088,P91603,B86031,G85091,B81026,E85727,H81638,N82646,H83006,F85064,L83040,G85133,F81651,M83076,K84025,E82060,A83020,M85042,Y02688,E87026,K83052,J84014,B85634,P84635,P81089,J82166,Y01929,H83631,F81622,F84035,B83028,F82643,Y01962,G85114,P87015,E84023,M84034,Y00049,H81667,M85072,K82038,A84003,M85088,A85019,J82089,K81089,C88049,A86006,N83001,L84009,E85125,H83043,A82028,E87065,F82661,D81031,E84669,B82105,E82057,Y02589,B84006,L83096,F83648,G85097,G83066,C81091,K83007,M87037,E83649,A83617,Y05318,N85634,F86664,P81147,F83624,A87014,B83026,E83633,P84690,B86654,K82021,J83011,K82039,E84030,M85642,H81066,Y02928,L83095,C87029,L82041,M85794,M85078,M88014,L82070,G85006,J81039,F84051,K82615,H85067,F83015,N84624,P81051,F84720,C82099,Y04995,Y00412,H81110,M85175,Y02274,A84018,L82046,K84032,K82045,J82034,F85003,L85034,M85079,G85651,M83680,J84008,B81054,D82060,B82066,H85007,C83074,F83007,P81196,E82102,G81094,G82060,F86621,L81069,M82060,A81052,Y04945,Y03950,C88083,G85057,D81004,J83028,G85024,F85002,E85083,E85091,E85051,Y02332,P84030,A89030,G84029,J82216,M83638,Y01163,F81683,C82035,K82073,E81052,P81103,C82614,A83025,H85011,C84067,B86667,Y02610,K83015,K83058,H81620,Y00050,H83012,L84026,P84673,E81018,P88003,P92012,E82071,B81090,B82017,B81048,C84691,C88648,M85116,Y04662,D82004,F82021,B87033,P81113,C88030,L84001,G82217,P81622,H83019,A83636,J81011,L83050,N82062,N85024,E85096,Y01066,M89003,C82121,D81052,M84019,Y02711,C81034,A81054,K81046,E86605,P81070,M82014,Y03063,C81012,J83055,D82018,E82124,M83041,Y01090,K81026,L85611,M83722,F81211,G85123,E87711,F86020,M83078,E87740,G84001,F86042,L81081,P87035,C87003,G82035,M85016,Y02671,M84007,M83123,L84027,E83600,B83659,H85659,Y05167,B81015,M89015,F81212,K82049,G85106,C83068,J81644,K81647,E82105,C88041,M83025,G81047,H82089,E82005,Y04333,K83065,G82681,F84018,F84677,M85167,M92010,M87024,P81133,P82609,B86106,C88073,Y05690,E81012,F83021,M85117,M86029,A89025,F85623,C82030,Y03201,N82099,C82667,N84029,H81007,B83660,D82613,C81021,L83123,E84059,Y01922,A84035,D83078,J82076,E85119,B87020,P81118,P84037,F86057,C81100,H83015,H82009,L82003,M91032,F85682,H82035,F81012,J82088,M91010,Y05107,K84001,M92026,C88016,B82050,L84013,P82015,Y01008,L82057,F84121,K81605,P81157,K84023,H82092,M85061,K84008,H83007,K83008,G82184,G85083,A81070,N81097,N83608,G84624,L82004,Y01049,L81049,N82059,E82657,E87714,P85019,E82099,B86025,B85018,Y04169,P82633,H85061,G85045,F85017,F83674,E83027,M92016,G83034,M85156,M88007,F81007,Y03419,A87009,L84032,L85016,F83022,Y00471,F84086,H84054,C88037,F84010,P92014,L82617,P91633,E82073,C82067,H81081,M85634,B84618,G85698,N82014,C82075,Y01011,M85128,L85010,E83038,M83031,J81634,L81029,M89013,D81063,M82039,B86669,E85699,P84072,F84014,G85054,H81131,A84007,E82049,F84092,M82032,J82005,E86033,G83027,P85004,H81076,H82017,F84642,P81159,E82014,C84658,M82048,J82053,Y04809,B81017,J84012,E85052,C84113,F84097,A83050,L81014,G81638,J82138,L82024,L83041,M92612,E82053,H84619,L84002,G82161,M81003,L83061,K81055,E87733,A84020,B82010,M88018,N83032,C82032,Y05828,P92003,L84063,P89007,G81083,P86019,N81108,G81028,C82660,E87715,C83617,N82669,M88004,H82039,C83082,L85066,A82036,K82025,P84035,F84077,M85046,F82619,J82622,M87001,E84676,C88656,B82038,E83010,B82023,E83050,M83670,G83630,C82050,G81074,E84012,E87067,H81067,Y02627,G82100,B86643,N83028,J81051,M89008,B87003,L83071,G84025,G83058,E85605,N81032,G81003,F84730,B81100,M88035,Y02900,J83038,M83062,E84083,K84026,M83601,M83015,B83029,L82050,L81065,J82084,J81034,L83646,J83001,F85688,F86044,L81068,G81045,M85715,M91019,M83146,F85052,B83621,C88026,L83024,D81611,F84747,M82043,E81631,E84044,D82012,F84015,L82018,J81002,N81122,G82665,F86692,N84605,P87660,F82022,Y02973,J82143,F85669,N85643,B87030,L81013,F81028,M83047,M83090,M85139,Y02759,B81602,N84021,B86017,Y00904,B87006,E86017,E87011,L81132,K82036,G85120,A85020,F81010,H81033,N81087,Y02567,H81028,G84011,L82059,D81623,H81119,G82791,G81059,M85074,F84698,M82004,F86083,K84002,A88608,M84030,H85063,H83044,E81028,H84010,F85072,P84065,J82033,A84033
2015-01-01,100,500,60,200,60,500,200,500,700,200,200,1060,600,500,250,100,500,200,200,600,100,300,500,400,100,1800,200,1000,200,200,200,400,500,200,300,500,100,500,200,1000,1000,200,800,300,400,100,200,250,100,120,200,200,500,3000,200,500,400,200,500,60,200,200,500,500,500,650,500,500,200,500,500,100,200,100,300,500,200,200,600,1000,500,200,100,500,500,500,200,400,500,600,500,500,400,500,1000,2000,200,100,700,400,500,200,500,200,200,60,400,50,500,200,500,200,500,200,200,500,200,500,1000,400,1100,2000,500,200,5,500,500,200,500,600,200,450,200,200,300,500,200,8000,2000,500,1060,300,400,1000,500,500,500,450,500,200,500,500,500,200,500,300,200,200,200,1000,200,500,500,200,500,200,500,150,300,500,200,250,600,500,500,200,500,200,200,500,500,500,800,100,2500,500,200,1000,100,500,500,2000,1000,500,200,500,500,1000,500,400,200,200,1000,500,1000,500,200,500,500,200,200,1200,400,500,100,300,1800,500,500,200,400,1000,200,600,400,100,2000,500,200,2000,200,500,600,150,500,1000,200,500,2000,600,200,500,500,500,400,500,150,200,100,200,500,500,1000,100,35,150,500,620,500,500,300,600,600,1000,200,200,200,400,200,200,500,200,200,500,200,200,500,1000,500,400,500,200,200,200,600,200,500,500,1000,500,200,600,500,200,500,1000,500,1500,100,400,500,500,200,200,2000,200,200,200,800,500,500,500,200,300,200,200,200,1000,500,1000,400,1000,500,600,600,200,200,500,200,200,400,500,100,100,500,500,200,100,1500,1000,35,500,210,200,200,100,200,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,1500,500,,,,,,,,200,,,600,,250,100,,200,,,1200,300,500,300,200,,,,200,,200,,1000,,300,1000,100,,200,,,,,,,,200,250,,,,200,,,200,1000,,200,1000,500,,,,500,,650,,,200,,,,,100,,,200,,,,,,,500,500,500,,,,200,,,400,,500,2000,200,200,700,400,500,,,,200,,,,500,200,,100,,,,,,500,,,,1000,,,,,,,500,600,200,,,400,,500,,4000,,500,1060,,,,500,500,,,,200,,,,,,,,,,,200,,,,,400,,,,,,250,,500,,,500,,200,,500,,,,1000,500,,1000,100,,500,2000,,,200,,500,1000,500,200,,200,,500,,,,500,500,200,,,400,,,,200,700,,200,,,,600,200,,,500,,,,500,620,150,500,,,500,2000,200,,,,,200,500,150,200,100,,500,,,100,35,,,620,500,1000,,300,1200,900,,200,,200,,,800,,200,,,,,,,200,500,200,,,,,,,,,,,100,700,500,,500,500,,,500,1000,,200,2000,,,200,2000,500,,,200,,700,,,,500,1000,200,1000,,,,,200,,400,200,400,700,150,,,500,,,500,,,,,200,,,,500,200,600,500,200,500,200,600,1000,200,500,100,100,500,200,300,200,1000,500,240,500,400,300,500,1000,700,1000,140,500,200,100,1200,112,400,200,60,200,200,100,200,200,200,200,100,500,300,500,200,400,600,500,100,500,500,500,50,200,100,200,500,200,500,400,500,1200,100,500,400,600,200,200,200,450,500,500,2000,500,500,500,1000,120,500,400,1200,200,500,200,500,200,1000,100,3000,200,500,200,100,2200,500,500,200,200,500,500,400,100,600,500,1000,200,1200,2000,200,200,500,200,200,200,1800,500,200,2000,500,500,500,200,500,200,200,500,200,200,200,700,500,50,200,200,650,60,200,200,200,200,300,3000,200,500,500,300,1000,50,500,300,200,1000,200,200,500,500,1000,200,200,450,500,500,1000,500,800,100,150,2000,500,200,200,2000,200,500,100,200,200,20,1000,500,200,500,500,200,500,200,500,500,200,100,200,35,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
