,P88623,M83068,A82060
2015-01-01,1,,
2015-02-01,1,,
2015-03-01,4,,
2015-04-01,2,,
2015-06-01,2,,
2015-07-01,2,,
2016-03-01,2,,
2016-09-01,,1,
2018-12-01,,,1
