,L81030,J83049,M81019,P81059,L84037,L83043,D82045,K83050,F86691,M83036,L85055,A82012,F81007,B86107,J82206,M85063,E85693,M84028,J82218,L81086,D81056,M84031,F81100,F81034,C83043,J83007,H81051,G82225,J82138,G82059,J82035,C81013,M89006,C82043,E83009,E83053,Y03664,E81046,E82011,H82641,F84013,C81002,A86015,F85025,F83623,K84004,K83047,K81055,M86029,G82790,D83034,E83600,Y00105,F81119,H81615,K81057,C82056,F84686,L82040,L83094,M85068,E82001,Y02639,B82061,L83010,F85071,A82646,L85047,C85008,E87066,B81092,D81002,L83101,P89006,H81052,F84083,H85028,P81655,J83027,B83064,F81120,J82039,D83012,J82019,L81090,A82026,J82201,F84033,H84015,K81045,J84015,L84072,N81017,B86049,M84013,C85030,K81651,P88024,P83025,D81048,K82066,C84034,M81069,B86066,H81005,E83638,J83030,B82086,H85066,A82024,Y00185,M86034,F83059,Y03536,D81019,G85016,J83013,C83017,A83015,E82037,A86036,D81041,F84034,E85074,K82069,H85020,P92630,F81152,K81022,D81005,P83605,D83024,G81099,L83122,G82082,J83056,J81033,Y02755,C81037,G82809,H84016,C82028,H84040,E86015,D81078,B85030,J82121,H82052,K84016,E82031,K84020,J82023,H85114,C82009,L81010,D83073,H81068,B82017,M85175,H82047,L83075,C83014,J82125,E83012,M83046,L83106,E86036,G82129,D82008,F86036,E83622,C82076,Y04141,E83020,B82083,H84058,M81094,Y00475,E83025,L83083,H85069,E81003,P92005,H83046,Y03811,Y04100,C85619,K82024,L85054,G85137,E83653,P87651,J81054,A87008,M82008,B86018,H82048,G82097,J82190,B82012,L85008,K82023,J82018,C88052,C83048,E83030,B84004,H82083,Y03450,K81082,B82038,L83002,J82123,K84605,H81658,A85017,G84629,P81185,F83652,E82060,E82014,L81081,G82105,Y00090,Y01051,F83002,Y00212,M83015,M83725,M82012,C82660,F81035,L84025,K81094,B86094,N81087,G83012,G84024,L82039,G82071,B85610,L83041,E84004,E83656,C82073,G82098,C82021,C83650,L82012,M81009,P92010,C82644,D81037,H85662,M83638,H84042,K84015,L81022,G81030,F86026,K81630,L84016,B86008,H83022,H84027,B86017,M82041,P81057,E84635,K81078,G85001,F86012,E82121,K84043,C82066,G85046,L81119,K84011,N84020,F83015,H81028,K84077,F81030,E81018,K81103,J82044,G82016,C81069,J82128,F86004,K81067,M83065,M88006,L84022,M82002,A86008,F81105,F84079,G81023,C82077,C81049,Y01132,C88028,C81062,E82613,F81083,L82004,F85658,J82136,J82139,H81006,G82140,G85013,K82617,M82006,A83037,G85061,F81051,D83019,K84044,E87723,D82006,P87648,D83061,H84005,G81011,M84020,P81027,B84011,N81111,D81034,P88020,E83008,L83103,H83014,D81612,F84069,G82041,K81014,M82004,P88006,C87004,H81017,H84030,M81048,L82046,K82001,L81018,M86006,C83020,M82014,G81097,B86006,P81006,H81072,D82017,B86030,J82122,A82017,M85038,E85030,K81003,E83652,G82060,G85015,J81067,C82039,D82062,K81023,H84048,J83026,G82067,J82195,L81006,L85012,E83016,G81056,L84047,L81037,C84060,F81136,M81068,A83026,K81046,K81040,H82015,C84011,E81004,N81032,E82038,H82007,E83027,C83611,L81059,E82044,F81112,G83028,B85031,K82051,L81012,E82028,H85027,H85007,P82015,D82012,J81031,K84080,H83037,P81099,G81021,M84036,G82137,F81043,H81119,L81073,L81021,M83013,J82112,M83092,K82047,K83025,C82011,C88044,E81077,J82050,L85004,M85113,F85069,B81043,J81003,F84115,C81066,H81090,G82185,C82026,H81097,K84051,L81094,B82013,N82024,M84032,E81008,E82107,K82046,J82113,Y02423,C88039,C84051,J83040,C88083,J82149,P91004,H84041,G81016,G81088,M85127,G84017,E82027,H84002,A81634,A84043,Y01655,J82083,H84619,J82069,J81051,C81106,A83072,J83625,A81035,C81060,D83048,P87027,C84025,H82077,G82110,J81021,L81013,E82124,G81082,K84021,D83045,L81033,L81046,L84001,P91014,K84027,F83007,M89030,G84016,J83034,F81130,J82065,K81092,J82150,D83053,J82026,H83004,M81057,C88042,K83080,H81067,M84002,F85029,K81070,M89011,K84026,M85117,H81075,G82094,M84018,E87609,L85030,F83624,M86007,E82643,M81024,A83011,G85662,E82040,L83048,N84618,E84024,J81083,B87015,C84120,G83628,B82077,L84021,G85014,E85628,G82121,H85052,L82620,C83007,K84054,G82006,G82120,G83630,K82016,G82135,J83057,M81055,C81021,L81091,L83069,J82102,G85053,K82028,K81102,D81053,E81050,G85025,E81074,G81651,G85114,K82048,Y00612,H82615,F83019,F81165,Y03135,Y02519,H81088,K84082,N81005,B82064,J84012,M89005,F81015,N81062,E86620,E86001,D82047,G81029,L85014,A87023,P91604,E85003,M84043,M82007,E82084,E82091,K82026,C82086,H82030,P81096,C81012,J81078,P83623,P86609,M83680,H85116,P88012,K83026,B86044,H85011,Y02730,G82114,G82112,P81109,D82048,F81210,J82054,M85124,E85020,K84624,A84011,A89009,H85033,L84040,N81126,M81079,J83060,G85651,M81038,L84078,G84002,H81056,E83021,H82032,H85006,C81665,L84015,J81041,C84080,D81060,E82067,J81002,M85735,J82101,K81050,Y02332,H81104,A86003,E83035,P81774,A83066,M84047,J83059,J82040,K84006,F81192,F81729,Y00260,F81207,P92014,L83127,L83046,M86012,G82090,D81619,E85130,H81035,L83146,J81625,L83026,P83001,H82070,L81068,A85611,L81019,E87026,F81024,E83649,L81637,B87027,D81063,L84043,N82090,F81069,H81024,G83053,A83050,D81027,F84710,G81100,B83014,E82085,J84016,H85100,C84048,H84062,K81006,F85688,H81076,M82059,M84015,M85074,L81082,G84621,A83029,K81027,D81055,M85116,C88005,G81102,P88013,A82036,G82042,P89014,P92007,A84038,H81644,H81027,N81012,K81036,B85019,L85024,H83016,L82052,L84609,F82009,Y03970,D81013,L83118,C81010,P88031,B82032,C84635,H83015,E82043,C82042,H81040,J82216,E83013,H81116,D82069,A82070,G82152,L83139,P82016,Y03870,B81041,A82018,C82124,E85055,P91009,G82115,P88026,G82088,F82031,G82229,M82029,N81096,Y02119,L82047,G82038,L83018,G82031,J82093,H85057,E81072,K83064,H81022,L81040,G83065,E87043,J82116,G82107,F81149,F84062,E85113,N81634,Y02466,N85040,A82014,C85004,B82081,M83006,F83677,E81006,F83021,D81012,P81010,K84036,D83006,B82025,F83664,A82608,C82067,H85686,F81090,M88020,N85014,M84021,Y04957,K81636,E83017,L84007,M84010,D82001,J82092,K81047,C81075,L81083,D81085,G81045,G85133,K81062,H81050,L85022,D81009,K81063,A85008,K81074,L85011,L81014,N81063,L81118,B85025,H85112,L84018,L83031,P82003,L82028,N81112,L83128,M83018,E84080,M85033,M89015,F86022,F81711,L84044,A86010,F83020,J81066,K84065,G81018,E81033,H81062,J82174,C82044,E82061,K81633,D81028,B82053,L81122,P81140,G81038,E81015,B83037,H82095,H85045,J82055,P91603,G82083,J82143,G85647,K82035,M84012,A84047,G85135,D81084,B82046,P82023,K83610,L81101,D82065,G82100,D81033,M82020,M89010,N81642,K84005,K82037,A86024,Y01206,G84006,C83046,F81216,G85011,G83004,J84010,J82027,G82027,J82094,J82009,G84025,L81069,D82078,L85056,M82056,E82071,L82006,A83046,D81001,N82066,G85039,B81056,J82120,G81034,F81079,M87002,J81028,J83047,L83137,H84020,H81007,E83657,F84698,J82146,F86637,L81061,P82009,C84023,G85051,J82046,K84025,A83627,L85034,F85066,G81031,N81008,K82058,C85023,Y04327,H82056,Y03723,C88643,K84058,F85663,G82170,L83023,H85047,M89003,G82141,J81050,H81110,D83075,K84056,G82138,L81617,E82013,E82079,E82012,J83017,P81085,L85016,Y00592,G82035,N83002,D83003,E82098,A84036,J83052,P86006,D83084,N82062,D82084,G82113,K82040,F85058,F81608,Y02495,A82034,B82050,J83036,A83030,H82027,F81049,E82094,F81133,C88054,H81020,C81016,M81605,E84015,F82034,F83052,N85044,P81029,H85061,H81085,A82030,N83054,L84005,A82019,F85045,Y04270,F81022,C83026,M85046,L82029,K81622,C84090,H81053,P85013,C86011,E85040,C84029,L81078,J81027,D83043,F81721,K83008,F83686,Y00275,Y01163,F85675,M89017,Y02408,F85013,K83011,F81737,M83009,J81620,L84077,A82035,F85014,M82016,Y00620,J83050,C88074,M83020,E82104,L81130,B87016,L83013,K83013,Y03883,F85053,M82043,G82025,B82101,F86641,J82134,K84048,B86032,K84033,K84618,B82028,K82031,B85005,B82059,K84031,C88026,Y00542,J82164,G81035,A83034,G85084,H81031,A84024,M89026,F86038,K84079,F81048,E87701,K81012,H82022,F83063,L81035,J82029,K81018,Y04168,P81173,B81004,H82010,J81029,L83067,L83064,E82054,H81048,P84024,N81038,P85010,G82732,C88034,H84618,M85025,J82064,K82005,B85027,D81602,K84012,C88043,C88010,E81035,F86032,M82022,Y01863,B82004,C88008,J82163,L83014,Y04079,D81633,P81167,L85023,B83017,C84053,G83046,P86026,L84023,G81012,L85044,E84002,F85019,M87008,G81094,A82007,M82044,G81028,B86070,Y01127,C84095,H82058,L82037,Y00159,L85043,P81011,G84027,E84063,H85025,G82092,J81006,B82098,D81073,P92607,F84008,J81047,L81125,J82098,B81017,G81001,N81081,K81004,J82144,J82076,E87008,N81100,Y00882,G84030,M86004,D83074,L82054,F81068,M84023,A86031,M81092,E82090,G81083,J81004,M82028,L81089,G85028,J83619,N82041,Y02838,L84065,A82057,C83055,A85021,H81026,C81634,M87011,Y01008,C82025,K83032,K82043,H84623,F82676,M84616,K83018,L85060,L81644,G81024,E82055,L85013,K81020,G82095,K84060,F83615,J82213,H84017,A81047,E82068,C88007,J82605,G82133,M81006,D82030,M83031,D83026,K84042,P81064,E87762,K84617,H85019,M81054,Y02754,H82640,F81044,F84668,Y04497,F85076,K84014,F81020,F81125,B82609,K81001,E85694,J82124,C88031,F86064,M83132,C86017,E85062,K81066,J82007,G84004,C84628,K84030,M83062,C88076,F84696,M81083,E87735,H81091,E83631,M84617,L81038,H84012,M81061,N81044,B81091,J82099,H85001,D83054,F85642,E85112,J83618,P81087,H83017,E86011,L83011,L82030,B81035,F84018,Y03663,G82234,E82072,B82027,F82007,D82025,C82082,J81072,K83055,C84016,K82012,L81060,L84032,Y03808,L83648,L81072,M81033,C83040,J83004,G81614,A84021,L81027,E84076,P85016,Y01964,C84683,H81069,J83044,H81003,A81036,L81124,P92028,D82059,H82063,C82075,M85065,D83033,M81075,P81624,L81057,M81049,Y03602,E85746,B83019,G83001,H82055,L81058,M84067,K84002,H82057,A84045,M84016,L82018,P84068,G81007,G81003,G81050,C81084,P84030,C88085,G82074,G81661,D81032,P91623,G82099,N81122,M81035,K83070,P92642,B81037,C87007,E85019,C82027,C82051,J82052,E82064,L84036,P84689,A85011,B82057,C81064,N81059,D83015,C88073,H82002,B82045,B82001,M82013,M86009,C88647,C82032,C82020,A84022,D83035,E85116,J82088,G85136,L85020,G82073,K83077,G81047,A81026,E82100,H84014,J82080,F81108,E87715,H83001,D83041,F81074,L83030,K82007,M85042,F83051,E82129,P81062,H84635,P81046,F84072,M85047,G85003,E81041,C83605,C83032,G85005,K81077,P88604,G85695,E82005,A84040,L81075,H81060,F84682,J82132,J82135,M87024,P87620,F84601,C82002,D83057,D81031,K83620,D83017,D81061,H82003,K84075,A84042,L85040,F83005,E85054,M81018,G82142,F82030,J81042,H81109,G85085,C84078,H84055,G85632,L81077,L82622,H84033,L85019,K84023,K83003,P86010,M86035,L85035,F84747,B81025,A83005,A84031,H82059,P84004,J82212,C82061,F84021,E82106,G82688,C83001,G83044,C84688,J81010,M85156,D82053,G81061,H81656,L83097,E84036,P81014,C81100,G81036,L81017,J82063,C81048,D81017,C82092,D82088,L84039,J82639,M84035,M85071,H81082,D83067,P81127,F84093,F83032,N84017,M83030,H82017,G82013,F84716,F83058,N81046,M83625,Y05251,L84033,P86001,G85036,L82068,M81600,G85685,C86038,Y02517,N81075,K81051,G83018,L83131,F83006,D83060,L82066,E82059,L81034,D83050,K84013,J82157,H82100,C83021,E87637,F82674,J83008,F82020,F81053,G85109,E82082,C81004,Y05405,L82041,C82062,E81009,H81620,F83023,Y00560,M81025,B82091,B86051,E85120,Y03049,C84017,M81013,M83089,P81077,M84064,G85138,K84009,J83032,F81683,M82009,C82123,P81044,J82005,A84048,L84024,F81150,H82072,Y00658,B85024,C82623,M82060,J82074,F86624,J82151,D83002,Y04913,G85696,L82001,C85033,H82044,H83007,G81019,E86618,E82074,L82010,H84006,C83061,M89016,D81043,A83070,K81017,C88037,L81120,M88035,Y03796,H82060,P91026,M81020,E85115,L81063,F84685,E82099,K81075,J82087,G82148,K82009,F83053,C81108,F84096,L85032,J82199,F86058,L84063,L83055,G82075,G83067,J81070,K81605,E85029,L81670,F84708,A86018,F84003,C83045,D81622,H85088,Y02521,N85025,A82016,Y02778,G85083,F85008,Y04504,N81632,L85031,G85088,K82025,D82085,L81112,Y03661,L81649,D81086,L84004,L81622,P81032,F81056,C83626,L83070,M86021,A87600,J83018,E82041,K81002,E84009,F84054,D83005,H81083,E81057,L84054,B83021,J82034,D81047,L81084,L81052,L83016,G82158,J81039,A82074,L81123,K84017,M85037,K82029,C81099,M83627,B84006,P87020,L84012,N83001,M81080,F86023,L84073,G82019,J83019,L83038,B86654,P88002,B82075,P81015,E87003,P81157,B86014,E85028,H83019,H82041,B81697,D83018,K84007,A82028,J82663,G83026,A82021,L83087,L82050,F84031,H84061,F86074,F81128,Y05212,G82180,H82099,G81096,B81109,L85037,H82014,H81130,L83647,F81173,B82067,F81619,A83013,K84040,E82063,C83072,F85035,E84008,K84055,K83005,P81078,Y02757,B86013,G84001,B82021,E86029,A86011,K84028,Y01667,D83014,G82118,C83637,P92017,E82083,L82057,K84049,D83016,F86650,J82062,D81050,J81647,G85041,A82013,G85027,J82131,D81044,C88048,A84006,N81120,J84007,Y00424,H85075,B81088,C82033,H81010,K83023,G85044,E82046,H81064,A82032,L82026,G82754,B81042,G81613,H82009,N81030,M91637,L85050,J82089,B81082,G85129,B87019,P81213,Y05682,A82049,C84028,C82667,N81033,A82004,M81021,M85086,C87620,H85041,L83021,B84007,E85066,H85051,A83022,L81079,Y01929,C81083,Y04080,C82064,F81123,L83095,G85023,L85065,P81130,B87041,F81144,M85083,C83038,E83050,G82768,J82058,G81087,P86022,N81123,L83072,B82068,Y01922,M87003,L82016,B81007,G82160,G81051,G84022,M86018,K84052,J81071,L81015,K83066,F81003,C88079,J81074,H81077,E82008,L83082,G83049,L82009,C84074,L82617,C81031,P92035,G81074,E84074,J82197,E81005,C85016,H82035,G81046,H82067,M85030,G83642,A84009,F81055,A84033,L83100,M82005,H85105,A87009,H83012,K84062,F83011,J81059,B82020,E84702,B87001,H81042,C82016,H81032,J82090,L84029,D82042,G81054,K82070,M83041,K81073,B81029,C81044,L85611,B87017,J82073,D83036,P88043,D82080,M84051,F85625,M87020,K81084,C84086,D82031,J82066,B86047,F81094,Y02322,J83016,D82604,L81062,E81026,J81609,B86069,K83041,H82038,H84050,M83044,L85048,F85063,J82155,G83039,M81005,D81018,L85002,J82075,F83056,B82049,A85006,E82654,P84042,A82025,M82046,H81013,L85029,N85028,H81045,F86625,N82046,P81117,D81014,G81098,B82104,L82035,J82079,F81062,J82106,B86110,H85026,D81051,G82119,P88025,E87013,H81073,G85031,E82641,L82049,Y05248,B83023,M89601,B82008,F81099,A82055,H82006,Y02692,F84123,H85038,J82188,E83006,L81131,L83111,Y02041,L85027,B85061,B82005,H82012,E84637,C88041,H83005,E87754,F85072,P81047,D81030,M81026,M82003,B82063,E82077,N81084,G85716,F81115,M85058,L82036,G83654,G82219,F84080,E85107,B86024,J82042,K83007,J82145,A81027,L82061,F86030,A83630,L82024,K82059,C84030,M81039,P81002,C81661,L82023,E83003,N83603,A84044,B86052,B82105,E82022,B82041,A82039,D81606,L81008,F81061,K84037,J82152,L84020,B87022,B85023,L84048,A85620,L81648,B83005,D81035
2015-01-01,81,81,81,81,180,141,324,81,81,30,162,81,81,162,81,81,81,81,60,81,81,81,111,60,30,81,81,81,81,81,162,81,30,162,162,162,81,81,30,81,657,81,81,81,81,81,162,162,162,150,81,141,81,162,171,81,81,240,243,243,81,81,81,81,81,81,81,81,81,81,90,81,81,30,30,60,60,81,162,141,81,162,162,81,81,81,81,81,81,243,81,162,162,324,324,81,162,162,162,243,60,60,81,30,81,60,162,162,486,60,60,81,30,60,81,162,60,162,81,240,162,81,81,300,81,81,81,81,81,201,162,81,81,81,81,81,30,81,81,60,162,81,240,81,60,81,243,60,162,243,81,81,81,81,81,162,30,81,162,162,171,81,81,81,81,81,81,162,81,60,81,81,162,324,81,81,243,81,162,162,243,81,81,30,282,81,81,30,81,111,162,81,162,81,243,81,81,81,162,81,162,81,60,81,81,243,90,162,30,81,180,354,81,81,81,90,81,162,81,81,162,60,81,81,81,405,150,81,81,30,81,81,81,81,81,162,81,81,81,30,180,60,81,60,120,81,240,81,81,81,180,81,162,162,81,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,,180,,30,,,,,81,243,,,,,,,,,162,,,,,,,,,,,,,162,,,81,81,,243,81,,,81,,162,,,60,,141,,,,,,324,486,,,,,,,,,,,,,60,,,,,,,,,81,,,,,162,81,,,162,,,,,,81,,,240,,,,,,,,,,,162,,,,,,,,,,,,,,,81,,,,,,81,,,,,,30,,,,,,162,162,,,,,141,81,81,,,,,,,81,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,81,81,,,,,,,,111,,,,81,,171,,,,90,60,,,,81,,81,,,,,,,,,,,,,,,,,162,81,,,,162,,,81,,81,,,,,,,81,162,81,,,81,162,81,81,81,81,162,81,81,60,81,81,81,30,120,81,81,111,90,30,324,162,81,405,81,81,81,141,81,81,81,81,81,324,81,81,81,81,60,162,81,81,81,162,81,81,81,81,81,162,81,60,81,81,81,81,162,81,30,162,30,162,240,81,81,81,162,81,324,162,81,81,81,81,90,81,81,30,162,81,141,81,120,81,81,162,81,60,81,81,81,81,81,81,465,81,81,81,81,81,81,30,162,240,81,81,81,81,30,81,30,81,81,81,81,81,81,81,81,30,81,81,120,81,81,81,81,81,81,81,81,261,162,81,81,180,30,81,162,243,81,81,81,162,81,30,180,81,81,162,81,81,81,81,81,60,81,60,120,81,60,81,30,60,81,81,162,81,243,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
