,GeoCode,Cencus_ratio_M,Diagnosis_ratio_M,Diagnosis_number,Relative_difference
3,E38000194,0.002359222698205749,0.0015082956259426848,1.0,-0.3606811145510836
6,E38000042,0.0018439177829600304,0.001607717041800643,1.0,-0.12809721959523362
7,E38000047,0.001491024035307449,0.0,0.0,-1.0
8,E38000075,0.0019978484708775167,0.0015479876160990713,1.0,-0.2251726601571803
9,E38000116,0.0015459994291694415,0.0008787346221441124,1.0,-0.4316074084088144
11,E38000016,0.0028913963328631876,0.0014144271570014145,1.0,-0.5108151930175596
12,E38000024,0.002234258632362898,0.0,0.0,-1.0
14,E38000080,0.0030503634475597093,0.0,0.0,-1.0
22,E38000205,0.00180061569439873,0.0,0.0,-1.0
24,E38000015,0.0021292999008774185,0.0012121212121212121,1.0,-0.43074190177638455
31,E38000068,0.0034630160705589525,0.0030303030303030303,1.0,-0.12495265151515154
32,E38000091,0.004692795689580255,0.0036363636363636364,1.0,-0.2251178451178451
33,E38000101,0.00779030336357804,0.003278688524590164,2.0,-0.5791321118611379
34,E38000161,0.002070393374741201,0.0,0.0,-1.0
35,E38000170,0.0025410193117467693,0.0,0.0,-1.0
36,E38000172,0.0015605095541401273,0.0,0.0,-1.0
46,E38000069,0.001025476686428457,0.0,0.0,-1.0
49,E38000119,0.0022978753491002934,0.0,0.0,-1.0
50,E38000122,0.0013981823629281933,0.0,0.0,-1.0
51,E38000145,0.0019305019305019305,0.0,0.0,-1.0
56,E38000141,0.0018732438339057135,0.001004016064257028,1.0,-0.46402275769745654
82,E38000058,0.0026119402985074628,0.0,0.0,-1.0
83,E38000071,0.0011658408627222385,0.0,0.0,-1.0
85,E38000109,0.0016176867080075492,0.0014326647564469914,1.0,-0.1143744030563515
93,E38000063,0.002277285642654187,0.0,0.0,-1.0
98,E38000203,0.0016572088585346256,0.0,0.0,-1.0
103,E38000117,0.0030039794986141434,0.0021082220660576245,3.0,-0.29819026160789974
108,E38000037,0.004571703561116458,0.0,0.0,-1.0
116,E38000099,0.0018050873993847966,0.000758150113722517,1.0,-0.5799925732233757
117,E38000100,0.002324898438647154,0.0008992805755395684,1.0,-0.613195759182128
119,E38000165,0.002677091743509115,0.0,0.0,-1.0
169,E38000089,0.0023326738489982462,0.0,0.0,-1.0
172,E38000002,0.003405448717948718,0.0,0.0,-1.0
174,E38000043,0.0038535645472061657,0.0,0.0,-1.0
184,E38000055,0.003160753238659128,0.0024390243902439024,1.0,-0.2283407763655101
191,E38000178,0.003530393478400411,0.0,0.0,-1.0
193,E38000017,0.00422624905922538,0.0,0.0,-1.0
195,E38000110,0.002086758568357152,0.0,0.0,-1.0
204,E38000087,0.0019421011106390727,0.0,0.0,-1.0
207,E38000137,0.004341164453524004,0.003669724770642202,2.0,-0.15466810577441975
