,GeoCode,Cencus_ratio_B,Diagnosis_ratio_B,Diagnosis_number,Relative_difference
54,E38000008,0.0021966477245594766,0.0,0.0,-1.0
55,E38000044,0.0037738800570970453,0.0,0.0,-1.0
56,E38000141,0.0010035234824494893,0.0,0.0,-1.0
57,E38000146,0.014866157903334967,0.0,0.0,-1.0
58,E38000001,0.0010520086790716024,0.0,0.0,-1.0
59,E38000018,0.04051172707889126,0.0,0.0,-1.0
60,E38000019,0.011049723756906077,0.0,0.0,-1.0
61,E38000025,0.001755358462675536,0.0,0.0,-1.0
62,E38000064,0.025050180650341227,0.0018315018315018315,1.0,-0.9268866816943739
63,E38000094,0.02441520052297985,0.0,0.0,-1.0
64,E38000095,0.009696048632218845,0.0,0.0,-1.0
65,E38000096,0.0053233770926171264,0.0,0.0,-1.0
66,E38000121,0.0019413851036027628,0.0,0.0,-1.0
67,E38000190,0.001251314787276486,0.0,0.0,-1.0
68,E38000038,0.014689229994967287,0.0,0.0,-1.0
69,E38000078,0.00017941357391839245,0.0,0.0,-1.0
70,E38000139,0.0037396434443405656,0.0,0.0,-1.0
71,E38000164,0.0018134193028410237,0.0,0.0,-1.0
73,E38000195,0.0021357600520011144,0.0,0.0,-1.0
74,E38000211,0.0005864242779651077,0.0,0.0,-1.0
75,E38000012,0.03848267719741074,0.0019880715705765406,2.0,-0.9483385326759359
76,E38000013,0.04149277688603531,0.0,0.0,-1.0
77,E38000046,0.0077839063869271615,0.0,0.0,-1.0
78,E38000144,0.08086357906984261,0.002572347266881029,4.0,-0.9681890500461366
79,E38000149,0.007854328720072735,0.0,0.0,-1.0
80,E38000191,0.00940739932336571,0.0017241379310344827,1.0,-0.8167253380270422
81,E38000210,0.04747840212655985,0.0,0.0,-1.0
82,E38000058,0.0035447761194029852,0.0,0.0,-1.0
83,E38000071,0.0007772272418148256,0.0,0.0,-1.0
84,E38000103,0.0018825529847573935,0.0,0.0,-1.0
85,E38000109,0.0015727509661184506,0.0,0.0,-1.0
86,E38000115,0.001564945226917058,0.0,0.0,-1.0
87,E38000132,0.04598897389738974,0.0,0.0,-1.0
88,E38000133,0.007055083924487344,0.0,0.0,-1.0
89,E38000134,0.003184396457358941,0.0,0.0,-1.0
90,E38000142,0.002546148949713558,0.0,0.0,-1.0
91,E38000169,0.007768987903082763,0.0,0.0,-1.0
92,E38000026,0.003568025006670987,0.0,0.0,-1.0
93,E38000063,0.0006476683937823834,0.0,0.0,-1.0
94,E38000086,0.005729680005256587,0.0017777777777777779,2.0,-0.6897247706422017
95,E38000124,0.0007375821136337444,0.0,0.0,-1.0
96,E38000131,0.00121311375974282,0.0,0.0,-1.0
97,E38000159,0.0008628482208891446,0.0,0.0,-1.0
